,trial,opinion,activated,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,567211.4839183382,1,min_opinion_solution,1,0.5974400043487549,uniform,random,False
1,1,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
2,2,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
3,3,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
4,4,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
5,5,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
6,6,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
7,7,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
8,8,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
9,9,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
10,10,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
11,11,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
12,12,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
13,13,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
14,14,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
15,15,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
16,16,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
17,17,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
18,18,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
19,19,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
20,20,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
21,21,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
22,22,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
23,23,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
24,24,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
25,25,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
26,26,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
27,27,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
28,28,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
29,29,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
30,30,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
31,31,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
32,32,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
33,33,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
34,34,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
35,35,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
36,36,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
37,37,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
38,38,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
39,39,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
40,40,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
41,41,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
42,42,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
43,43,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
44,44,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
45,45,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
46,46,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
47,47,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
48,48,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
49,49,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
50,50,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
51,51,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
52,52,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
53,53,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
54,54,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
55,55,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
56,56,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
57,57,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
58,58,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
59,59,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
60,60,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
61,61,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
62,62,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
63,63,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
64,64,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
65,65,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
66,66,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
67,67,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
68,68,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
69,69,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
70,70,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
71,71,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
72,72,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
73,73,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
74,74,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
75,75,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
76,76,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
77,77,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
78,78,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
79,79,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
80,80,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
81,81,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
82,82,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
83,83,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
84,84,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
85,85,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
86,86,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
87,87,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
88,88,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
89,89,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
90,90,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
91,91,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
92,92,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
93,93,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
94,94,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
95,95,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
96,96,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
97,97,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
98,98,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
99,99,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
100,100,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
101,101,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
102,102,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
103,103,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
104,104,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
105,105,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
106,106,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
107,107,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
108,108,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
109,109,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
110,110,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
111,111,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
112,112,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
113,113,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
114,114,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
115,115,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
116,116,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
117,117,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
118,118,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
119,119,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
120,120,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
121,121,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
122,122,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
123,123,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
124,124,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
125,125,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
126,126,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
127,127,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
128,128,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
129,129,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
130,130,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
131,131,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
132,132,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
133,133,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
134,134,567210.4839184431,0,min_opinion_solution,1,0.5974400043487549,uniform,random,False
