,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167576.11244457567,208,697,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
1,1,167563.95286772397,180,619,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
2,2,167572.4339012952,198,630,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
3,3,167574.688913237,211,668,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
4,4,167568.369291209,187,654,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
5,5,167581.24338797372,221,669,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
6,6,167587.61679541567,219,728,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
7,7,167575.5275319947,196,618,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
8,8,167557.75252186068,174,626,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
9,9,167573.30004112766,200,646,fast_LAIM_solution,1,24.932809829711914,uniform,random,False
10,0,169070.02461003736,2964,14604,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
11,1,169075.04830886758,2935,14863,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
12,2,169103.37201877806,2998,14869,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
13,3,169052.13518964703,2906,14443,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
14,4,169070.8407715666,2944,14718,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
15,5,169033.11112404504,2931,14751,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
16,6,169048.72862688135,2931,14597,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
17,7,169033.75098200582,2883,14566,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
18,8,168982.4282977977,2789,14263,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
19,9,169027.46634014492,2886,14626,fast_LAIM_solution,100,27.280554056167603,uniform,random,False
20,0,169858.9878170439,4610,23150,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
21,1,169969.19432954048,4781,23478,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
22,2,169879.20852593696,4707,23298,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
23,3,169791.29132582594,4443,23005,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
24,4,169899.68294946552,4682,23202,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
25,5,169819.69887168717,4560,22681,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
26,6,169835.73768628953,4593,23066,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
27,7,169855.07726998773,4607,22812,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
28,8,169793.98256605372,4529,23020,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
29,9,169928.505666713,4750,23503,fast_LAIM_solution,200,30.519060850143433,uniform,random,False
30,0,170522.96036173572,6012,29263,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
31,1,170504.88800073433,5965,29527,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
32,2,170550.6352550686,6059,29480,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
33,3,170498.6160207808,5974,29182,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
34,4,170528.21251840054,6032,29534,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
35,5,170475.44273417105,5917,29352,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
36,6,170433.93898685827,5881,29163,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
37,7,170464.85903854194,5918,29640,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
38,8,170374.99561909062,5760,29031,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
39,9,170565.1284224203,6092,29713,fast_LAIM_solution,300,34.09032702445984,uniform,random,False
40,0,170883.23325862878,7252,35013,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
41,1,170939.76820366495,7357,35673,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
42,2,170818.86613963585,7162,35039,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
43,3,170899.88012469615,7279,35106,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
44,4,170941.5933132754,7330,35615,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
45,5,170802.05192537038,7082,34934,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
46,6,170829.20306347593,7178,34752,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
47,7,170900.71569239922,7285,35200,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
48,8,170886.6528097592,7278,35227,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
49,9,170798.1612562343,7162,35023,fast_LAIM_solution,400,37.01285004615784,uniform,random,False
50,0,171497.41993922053,8332,40112,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
51,1,171405.32834998492,8303,39938,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
52,2,171493.65573415242,8376,40398,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
53,3,171469.0148286312,8419,40635,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
54,4,171458.24127348908,8383,40411,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
55,5,171434.02431077635,8324,40417,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
56,6,171507.1457268083,8395,40295,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
57,7,171481.22475031458,8336,40318,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
58,8,171460.9177675921,8366,40492,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
59,9,171374.29907986516,8142,39896,fast_LAIM_solution,500,45.75366711616516,uniform,random,False
60,0,171951.48305554115,9505,45007,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
61,1,171805.44131327997,9283,44345,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
62,2,171851.02804245657,9334,44534,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
63,3,171812.02838110665,9274,44692,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
64,4,171939.10789241167,9404,44427,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
65,5,171816.60293054223,9296,44072,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
66,6,171873.88660285834,9443,44511,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
67,7,171774.83313772114,9169,44081,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
68,8,171796.8411384348,9244,44414,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
69,9,172002.11786080242,9619,45489,fast_LAIM_solution,600,51.0466411113739,uniform,random,False
70,0,173072.9587513073,10518,49599,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
71,1,172942.42199926832,10389,48973,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
72,2,172938.73970967057,10361,48952,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
73,3,172862.4356715062,10228,48947,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
74,4,172915.21118247355,10281,49293,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
75,5,172917.8970454617,10275,48771,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
76,6,172989.2796958274,10350,48967,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
77,7,172872.199271693,10333,49058,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
78,8,172928.659322665,10372,49189,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
79,9,173110.40987918526,10708,49845,fast_LAIM_solution,700,45.22000694274902,uniform,random,False
80,0,173253.2766453566,11225,52936,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
81,1,173224.93829654114,11223,52875,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
82,2,173285.19688122897,11341,53055,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
83,3,173244.41212101793,11198,53091,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
84,4,173332.74775086125,11421,53120,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
85,5,173213.6944664594,11197,53021,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
86,6,173240.80091168222,11185,52882,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
87,7,173238.4719588088,11216,53016,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
88,8,173265.45078673126,11276,53061,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
89,9,173237.7307481567,11245,52810,fast_LAIM_solution,800,48.960283041000366,uniform,random,False
90,0,173752.51031496195,12321,56810,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
91,1,173664.9912532023,12202,56540,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
92,2,173615.3917922157,11978,55908,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
93,3,173786.84436346203,12475,57026,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
94,4,173688.96559522251,12213,56582,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
95,5,173708.53641241562,12238,57056,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
96,6,173580.53101622936,11967,56070,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
97,7,173634.45374598276,12107,56828,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
98,8,173707.12726146175,12244,56763,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
99,9,173753.65833362297,12373,56689,fast_LAIM_solution,900,51.93798875808716,uniform,random,False
100,0,173894.67266976822,12822,59813,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
101,1,174015.9672707147,13066,60330,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
102,2,173936.10757471676,12976,60144,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
103,3,173989.3782910395,12929,60093,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
104,4,173949.812623738,12982,60303,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
105,5,173907.61862328814,12862,60223,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
106,6,174033.4084886399,13017,60196,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
107,7,173973.55982547454,13028,60279,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
108,8,173880.64574305664,12786,60047,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
109,9,173920.0840630083,12889,60009,fast_LAIM_solution,1000,56.9079327583313,uniform,random,False
