,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167648.13216902033,202,663,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
1,1,167634.61643123056,182,638,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
2,2,167652.8649111916,210,669,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
3,3,167640.75976914426,193,636,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
4,4,167646.51493609388,204,669,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
5,5,167644.00340387027,202,636,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
6,6,167645.69820055354,195,691,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
7,7,167659.0675529313,225,646,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
8,8,167638.4305927008,192,657,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
9,9,167653.3106264361,217,671,fast_LAIM_solution,1,23.700408935546875,uniform,random,True
10,0,169111.7413757449,2791,14550,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
11,1,169228.99028092186,2979,14974,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
12,2,169206.01964199072,2915,14527,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
13,3,169227.67154696913,3026,14975,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
14,4,169211.6343116488,2933,14690,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
15,5,169182.1044280473,2910,14733,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
16,6,169169.23091244604,2895,14611,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
17,7,169204.74603007452,2914,14346,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
18,8,169173.2864091379,2859,14384,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
19,9,169232.4552412223,2998,14861,fast_LAIM_solution,100,26.57093620300293,uniform,random,True
20,0,170053.48484977678,4478,22860,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
21,1,170056.09454145245,4538,22980,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
22,2,169984.30337493838,4407,22628,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
23,3,170020.13670585718,4470,22535,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
24,4,170119.86464641997,4691,23028,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
25,5,170145.5503275919,4731,23433,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
26,6,170119.10782631589,4680,23260,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
27,7,169976.06906800612,4404,22364,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
28,8,170228.62022744893,4821,23477,fast_LAIM_solution,200,29.891129970550537,uniform,random,True
