,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167463.90955872313,4,20,min_opinion_solution,1,0.14816784858703613,uniform,random,False
1,1,167463.40460160334,3,16,min_opinion_solution,1,0.14816784858703613,uniform,random,False
2,2,167462.4418874974,2,17,min_opinion_solution,1,0.14816784858703613,uniform,random,False
3,3,167462.58940574346,2,13,min_opinion_solution,1,0.14816784858703613,uniform,random,False
4,4,167462.79719860354,2,14,min_opinion_solution,1,0.14816784858703613,uniform,random,False
5,5,167462.69178076764,3,14,min_opinion_solution,1,0.14816784858703613,uniform,random,False
6,6,167463.12101781502,3,14,min_opinion_solution,1,0.14816784858703613,uniform,random,False
7,7,167464.00664497353,4,18,min_opinion_solution,1,0.14816784858703613,uniform,random,False
8,8,167462.0897373975,2,12,min_opinion_solution,1,0.14816784858703613,uniform,random,False
9,9,167462.64480997965,2,14,min_opinion_solution,1,0.14816784858703613,uniform,random,False
10,0,167741.65247611117,168,837,min_opinion_solution,100,0.16910386085510254,uniform,random,False
11,1,167749.89094652666,196,895,min_opinion_solution,100,0.16910386085510254,uniform,random,False
12,2,167747.7594365451,185,916,min_opinion_solution,100,0.16910386085510254,uniform,random,False
13,3,167749.78013954818,195,834,min_opinion_solution,100,0.16910386085510254,uniform,random,False
14,4,167739.95551294874,180,861,min_opinion_solution,100,0.16910386085510254,uniform,random,False
15,5,167744.62608270568,179,903,min_opinion_solution,100,0.16910386085510254,uniform,random,False
16,6,167743.24249106835,182,929,min_opinion_solution,100,0.16910386085510254,uniform,random,False
17,7,167724.78364938544,147,785,min_opinion_solution,100,0.16910386085510254,uniform,random,False
18,8,167745.22584463813,184,877,min_opinion_solution,100,0.16910386085510254,uniform,random,False
19,9,167734.129677953,162,775,min_opinion_solution,100,0.16910386085510254,uniform,random,False
20,0,167813.88107972866,329,1437,min_opinion_solution,200,0.14562511444091797,uniform,random,False
21,1,167807.06161012576,315,1449,min_opinion_solution,200,0.14562511444091797,uniform,random,False
22,2,167808.4649010771,318,1426,min_opinion_solution,200,0.14562511444091797,uniform,random,False
23,3,167814.6537014016,328,1494,min_opinion_solution,200,0.14562511444091797,uniform,random,False
24,4,167813.64776623846,335,1487,min_opinion_solution,200,0.14562511444091797,uniform,random,False
25,5,167810.17807313934,324,1514,min_opinion_solution,200,0.14562511444091797,uniform,random,False
26,6,167827.97680010254,358,1625,min_opinion_solution,200,0.14562511444091797,uniform,random,False
27,7,167859.07797535314,404,1966,min_opinion_solution,200,0.14562511444091797,uniform,random,False
28,8,167799.38617331968,310,1433,min_opinion_solution,200,0.14562511444091797,uniform,random,False
29,9,167833.6211195935,357,1601,min_opinion_solution,200,0.14562511444091797,uniform,random,False
30,0,167933.61676461544,502,2492,min_opinion_solution,300,0.1520400047302246,uniform,random,False
31,1,167967.72791949747,562,2771,min_opinion_solution,300,0.1520400047302246,uniform,random,False
32,2,167964.7644533635,561,2782,min_opinion_solution,300,0.1520400047302246,uniform,random,False
33,3,167945.46289804546,539,2615,min_opinion_solution,300,0.1520400047302246,uniform,random,False
34,4,167948.2923279802,543,2649,min_opinion_solution,300,0.1520400047302246,uniform,random,False
35,5,167944.90225992637,536,2636,min_opinion_solution,300,0.1520400047302246,uniform,random,False
36,6,167959.07634465795,559,2794,min_opinion_solution,300,0.1520400047302246,uniform,random,False
37,7,167975.39479671558,581,2897,min_opinion_solution,300,0.1520400047302246,uniform,random,False
38,8,167970.7807504155,575,2911,min_opinion_solution,300,0.1520400047302246,uniform,random,False
39,9,167950.17630158854,535,2570,min_opinion_solution,300,0.1520400047302246,uniform,random,False
40,0,167861.1377885028,677,3082,min_opinion_solution,400,0.1878819465637207,uniform,random,False
41,1,167879.15928173333,706,3258,min_opinion_solution,400,0.1878819465637207,uniform,random,False
42,2,167891.22479656863,738,3341,min_opinion_solution,400,0.1878819465637207,uniform,random,False
43,3,167875.8324743988,714,3294,min_opinion_solution,400,0.1878819465637207,uniform,random,False
44,4,167873.62218151274,679,3132,min_opinion_solution,400,0.1878819465637207,uniform,random,False
45,5,167870.79199024857,705,3183,min_opinion_solution,400,0.1878819465637207,uniform,random,False
46,6,167876.4199455182,712,3271,min_opinion_solution,400,0.1878819465637207,uniform,random,False
47,7,167880.28104368068,706,3165,min_opinion_solution,400,0.1878819465637207,uniform,random,False
48,8,167856.61947519527,670,3172,min_opinion_solution,400,0.1878819465637207,uniform,random,False
49,9,167900.91552475968,739,3376,min_opinion_solution,400,0.1878819465637207,uniform,random,False
50,0,168028.3079140084,893,4042,min_opinion_solution,500,0.1497361660003662,uniform,random,False
51,1,168023.63068205974,881,3956,min_opinion_solution,500,0.1497361660003662,uniform,random,False
52,2,168025.42866260372,876,4027,min_opinion_solution,500,0.1497361660003662,uniform,random,False
53,3,168022.31248370593,862,3891,min_opinion_solution,500,0.1497361660003662,uniform,random,False
54,4,168019.1209127507,857,3977,min_opinion_solution,500,0.1497361660003662,uniform,random,False
55,5,168035.97561151153,874,4006,min_opinion_solution,500,0.1497361660003662,uniform,random,False
56,6,168009.45146341412,840,4003,min_opinion_solution,500,0.1497361660003662,uniform,random,False
57,7,168034.03953945532,895,4190,min_opinion_solution,500,0.1497361660003662,uniform,random,False
58,8,167998.70841616468,835,3789,min_opinion_solution,500,0.1497361660003662,uniform,random,False
59,9,168037.45495024745,892,4032,min_opinion_solution,500,0.1497361660003662,uniform,random,False
60,0,168027.8124965407,1111,5075,min_opinion_solution,600,0.1858839988708496,uniform,random,False
61,1,167976.09946121761,1010,5001,min_opinion_solution,600,0.1858839988708496,uniform,random,False
62,2,168017.65983779723,1097,5229,min_opinion_solution,600,0.1858839988708496,uniform,random,False
63,3,168009.89003812114,1089,5074,min_opinion_solution,600,0.1858839988708496,uniform,random,False
64,4,168027.55218127117,1104,5230,min_opinion_solution,600,0.1858839988708496,uniform,random,False
65,5,168050.58126555028,1125,5371,min_opinion_solution,600,0.1858839988708496,uniform,random,False
66,6,168005.09674455092,1051,5054,min_opinion_solution,600,0.1858839988708496,uniform,random,False
67,7,168004.68362110134,1090,5125,min_opinion_solution,600,0.1858839988708496,uniform,random,False
68,8,168000.89947225573,1066,5208,min_opinion_solution,600,0.1858839988708496,uniform,random,False
69,9,168001.58057525763,1061,5210,min_opinion_solution,600,0.1858839988708496,uniform,random,False
