,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
1,1,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
2,2,167342.08071619485,2,7,min_opinion_solution,1,0.3197922706604004,polarized,random,True
3,3,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
4,4,167342.08071619485,2,7,min_opinion_solution,1,0.3197922706604004,polarized,random,True
5,5,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
6,6,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
7,7,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
8,8,167342.10423422095,3,10,min_opinion_solution,1,0.3197922706604004,polarized,random,True
9,9,167341.23444186107,1,4,min_opinion_solution,1,0.3197922706604004,polarized,random,True
10,0,167766.51109931234,188,867,min_opinion_solution,100,0.3144049644470215,polarized,random,True
11,1,167768.69424773255,189,857,min_opinion_solution,100,0.3144049644470215,polarized,random,True
12,2,167770.3714545019,185,903,min_opinion_solution,100,0.3144049644470215,polarized,random,True
13,3,167774.28340597716,199,922,min_opinion_solution,100,0.3144049644470215,polarized,random,True
14,4,167769.80760004916,201,930,min_opinion_solution,100,0.3144049644470215,polarized,random,True
15,5,167763.94493776018,181,844,min_opinion_solution,100,0.3144049644470215,polarized,random,True
16,6,167781.42581759152,213,1042,min_opinion_solution,100,0.3144049644470215,polarized,random,True
17,7,167769.20061094945,190,875,min_opinion_solution,100,0.3144049644470215,polarized,random,True
18,8,167761.10096157104,169,790,min_opinion_solution,100,0.3144049644470215,polarized,random,True
19,9,167754.96364686248,160,776,min_opinion_solution,100,0.3144049644470215,polarized,random,True
20,0,167845.66419722297,334,1616,min_opinion_solution,200,0.2991008758544922,polarized,random,True
21,1,167864.739026682,368,1627,min_opinion_solution,200,0.2991008758544922,polarized,random,True
22,2,167857.35729390406,362,1669,min_opinion_solution,200,0.2991008758544922,polarized,random,True
23,3,167857.5036309013,367,1650,min_opinion_solution,200,0.2991008758544922,polarized,random,True
24,4,167852.74042980766,354,1702,min_opinion_solution,200,0.2991008758544922,polarized,random,True
25,5,167862.4179763719,386,1683,min_opinion_solution,200,0.2991008758544922,polarized,random,True
26,6,167870.77831559608,384,1711,min_opinion_solution,200,0.2991008758544922,polarized,random,True
27,7,167834.30676688,322,1516,min_opinion_solution,200,0.2991008758544922,polarized,random,True
28,8,167830.56977041168,326,1541,min_opinion_solution,200,0.2991008758544922,polarized,random,True
29,9,167843.99205303824,339,1586,min_opinion_solution,200,0.2991008758544922,polarized,random,True
30,0,167862.36159130125,595,2643,min_opinion_solution,300,0.36193299293518066,polarized,random,True
31,1,167842.99148323142,557,2557,min_opinion_solution,300,0.36193299293518066,polarized,random,True
32,2,167867.1629309592,581,2628,min_opinion_solution,300,0.36193299293518066,polarized,random,True
33,3,167835.8401038233,554,2505,min_opinion_solution,300,0.36193299293518066,polarized,random,True
34,4,167849.81236869635,560,2563,min_opinion_solution,300,0.36193299293518066,polarized,random,True
35,5,167871.01597413412,606,2694,min_opinion_solution,300,0.36193299293518066,polarized,random,True
36,6,167866.16530431018,582,2643,min_opinion_solution,300,0.36193299293518066,polarized,random,True
37,7,167855.8964405779,573,2582,min_opinion_solution,300,0.36193299293518066,polarized,random,True
38,8,167823.60061884078,535,2446,min_opinion_solution,300,0.36193299293518066,polarized,random,True
39,9,167877.95225839224,614,2760,min_opinion_solution,300,0.36193299293518066,polarized,random,True
40,0,168324.5552380924,757,3563,min_opinion_solution,400,0.326016902923584,polarized,random,True
41,1,168325.63068606157,765,3802,min_opinion_solution,400,0.326016902923584,polarized,random,True
42,2,168299.05832106146,748,3526,min_opinion_solution,400,0.326016902923584,polarized,random,True
43,3,168303.57683131465,741,3453,min_opinion_solution,400,0.326016902923584,polarized,random,True
44,4,168263.5841980278,678,3453,min_opinion_solution,400,0.326016902923584,polarized,random,True
45,5,168336.5775544654,792,3810,min_opinion_solution,400,0.326016902923584,polarized,random,True
46,6,168319.03200682352,765,3696,min_opinion_solution,400,0.326016902923584,polarized,random,True
47,7,168383.3780115271,851,3791,min_opinion_solution,400,0.326016902923584,polarized,random,True
48,8,168305.5292613318,749,3569,min_opinion_solution,400,0.326016902923584,polarized,random,True
49,9,168344.97504622603,794,3586,min_opinion_solution,400,0.326016902923584,polarized,random,True
50,0,168227.31008708567,898,4294,min_opinion_solution,500,0.2701878547668457,polarized,random,True
51,1,168244.5904312219,916,4341,min_opinion_solution,500,0.2701878547668457,polarized,random,True
52,2,168273.118335535,972,4572,min_opinion_solution,500,0.2701878547668457,polarized,random,True
53,3,168236.15437930453,928,4422,min_opinion_solution,500,0.2701878547668457,polarized,random,True
54,4,168253.5332907111,923,4408,min_opinion_solution,500,0.2701878547668457,polarized,random,True
55,5,168263.40396642702,969,4500,min_opinion_solution,500,0.2701878547668457,polarized,random,True
56,6,168236.4607240632,906,4394,min_opinion_solution,500,0.2701878547668457,polarized,random,True
57,7,168213.18702893634,876,4133,min_opinion_solution,500,0.2701878547668457,polarized,random,True
58,8,168262.3277031899,951,4381,min_opinion_solution,500,0.2701878547668457,polarized,random,True
59,9,168243.48457697924,924,4460,min_opinion_solution,500,0.2701878547668457,polarized,random,True
60,0,167879.09768235718,1071,4921,min_opinion_solution,600,0.2684669494628906,polarized,random,True
61,1,167862.04220130388,1038,4813,min_opinion_solution,600,0.2684669494628906,polarized,random,True
62,2,167850.01448154842,1032,4869,min_opinion_solution,600,0.2684669494628906,polarized,random,True
63,3,167946.64334143643,1181,5321,min_opinion_solution,600,0.2684669494628906,polarized,random,True
64,4,167878.4686260822,1066,4902,min_opinion_solution,600,0.2684669494628906,polarized,random,True
65,5,167875.97390997576,1065,4984,min_opinion_solution,600,0.2684669494628906,polarized,random,True
66,6,167861.11859113324,1052,4887,min_opinion_solution,600,0.2684669494628906,polarized,random,True
67,7,167846.4068198458,1030,4802,min_opinion_solution,600,0.2684669494628906,polarized,random,True
68,8,167854.843450216,1033,4778,min_opinion_solution,600,0.2684669494628906,polarized,random,True
69,9,167885.85524709764,1063,4850,min_opinion_solution,600,0.2684669494628906,polarized,random,True
70,0,168865.4364495307,1242,5844,min_opinion_solution,700,0.2706010341644287,polarized,random,True
71,1,168913.17289467395,1339,6171,min_opinion_solution,700,0.2706010341644287,polarized,random,True
72,2,168869.32696014253,1274,5849,min_opinion_solution,700,0.2706010341644287,polarized,random,True
73,3,168887.60106834077,1295,5868,min_opinion_solution,700,0.2706010341644287,polarized,random,True
74,4,168909.7243256926,1320,6122,min_opinion_solution,700,0.2706010341644287,polarized,random,True
75,5,168920.69202868524,1337,5977,min_opinion_solution,700,0.2706010341644287,polarized,random,True
76,6,168870.51197647772,1240,5856,min_opinion_solution,700,0.2706010341644287,polarized,random,True
77,7,168898.79718810332,1299,6037,min_opinion_solution,700,0.2706010341644287,polarized,random,True
78,8,168859.53730228948,1252,5826,min_opinion_solution,700,0.2706010341644287,polarized,random,True
79,9,168892.97658716008,1336,6034,min_opinion_solution,700,0.2706010341644287,polarized,random,True
80,0,168289.82202204716,1511,6576,min_opinion_solution,800,0.2717781066894531,polarized,random,True
81,1,168263.034997876,1446,6677,min_opinion_solution,800,0.2717781066894531,polarized,random,True
82,2,168276.51268310362,1483,6685,min_opinion_solution,800,0.2717781066894531,polarized,random,True
83,3,168328.8121971877,1562,7129,min_opinion_solution,800,0.2717781066894531,polarized,random,True
84,4,168201.04465443653,1396,6343,min_opinion_solution,800,0.2717781066894531,polarized,random,True
85,5,168231.26196056884,1415,6558,min_opinion_solution,800,0.2717781066894531,polarized,random,True
86,6,168270.16855316944,1479,6768,min_opinion_solution,800,0.2717781066894531,polarized,random,True
87,7,168258.2401359272,1495,6656,min_opinion_solution,800,0.2717781066894531,polarized,random,True
88,8,168237.1517246455,1416,6493,min_opinion_solution,800,0.2717781066894531,polarized,random,True
89,9,168228.21744770804,1439,6572,min_opinion_solution,800,0.2717781066894531,polarized,random,True
90,0,168489.88577236305,1653,7706,min_opinion_solution,900,0.2906792163848877,polarized,random,True
91,1,168441.79828123006,1557,7311,min_opinion_solution,900,0.2906792163848877,polarized,random,True
