,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167647.03428567835,202,667,opinion_degree_solution,1,12.00850510597229,uniform,random,True
1,1,167653.04116028425,206,664,opinion_degree_solution,1,12.00850510597229,uniform,random,True
2,2,167639.4868411518,199,662,opinion_degree_solution,1,12.00850510597229,uniform,random,True
3,3,167653.07740379884,215,723,opinion_degree_solution,1,12.00850510597229,uniform,random,True
4,4,167642.07168708864,202,637,opinion_degree_solution,1,12.00850510597229,uniform,random,True
5,5,167646.58390311178,203,632,opinion_degree_solution,1,12.00850510597229,uniform,random,True
6,6,167643.35160874843,203,697,opinion_degree_solution,1,12.00850510597229,uniform,random,True
7,7,167660.44462598447,226,720,opinion_degree_solution,1,12.00850510597229,uniform,random,True
8,8,167649.44146424902,201,673,opinion_degree_solution,1,12.00850510597229,uniform,random,True
9,9,167642.31086269996,192,625,opinion_degree_solution,1,12.00850510597229,uniform,random,True
10,0,168975.70710448228,2169,12677,opinion_degree_solution,100,14.318093061447144,uniform,random,True
11,1,168965.36625422665,2201,12830,opinion_degree_solution,100,14.318093061447144,uniform,random,True
12,2,168972.69808203034,2235,12847,opinion_degree_solution,100,14.318093061447144,uniform,random,True
13,3,168958.03140642826,2190,12716,opinion_degree_solution,100,14.318093061447144,uniform,random,True
14,4,168954.14146756646,2150,12737,opinion_degree_solution,100,14.318093061447144,uniform,random,True
15,5,168978.48941491707,2217,12805,opinion_degree_solution,100,14.318093061447144,uniform,random,True
16,6,169020.70834455802,2281,13147,opinion_degree_solution,100,14.318093061447144,uniform,random,True
17,7,168945.70971304958,2130,12554,opinion_degree_solution,100,14.318093061447144,uniform,random,True
18,8,169018.928697951,2293,12983,opinion_degree_solution,100,14.318093061447144,uniform,random,True
19,9,168960.46421148223,2200,12843,opinion_degree_solution,100,14.318093061447144,uniform,random,True
20,0,169711.95057822205,3384,19745,opinion_degree_solution,200,16.660475254058838,uniform,random,True
21,1,169691.90555792622,3351,19585,opinion_degree_solution,200,16.660475254058838,uniform,random,True
22,2,169801.01931192973,3543,20323,opinion_degree_solution,200,16.660475254058838,uniform,random,True
23,3,169745.58654844703,3404,19684,opinion_degree_solution,200,16.660475254058838,uniform,random,True
24,4,169738.0128526987,3371,19574,opinion_degree_solution,200,16.660475254058838,uniform,random,True
25,5,169668.03700183614,3302,19421,opinion_degree_solution,200,16.660475254058838,uniform,random,True
26,6,169684.04873657203,3328,19527,opinion_degree_solution,200,16.660475254058838,uniform,random,True
27,7,169725.2064312274,3424,19811,opinion_degree_solution,200,16.660475254058838,uniform,random,True
28,8,169703.0996603988,3304,19416,opinion_degree_solution,200,16.660475254058838,uniform,random,True
29,9,169708.2182523152,3377,19679,opinion_degree_solution,200,16.660475254058838,uniform,random,True
30,0,169998.32645304315,4298,24942,opinion_degree_solution,300,19.571545839309692,uniform,random,True
31,1,170034.84539180374,4345,25025,opinion_degree_solution,300,19.571545839309692,uniform,random,True
32,2,170030.55228084797,4355,25051,opinion_degree_solution,300,19.571545839309692,uniform,random,True
33,3,170039.66532560694,4398,25200,opinion_degree_solution,300,19.571545839309692,uniform,random,True
34,4,169994.73887974868,4319,24595,opinion_degree_solution,300,19.571545839309692,uniform,random,True
35,5,169912.39107559912,4149,24561,opinion_degree_solution,300,19.571545839309692,uniform,random,True
36,6,169934.42212726324,4222,24474,opinion_degree_solution,300,19.571545839309692,uniform,random,True
37,7,169933.16602868537,4242,24760,opinion_degree_solution,300,19.571545839309692,uniform,random,True
38,8,169883.67096228417,4136,24522,opinion_degree_solution,300,19.571545839309692,uniform,random,True
39,9,170015.98021927528,4348,24799,opinion_degree_solution,300,19.571545839309692,uniform,random,True
40,0,170343.884989703,5197,29507,opinion_degree_solution,400,21.590135097503662,uniform,random,True
41,1,170390.6607061347,5383,30226,opinion_degree_solution,400,21.590135097503662,uniform,random,True
42,2,170383.70298728734,5334,29629,opinion_degree_solution,400,21.590135097503662,uniform,random,True
43,3,170389.48442240863,5292,29588,opinion_degree_solution,400,21.590135097503662,uniform,random,True
44,4,170369.49241109757,5304,29764,opinion_degree_solution,400,21.590135097503662,uniform,random,True
45,5,170406.8824856713,5330,29762,opinion_degree_solution,400,21.590135097503662,uniform,random,True
46,6,170324.13414395007,5221,29236,opinion_degree_solution,400,21.590135097503662,uniform,random,True
47,7,170406.94594015277,5389,30033,opinion_degree_solution,400,21.590135097503662,uniform,random,True
48,8,170328.60084394415,5188,29569,opinion_degree_solution,400,21.590135097503662,uniform,random,True
49,9,170294.98594505302,5107,29086,opinion_degree_solution,400,21.590135097503662,uniform,random,True
50,0,170384.73121974937,5908,33754,opinion_degree_solution,500,24.520623207092285,uniform,random,True
51,1,170467.76752406248,5952,33577,opinion_degree_solution,500,24.520623207092285,uniform,random,True
52,2,170429.94434948312,5868,33248,opinion_degree_solution,500,24.520623207092285,uniform,random,True
53,3,170441.20139546477,5915,33488,opinion_degree_solution,500,24.520623207092285,uniform,random,True
54,4,170450.89231178278,5979,33869,opinion_degree_solution,500,24.520623207092285,uniform,random,True
55,5,170429.4361540912,5878,33507,opinion_degree_solution,500,24.520623207092285,uniform,random,True
56,6,170480.04975889428,5987,33417,opinion_degree_solution,500,24.520623207092285,uniform,random,True
57,7,170469.31878692255,5921,33556,opinion_degree_solution,500,24.520623207092285,uniform,random,True
58,8,170346.9230796596,5744,33478,opinion_degree_solution,500,24.520623207092285,uniform,random,True
59,9,170516.3786982056,6073,33847,opinion_degree_solution,500,24.520623207092285,uniform,random,True
60,0,171428.0667420606,7072,38841,opinion_degree_solution,600,26.86772918701172,uniform,random,True
61,1,171425.63984133195,7140,39351,opinion_degree_solution,600,26.86772918701172,uniform,random,True
62,2,171490.92458748966,7300,39443,opinion_degree_solution,600,26.86772918701172,uniform,random,True
63,3,171507.0432953436,7287,39090,opinion_degree_solution,600,26.86772918701172,uniform,random,True
64,4,171477.64304977615,7150,39139,opinion_degree_solution,600,26.86772918701172,uniform,random,True
65,5,171454.98823355229,7163,39103,opinion_degree_solution,600,26.86772918701172,uniform,random,True
66,6,171471.27964886074,7198,39269,opinion_degree_solution,600,26.86772918701172,uniform,random,True
67,7,171487.19842870848,7170,38964,opinion_degree_solution,600,26.86772918701172,uniform,random,True
68,8,171447.39446546338,7146,38962,opinion_degree_solution,600,26.86772918701172,uniform,random,True
69,9,171380.21717342426,7075,39088,opinion_degree_solution,600,26.86772918701172,uniform,random,True
70,0,172463.77436976082,7831,43245,opinion_degree_solution,700,30.016479015350342,uniform,random,True
71,1,172524.64083982317,7987,43292,opinion_degree_solution,700,30.016479015350342,uniform,random,True
72,2,172413.58413824486,7889,43134,opinion_degree_solution,700,30.016479015350342,uniform,random,True
73,3,172489.60043201369,8016,42979,opinion_degree_solution,700,30.016479015350342,uniform,random,True
74,4,172563.20494017555,8082,43780,opinion_degree_solution,700,30.016479015350342,uniform,random,True
75,5,172565.4171312434,8018,43323,opinion_degree_solution,700,30.016479015350342,uniform,random,True
76,6,172554.99068939855,8040,43284,opinion_degree_solution,700,30.016479015350342,uniform,random,True
77,7,172494.2455300235,7948,43493,opinion_degree_solution,700,30.016479015350342,uniform,random,True
78,8,172505.50344422917,8043,43204,opinion_degree_solution,700,30.016479015350342,uniform,random,True
79,9,172488.89697740125,7973,43394,opinion_degree_solution,700,30.016479015350342,uniform,random,True
80,0,172580.441609006,8899,47103,opinion_degree_solution,800,32.88675403594971,uniform,random,True
81,1,172696.27398569594,9033,47433,opinion_degree_solution,800,32.88675403594971,uniform,random,True
82,2,172582.32784838066,8802,46823,opinion_degree_solution,800,32.88675403594971,uniform,random,True
83,3,172528.6205432082,8635,46758,opinion_degree_solution,800,32.88675403594971,uniform,random,True
84,4,172419.87091854104,8528,46400,opinion_degree_solution,800,32.88675403594971,uniform,random,True
85,5,172601.13397051484,8905,47278,opinion_degree_solution,800,32.88675403594971,uniform,random,True
86,6,172561.19800899527,8754,46941,opinion_degree_solution,800,32.88675403594971,uniform,random,True
87,7,172520.64226355596,8692,46331,opinion_degree_solution,800,32.88675403594971,uniform,random,True
88,8,172586.5283879359,8787,47193,opinion_degree_solution,800,32.88675403594971,uniform,random,True
89,9,172534.2749955464,8683,46366,opinion_degree_solution,800,32.88675403594971,uniform,random,True
90,0,172931.7899298536,8957,49080,opinion_degree_solution,900,36.22806096076965,uniform,random,True
91,1,173067.5127444317,9247,49889,opinion_degree_solution,900,36.22806096076965,uniform,random,True
92,2,173088.7403919115,9211,49849,opinion_degree_solution,900,36.22806096076965,uniform,random,True
93,3,173106.3720822653,9131,49588,opinion_degree_solution,900,36.22806096076965,uniform,random,True
94,4,173140.00220397484,9395,49618,opinion_degree_solution,900,36.22806096076965,uniform,random,True
95,5,173102.50290465285,9210,49746,opinion_degree_solution,900,36.22806096076965,uniform,random,True
96,6,172887.29992247393,8833,48738,opinion_degree_solution,900,36.22806096076965,uniform,random,True
97,7,173136.27207301106,9320,49858,opinion_degree_solution,900,36.22806096076965,uniform,random,True
98,8,173117.72810957997,9302,49953,opinion_degree_solution,900,36.22806096076965,uniform,random,True
99,9,172978.57756922886,9093,49411,opinion_degree_solution,900,36.22806096076965,uniform,random,True
100,0,173326.631324297,9941,52714,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
101,1,173253.35312173827,9778,52001,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
102,2,173222.02783077804,9786,52237,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
103,3,173015.16522367566,9418,51865,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
104,4,173245.03112436764,9833,52357,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
105,5,173210.39234107506,9770,52905,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
106,6,173160.02592825785,9567,51859,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
107,7,173294.04087066752,9891,52539,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
108,8,173246.88967104288,9838,52544,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
109,9,173196.92092864114,9729,52281,opinion_degree_solution,1000,38.39091110229492,uniform,random,True
