,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159758.67927232402,33,494,degree_solution,1,0.656466007232666,uniform,random,True
1,1,159759.5742420766,31,500,degree_solution,1,0.656466007232666,uniform,random,True
2,2,159750.74082660716,15,434,degree_solution,1,0.656466007232666,uniform,random,True
3,3,159757.4047860423,29,436,degree_solution,1,0.656466007232666,uniform,random,True
4,4,159763.13211036037,50,862,degree_solution,1,0.656466007232666,uniform,random,True
5,5,159756.81108823686,28,548,degree_solution,1,0.656466007232666,uniform,random,True
6,6,159755.60014384682,29,501,degree_solution,1,0.656466007232666,uniform,random,True
7,7,159747.0201291753,10,350,degree_solution,1,0.656466007232666,uniform,random,True
8,8,159752.98357529708,25,465,degree_solution,1,0.656466007232666,uniform,random,True
9,9,159753.20473844055,22,499,degree_solution,1,0.656466007232666,uniform,random,True
10,0,158308.3711378747,1586,14679,degree_solution,100,0.6566271781921387,uniform,random,True
11,1,158403.82421570888,1761,15466,degree_solution,100,0.6566271781921387,uniform,random,True
12,2,158285.5516028449,1561,14874,degree_solution,100,0.6566271781921387,uniform,random,True
13,3,158359.9688972078,1645,15111,degree_solution,100,0.6566271781921387,uniform,random,True
14,4,158332.4498128509,1657,14901,degree_solution,100,0.6566271781921387,uniform,random,True
15,5,158391.2168342091,1742,15559,degree_solution,100,0.6566271781921387,uniform,random,True
16,6,158287.048542142,1575,14951,degree_solution,100,0.6566271781921387,uniform,random,True
17,7,158400.49844611154,1798,15842,degree_solution,100,0.6566271781921387,uniform,random,True
18,8,158387.2551098702,1725,15170,degree_solution,100,0.6566271781921387,uniform,random,True
19,9,158355.84881071016,1716,15730,degree_solution,100,0.6566271781921387,uniform,random,True
20,0,163810.80447576442,2872,23525,degree_solution,200,0.65584397315979,uniform,random,True
21,1,163827.01601285522,2864,23557,degree_solution,200,0.65584397315979,uniform,random,True
22,2,163872.09668173527,3047,24430,degree_solution,200,0.65584397315979,uniform,random,True
23,3,163892.59399568578,3046,23715,degree_solution,200,0.65584397315979,uniform,random,True
24,4,163911.59961847527,3062,24233,degree_solution,200,0.65584397315979,uniform,random,True
25,5,163916.1753290852,3117,24665,degree_solution,200,0.65584397315979,uniform,random,True
26,6,163847.74410656455,2942,23623,degree_solution,200,0.65584397315979,uniform,random,True
27,7,163782.95791312872,2807,23150,degree_solution,200,0.65584397315979,uniform,random,True
28,8,163936.34379318065,3129,24058,degree_solution,200,0.65584397315979,uniform,random,True
29,9,163827.12243367595,2936,23688,degree_solution,200,0.65584397315979,uniform,random,True
30,0,164681.49686473125,3721,28246,degree_solution,300,0.6581668853759766,uniform,random,True
31,1,164571.65551958495,3486,27082,degree_solution,300,0.6581668853759766,uniform,random,True
32,2,164702.20105607767,3798,28365,degree_solution,300,0.6581668853759766,uniform,random,True
33,3,164697.6855939333,3790,27907,degree_solution,300,0.6581668853759766,uniform,random,True
34,4,164781.62388908278,3970,28991,degree_solution,300,0.6581668853759766,uniform,random,True
35,5,164796.40475645673,3937,28698,degree_solution,300,0.6581668853759766,uniform,random,True
36,6,164658.15810073618,3710,28218,degree_solution,300,0.6581668853759766,uniform,random,True
37,7,164591.39212964184,3576,28297,degree_solution,300,0.6581668853759766,uniform,random,True
38,8,164767.73083517107,3872,28775,degree_solution,300,0.6581668853759766,uniform,random,True
39,9,164698.87863024228,3773,28593,degree_solution,300,0.6581668853759766,uniform,random,True
40,0,160987.6569434745,4488,32379,degree_solution,400,0.6554009914398193,uniform,random,True
41,1,161087.99622072896,4575,32438,degree_solution,400,0.6554009914398193,uniform,random,True
42,2,161051.92054614934,4585,32657,degree_solution,400,0.6554009914398193,uniform,random,True
43,3,161084.32232823048,4529,32497,degree_solution,400,0.6554009914398193,uniform,random,True
44,4,160932.74601767617,4301,31639,degree_solution,400,0.6554009914398193,uniform,random,True
45,5,161050.39037355833,4572,32855,degree_solution,400,0.6554009914398193,uniform,random,True
46,6,161086.0331306536,4614,32530,degree_solution,400,0.6554009914398193,uniform,random,True
47,7,160963.83834148842,4358,31691,degree_solution,400,0.6554009914398193,uniform,random,True
48,8,160956.2015808323,4384,32073,degree_solution,400,0.6554009914398193,uniform,random,True
49,9,160988.7096995952,4382,32014,degree_solution,400,0.6554009914398193,uniform,random,True
50,0,157268.43237155548,5499,38216,degree_solution,500,0.6821589469909668,uniform,random,True
51,1,157302.1417342298,5612,38243,degree_solution,500,0.6821589469909668,uniform,random,True
52,2,157393.60987575154,5743,38661,degree_solution,500,0.6821589469909668,uniform,random,True
53,3,157379.61215309612,5757,38404,degree_solution,500,0.6821589469909668,uniform,random,True
54,4,157241.73856432553,5528,38135,degree_solution,500,0.6821589469909668,uniform,random,True
55,5,157294.06092589386,5577,38713,degree_solution,500,0.6821589469909668,uniform,random,True
56,6,157246.76301956642,5492,37864,degree_solution,500,0.6821589469909668,uniform,random,True
57,7,157270.99444526425,5494,37478,degree_solution,500,0.6821589469909668,uniform,random,True
58,8,157264.81295090355,5542,38107,degree_solution,500,0.6821589469909668,uniform,random,True
59,9,157453.31187168838,5830,38728,degree_solution,500,0.6821589469909668,uniform,random,True
60,0,158785.4507044934,6289,41996,degree_solution,600,0.6663999557495117,uniform,random,True
61,1,158679.14794600834,6161,41261,degree_solution,600,0.6663999557495117,uniform,random,True
62,2,158643.32146695722,6059,41344,degree_solution,600,0.6663999557495117,uniform,random,True
63,3,158763.34021238674,6245,41693,degree_solution,600,0.6663999557495117,uniform,random,True
64,4,158690.68752818627,6085,41127,degree_solution,600,0.6663999557495117,uniform,random,True
65,5,158684.7995973233,6098,41251,degree_solution,600,0.6663999557495117,uniform,random,True
66,6,158839.43008485588,6379,42120,degree_solution,600,0.6663999557495117,uniform,random,True
67,7,158736.78367264156,6159,41206,degree_solution,600,0.6663999557495117,uniform,random,True
68,8,158777.61172196164,6299,41605,degree_solution,600,0.6663999557495117,uniform,random,True
69,9,158596.53414493674,5995,40894,degree_solution,600,0.6663999557495117,uniform,random,True
70,0,166753.12027210504,7294,47349,degree_solution,700,0.7559590339660645,uniform,random,True
71,1,166763.7447387301,7389,47900,degree_solution,700,0.7559590339660645,uniform,random,True
72,2,166912.92202564544,7698,48512,degree_solution,700,0.7559590339660645,uniform,random,True
73,3,166745.74617683832,7358,48655,degree_solution,700,0.7559590339660645,uniform,random,True
74,4,166794.54583124572,7435,47509,degree_solution,700,0.7559590339660645,uniform,random,True
75,5,166896.0656116274,7606,47881,degree_solution,700,0.7559590339660645,uniform,random,True
76,6,166740.57201340888,7301,47304,degree_solution,700,0.7559590339660645,uniform,random,True
77,7,166903.2139455103,7509,48487,degree_solution,700,0.7559590339660645,uniform,random,True
78,8,166874.01893653136,7558,48130,degree_solution,700,0.7559590339660645,uniform,random,True
79,9,166874.56991811708,7540,48700,degree_solution,700,0.7559590339660645,uniform,random,True
80,0,161007.39248043622,8414,52824,degree_solution,800,0.6619892120361328,uniform,random,True
81,1,161178.4329403239,8784,53826,degree_solution,800,0.6619892120361328,uniform,random,True
82,2,161090.0521510829,8610,53470,degree_solution,800,0.6619892120361328,uniform,random,True
83,3,160985.61047568597,8376,51852,degree_solution,800,0.6619892120361328,uniform,random,True
84,4,161022.6224778982,8369,52733,degree_solution,800,0.6619892120361328,uniform,random,True
85,5,161119.7549620918,8591,53375,degree_solution,800,0.6619892120361328,uniform,random,True
86,6,160941.1880533624,8255,52339,degree_solution,800,0.6619892120361328,uniform,random,True
87,7,160963.30039563248,8375,52671,degree_solution,800,0.6619892120361328,uniform,random,True
88,8,161085.5879866041,8592,53132,degree_solution,800,0.6619892120361328,uniform,random,True
89,9,161057.47285350054,8444,52680,degree_solution,800,0.6619892120361328,uniform,random,True
90,0,161239.51534041864,9420,57121,degree_solution,900,0.6721971035003662,uniform,random,True
91,1,161222.02904099875,9484,57223,degree_solution,900,0.6721971035003662,uniform,random,True
