,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159773.3052483795,60,608,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
1,1,159759.3849218479,40,361,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
2,2,159755.95450045943,35,375,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
3,3,159766.66642834587,46,436,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
4,4,159758.14938751934,34,323,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
5,5,159794.24290693525,112,834,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
6,6,159760.81309244613,41,346,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
7,7,159761.1557252245,38,374,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
8,8,159756.0416251095,32,351,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
9,9,159766.81013826735,41,398,fast_LAIM_solution,1,63.73912763595581,uniform,random,True
10,0,158595.95743169295,2209,14238,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
11,1,158624.12772958522,2279,14407,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
12,2,158719.39778678518,2498,15310,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
13,3,158592.49101152614,2191,14154,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
14,4,158681.49042214916,2396,14733,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
15,5,158730.4495701017,2505,15545,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
16,6,158750.28986135597,2545,15185,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
17,7,158718.93651254414,2477,15433,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
18,8,158686.33375925513,2430,14903,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
19,9,158814.57083246647,2620,15700,fast_LAIM_solution,100,66.52548003196716,uniform,random,True
20,0,164404.38586050493,4146,24816,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
21,1,164316.96075458394,3990,24206,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
22,2,164530.2835122182,4467,26087,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
23,3,164361.13661173635,4040,24534,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
24,4,164394.77488266327,4196,24807,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
25,5,164348.48931683786,4050,24391,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
26,6,164385.55050981313,4120,24552,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
27,7,164373.40289760873,4108,24506,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
28,8,164373.43593912644,4134,24570,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
29,9,164418.46561376157,4252,25090,fast_LAIM_solution,200,70.51955103874207,uniform,random,True
30,0,165688.74249209816,5933,33920,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
31,1,165615.76093780546,5657,33150,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
32,2,165509.67053115516,5469,32272,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
33,3,165592.1605852593,5613,32776,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
34,4,165602.15465632756,5669,33274,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
35,5,165809.94174021969,6028,33711,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
36,6,165645.73089175014,5834,33457,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
37,7,165697.05427352028,5861,33183,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
38,8,165576.02613083797,5632,32275,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
39,9,165658.364543334,5801,33372,fast_LAIM_solution,300,73.10708928108215,uniform,random,True
40,0,162338.74032440162,7185,40370,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
41,1,162323.9615265014,7123,39838,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
42,2,162304.91271589155,7118,39732,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
43,3,162287.71514630687,7141,39718,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
44,4,162290.2919610805,7085,39789,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
45,5,162344.09299828386,7244,40405,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
46,6,162258.6848522949,7034,39227,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
47,7,162381.5955444958,7232,40301,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
48,8,162323.2902496089,7109,39874,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
49,9,162315.83093325206,7120,39991,fast_LAIM_solution,400,86.96090912818909,uniform,random,True
50,0,158804.95965050193,8319,45318,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
51,1,158897.4893369049,8490,46421,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
52,2,158903.21424765923,8475,45628,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
53,3,158904.63040672956,8519,45671,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
54,4,158879.0612049372,8490,45964,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
55,5,158833.4258443131,8353,45012,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
56,6,158902.71705277555,8480,45658,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
57,7,158834.92273906534,8427,45895,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
58,8,158844.47706584536,8263,45322,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
59,9,158716.8216501419,8129,44785,fast_LAIM_solution,500,77.74564290046692,uniform,random,True
60,0,160420.98630702883,9635,51328,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
61,1,160331.0694926806,9466,51137,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
62,2,160344.55377063944,9517,51004,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
63,3,160473.36440528336,9822,51736,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
64,4,160360.10370259106,9529,51766,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
65,5,160437.85899575765,9796,51731,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
66,6,160546.46409506552,9914,52207,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
67,7,160414.31922515196,9677,52131,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
68,8,160400.65562278073,9665,51974,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
69,9,160436.64227363217,9780,51958,fast_LAIM_solution,600,80.7744460105896,uniform,random,True
70,0,168356.8663045842,10841,56580,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
71,1,168458.16552761616,11052,56859,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
72,2,168384.94233316797,10892,56648,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
73,3,168428.7949470563,10808,56249,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
74,4,168279.56488425867,10763,55833,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
75,5,168359.6156006035,10774,56143,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
76,6,168455.92299440643,11085,57285,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
77,7,168419.48878368066,10922,56932,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
78,8,168372.83061540857,10809,56249,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
79,9,168423.3927043629,11006,56409,fast_LAIM_solution,700,83.82274007797241,uniform,random,True
80,0,162745.2492645042,11813,60793,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
81,1,162820.8312028919,12057,61644,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
82,2,162790.72144435399,12084,61664,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
83,3,162750.15214397918,11895,61147,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
84,4,162994.52544369904,12296,62389,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
85,5,162921.57530058376,12167,61609,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
86,6,162935.70730632026,12189,61508,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
87,7,162832.50946990974,12069,62140,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
88,8,163024.05882381712,12342,62392,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
89,9,162928.74575803816,12244,62307,fast_LAIM_solution,800,87.90577912330627,uniform,random,True
90,0,163191.58838121092,13446,67098,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
91,1,163081.36921681688,13180,65589,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
92,2,163120.4199253026,13165,66179,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
93,3,163233.5987588452,13400,65990,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
94,4,163076.5105025557,13152,65865,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
95,5,163184.71038266222,13432,66206,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
96,6,163184.20487178414,13241,65961,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
97,7,163146.3584299695,13244,66263,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
98,8,163041.6349043092,13084,65846,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
99,9,163197.13467796164,13389,66474,fast_LAIM_solution,900,90.98652815818787,uniform,random,True
100,0,168949.67440975594,14438,70510,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
101,1,168895.58570757165,14340,69942,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
102,2,168898.72031991417,14277,70009,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
103,3,168827.73642106866,14148,69976,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
104,4,168918.81049117722,14389,70120,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
105,5,168724.74221438228,14019,69455,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
106,6,168902.38096801296,14334,70420,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
107,7,168924.58990213645,14381,70195,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
108,8,168795.5118703181,14077,70474,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
109,9,168853.15532588126,14180,70124,fast_LAIM_solution,1000,94.69295811653137,uniform,random,True
