,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158532.10764828947,3,24,min_opinion_solution,1,0.13825607299804688,uniform,random,False
1,1,158534.9817687479,7,48,min_opinion_solution,1,0.13825607299804688,uniform,random,False
2,2,158530.70242092264,1,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
3,3,158530.70242092264,1,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
4,4,158531.49533483904,2,11,min_opinion_solution,1,0.13825607299804688,uniform,random,False
5,5,158531.57627320878,2,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
6,6,158530.70242092264,1,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
7,7,158531.905079159,3,12,min_opinion_solution,1,0.13825607299804688,uniform,random,False
8,8,158530.70242092264,1,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
9,9,158531.57627320878,2,10,min_opinion_solution,1,0.13825607299804688,uniform,random,False
10,0,158682.81315553637,188,1019,min_opinion_solution,100,0.14118289947509766,uniform,random,False
11,1,158672.55669883126,174,920,min_opinion_solution,100,0.14118289947509766,uniform,random,False
12,2,158675.42118493837,184,957,min_opinion_solution,100,0.14118289947509766,uniform,random,False
13,3,158685.76784536845,195,997,min_opinion_solution,100,0.14118289947509766,uniform,random,False
14,4,158692.98973295424,211,1300,min_opinion_solution,100,0.14118289947509766,uniform,random,False
15,5,158676.30168236574,181,902,min_opinion_solution,100,0.14118289947509766,uniform,random,False
16,6,158666.53363183694,158,878,min_opinion_solution,100,0.14118289947509766,uniform,random,False
17,7,158666.23455148714,160,866,min_opinion_solution,100,0.14118289947509766,uniform,random,False
18,8,158674.47991870894,169,870,min_opinion_solution,100,0.14118289947509766,uniform,random,False
19,9,158673.78904631958,172,865,min_opinion_solution,100,0.14118289947509766,uniform,random,False
20,0,158744.63337733058,345,1529,min_opinion_solution,200,0.14516592025756836,uniform,random,False
21,1,158740.87035577206,331,1732,min_opinion_solution,200,0.14516592025756836,uniform,random,False
22,2,158749.228653716,354,1827,min_opinion_solution,200,0.14516592025756836,uniform,random,False
23,3,158732.19985631952,315,1535,min_opinion_solution,200,0.14516592025756836,uniform,random,False
24,4,158751.53240559966,349,1649,min_opinion_solution,200,0.14516592025756836,uniform,random,False
25,5,158739.0038146816,332,1645,min_opinion_solution,200,0.14516592025756836,uniform,random,False
26,6,158770.06274528246,390,1748,min_opinion_solution,200,0.14516592025756836,uniform,random,False
27,7,158751.1996937239,357,1734,min_opinion_solution,200,0.14516592025756836,uniform,random,False
28,8,158747.2043384367,350,1689,min_opinion_solution,200,0.14516592025756836,uniform,random,False
29,9,158745.86301770792,346,1773,min_opinion_solution,200,0.14516592025756836,uniform,random,False
30,0,159077.22387300772,575,3251,min_opinion_solution,300,0.14308404922485352,uniform,random,False
31,1,159088.2206679044,587,3402,min_opinion_solution,300,0.14308404922485352,uniform,random,False
32,2,159065.12037533894,549,3106,min_opinion_solution,300,0.14308404922485352,uniform,random,False
33,3,159080.64868393782,581,3245,min_opinion_solution,300,0.14308404922485352,uniform,random,False
34,4,159043.2690027558,524,3021,min_opinion_solution,300,0.14308404922485352,uniform,random,False
35,5,159059.92317867087,542,3158,min_opinion_solution,300,0.14308404922485352,uniform,random,False
36,6,159072.47108883245,564,3176,min_opinion_solution,300,0.14308404922485352,uniform,random,False
37,7,159049.88319350127,534,3024,min_opinion_solution,300,0.14308404922485352,uniform,random,False
38,8,159056.15145000242,554,3148,min_opinion_solution,300,0.14308404922485352,uniform,random,False
39,9,159052.2764645569,540,3100,min_opinion_solution,300,0.14308404922485352,uniform,random,False
40,0,158941.15219840984,715,3654,min_opinion_solution,400,0.1376180648803711,uniform,random,False
41,1,158882.96526004613,626,3222,min_opinion_solution,400,0.1376180648803711,uniform,random,False
42,2,158938.8486060487,722,3754,min_opinion_solution,400,0.1376180648803711,uniform,random,False
43,3,158910.4289651017,656,3377,min_opinion_solution,400,0.1376180648803711,uniform,random,False
44,4,158906.047145589,660,3356,min_opinion_solution,400,0.1376180648803711,uniform,random,False
45,5,158955.4139654891,748,4031,min_opinion_solution,400,0.1376180648803711,uniform,random,False
46,6,158932.54179704655,704,3453,min_opinion_solution,400,0.1376180648803711,uniform,random,False
47,7,158904.2460489433,667,3583,min_opinion_solution,400,0.1376180648803711,uniform,random,False
48,8,158930.51490584688,707,3629,min_opinion_solution,400,0.1376180648803711,uniform,random,False
49,9,158916.9843461012,681,3448,min_opinion_solution,400,0.1376180648803711,uniform,random,False
50,0,159234.48616861826,908,4780,min_opinion_solution,500,0.1596841812133789,uniform,random,False
51,1,159184.5900092454,812,4298,min_opinion_solution,500,0.1596841812133789,uniform,random,False
52,2,159222.74593914938,860,4707,min_opinion_solution,500,0.1596841812133789,uniform,random,False
53,3,159181.40545355607,810,4413,min_opinion_solution,500,0.1596841812133789,uniform,random,False
54,4,159231.7382068714,881,4684,min_opinion_solution,500,0.1596841812133789,uniform,random,False
55,5,159183.28599931934,808,4470,min_opinion_solution,500,0.1596841812133789,uniform,random,False
56,6,159201.3037895354,865,4603,min_opinion_solution,500,0.1596841812133789,uniform,random,False
57,7,159218.17704357737,882,4651,min_opinion_solution,500,0.1596841812133789,uniform,random,False
58,8,159190.6957622114,841,4390,min_opinion_solution,500,0.1596841812133789,uniform,random,False
59,9,159171.9665349736,798,4230,min_opinion_solution,500,0.1596841812133789,uniform,random,False
60,0,159216.3196779368,1120,5940,min_opinion_solution,600,0.13683390617370605,uniform,random,False
61,1,159205.90707095122,1097,5515,min_opinion_solution,600,0.13683390617370605,uniform,random,False
62,2,159169.16432314544,1036,5200,min_opinion_solution,600,0.13683390617370605,uniform,random,False
63,3,159126.4194295409,947,4897,min_opinion_solution,600,0.13683390617370605,uniform,random,False
64,4,159153.57076218585,998,5059,min_opinion_solution,600,0.13683390617370605,uniform,random,False
65,5,159215.5957494176,1097,5394,min_opinion_solution,600,0.13683390617370605,uniform,random,False
66,6,159181.537192101,1061,5391,min_opinion_solution,600,0.13683390617370605,uniform,random,False
67,7,159194.55825721062,1066,5414,min_opinion_solution,600,0.13683390617370605,uniform,random,False
68,8,159205.0128011149,1084,5374,min_opinion_solution,600,0.13683390617370605,uniform,random,False
69,9,159175.51666262333,1057,5402,min_opinion_solution,600,0.13683390617370605,uniform,random,False
