,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159699.1963591643,8,362,opinion_degree_solution,1,15.579936981201172,polarized,random,True
1,1,159705.40407167433,13,361,opinion_degree_solution,1,15.579936981201172,polarized,random,True
2,2,159715.27176449247,29,455,opinion_degree_solution,1,15.579936981201172,polarized,random,True
3,3,159698.99975604523,9,361,opinion_degree_solution,1,15.579936981201172,polarized,random,True
4,4,159704.0884406774,15,439,opinion_degree_solution,1,15.579936981201172,polarized,random,True
5,5,159712.27316076175,25,423,opinion_degree_solution,1,15.579936981201172,polarized,random,True
6,6,159701.08584562188,9,378,opinion_degree_solution,1,15.579936981201172,polarized,random,True
7,7,159710.2957121714,27,546,opinion_degree_solution,1,15.579936981201172,polarized,random,True
8,8,159706.02779400238,17,412,opinion_degree_solution,1,15.579936981201172,polarized,random,True
9,9,159707.60277053065,18,387,opinion_degree_solution,1,15.579936981201172,polarized,random,True
10,0,157943.54572013608,1151,10874,opinion_degree_solution,100,17.77095890045166,polarized,random,True
11,1,157873.91326197516,1013,10040,opinion_degree_solution,100,17.77095890045166,polarized,random,True
12,2,157915.19142424833,1074,10496,opinion_degree_solution,100,17.77095890045166,polarized,random,True
13,3,157921.24588872606,1108,10512,opinion_degree_solution,100,17.77095890045166,polarized,random,True
14,4,157868.68016925736,984,9890,opinion_degree_solution,100,17.77095890045166,polarized,random,True
15,5,157855.7783890247,959,10049,opinion_degree_solution,100,17.77095890045166,polarized,random,True
16,6,157871.67642268303,987,9888,opinion_degree_solution,100,17.77095890045166,polarized,random,True
17,7,157931.29431473257,1105,10250,opinion_degree_solution,100,17.77095890045166,polarized,random,True
18,8,157831.24976603285,892,9515,opinion_degree_solution,100,17.77095890045166,polarized,random,True
19,9,157823.34304596717,941,9649,opinion_degree_solution,100,17.77095890045166,polarized,random,True
20,0,156971.3936384257,2105,18311,opinion_degree_solution,200,20.16139793395996,polarized,random,True
21,1,157028.69442234383,2233,19030,opinion_degree_solution,200,20.16139793395996,polarized,random,True
22,2,157002.51220608424,2191,18548,opinion_degree_solution,200,20.16139793395996,polarized,random,True
23,3,157033.43722430628,2226,18655,opinion_degree_solution,200,20.16139793395996,polarized,random,True
24,4,157049.88090668852,2312,19428,opinion_degree_solution,200,20.16139793395996,polarized,random,True
25,5,156985.59582510835,2156,18175,opinion_degree_solution,200,20.16139793395996,polarized,random,True
26,6,157138.98154580864,2409,19702,opinion_degree_solution,200,20.16139793395996,polarized,random,True
27,7,157037.79409268603,2226,18915,opinion_degree_solution,200,20.16139793395996,polarized,random,True
28,8,157064.8101246259,2265,19183,opinion_degree_solution,200,20.16139793395996,polarized,random,True
29,9,157028.168856051,2224,18713,opinion_degree_solution,200,20.16139793395996,polarized,random,True
30,0,160363.2255094846,3210,25405,opinion_degree_solution,300,22.64456582069397,polarized,random,True
31,1,160406.22678519762,3216,25430,opinion_degree_solution,300,22.64456582069397,polarized,random,True
32,2,160275.8099790298,3030,24388,opinion_degree_solution,300,22.64456582069397,polarized,random,True
33,3,160464.9170750129,3234,24945,opinion_degree_solution,300,22.64456582069397,polarized,random,True
34,4,160295.99778745498,3074,25081,opinion_degree_solution,300,22.64456582069397,polarized,random,True
35,5,160359.66598821932,3079,24442,opinion_degree_solution,300,22.64456582069397,polarized,random,True
36,6,160578.5995799684,3562,26771,opinion_degree_solution,300,22.64456582069397,polarized,random,True
37,7,160387.85106183973,3109,24683,opinion_degree_solution,300,22.64456582069397,polarized,random,True
38,8,160247.35074980865,2938,23899,opinion_degree_solution,300,22.64456582069397,polarized,random,True
39,9,160293.10062305018,2895,23665,opinion_degree_solution,300,22.64456582069397,polarized,random,True
40,0,164436.04478665834,4271,30614,opinion_degree_solution,400,25.137046098709106,polarized,random,True
41,1,164491.16512080882,4380,31350,opinion_degree_solution,400,25.137046098709106,polarized,random,True
42,2,164478.9502353643,4386,31408,opinion_degree_solution,400,25.137046098709106,polarized,random,True
43,3,164452.92868327678,4235,30342,opinion_degree_solution,400,25.137046098709106,polarized,random,True
44,4,164410.6347870226,4221,30382,opinion_degree_solution,400,25.137046098709106,polarized,random,True
45,5,164560.56069751855,4424,31338,opinion_degree_solution,400,25.137046098709106,polarized,random,True
46,6,164392.95079886302,4143,30600,opinion_degree_solution,400,25.137046098709106,polarized,random,True
47,7,164454.3457666568,4337,30973,opinion_degree_solution,400,25.137046098709106,polarized,random,True
48,8,164508.56460425782,4450,31650,opinion_degree_solution,400,25.137046098709106,polarized,random,True
49,9,164501.06001524066,4419,31190,opinion_degree_solution,400,25.137046098709106,polarized,random,True
50,0,165536.449479959,4974,34208,opinion_degree_solution,500,27.845845937728882,polarized,random,True
51,1,165597.07272343303,5034,34559,opinion_degree_solution,500,27.845845937728882,polarized,random,True
52,2,165582.04682667373,5007,34260,opinion_degree_solution,500,27.845845937728882,polarized,random,True
53,3,165505.6594531574,4834,33794,opinion_degree_solution,500,27.845845937728882,polarized,random,True
54,4,165586.05087506128,5042,34373,opinion_degree_solution,500,27.845845937728882,polarized,random,True
55,5,165608.26369518175,5111,35051,opinion_degree_solution,500,27.845845937728882,polarized,random,True
56,6,165626.30534849907,5160,34799,opinion_degree_solution,500,27.845845937728882,polarized,random,True
57,7,165387.47252568946,4675,33439,opinion_degree_solution,500,27.845845937728882,polarized,random,True
58,8,165662.38374178103,5219,35161,opinion_degree_solution,500,27.845845937728882,polarized,random,True
59,9,165607.58349773567,5099,34622,opinion_degree_solution,500,27.845845937728882,polarized,random,True
60,0,166455.3742684101,5151,36581,opinion_degree_solution,600,30.170170783996582,polarized,random,True
61,1,166676.21870916002,5556,38158,opinion_degree_solution,600,30.170170783996582,polarized,random,True
62,2,166584.7015778515,5314,36961,opinion_degree_solution,600,30.170170783996582,polarized,random,True
