,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159746.6839522634,7,186,opinion_degree_solution,1,17.444694995880127,uniform,random,True
1,1,159745.23382733282,7,213,opinion_degree_solution,1,17.444694995880127,uniform,random,True
2,2,159749.7961270203,12,225,opinion_degree_solution,1,17.444694995880127,uniform,random,True
3,3,159743.38692758634,2,175,opinion_degree_solution,1,17.444694995880127,uniform,random,True
4,4,159767.23833765855,45,520,opinion_degree_solution,1,17.444694995880127,uniform,random,True
5,5,159747.57364381955,10,180,opinion_degree_solution,1,17.444694995880127,uniform,random,True
6,6,159756.99204474437,26,292,opinion_degree_solution,1,17.444694995880127,uniform,random,True
7,7,159745.5465750901,5,174,opinion_degree_solution,1,17.444694995880127,uniform,random,True
8,8,159751.57516671898,13,217,opinion_degree_solution,1,17.444694995880127,uniform,random,True
9,9,159751.70286827782,14,211,opinion_degree_solution,1,17.444694995880127,uniform,random,True
10,0,158192.34109112952,1169,11605,opinion_degree_solution,100,20.47003984451294,uniform,random,True
11,1,158277.60978515807,1309,12113,opinion_degree_solution,100,20.47003984451294,uniform,random,True
12,2,158330.94139530035,1423,12552,opinion_degree_solution,100,20.47003984451294,uniform,random,True
13,3,158204.74900984328,1183,11270,opinion_degree_solution,100,20.47003984451294,uniform,random,True
14,4,158135.8712329756,1075,10956,opinion_degree_solution,100,20.47003984451294,uniform,random,True
15,5,158345.43138360934,1468,12767,opinion_degree_solution,100,20.47003984451294,uniform,random,True
16,6,158293.69833230108,1361,12626,opinion_degree_solution,100,20.47003984451294,uniform,random,True
17,7,158273.56045222474,1329,12171,opinion_degree_solution,100,20.47003984451294,uniform,random,True
18,8,158253.68453656283,1300,12448,opinion_degree_solution,100,20.47003984451294,uniform,random,True
19,9,158220.95976998037,1224,11571,opinion_degree_solution,100,20.47003984451294,uniform,random,True
20,0,163772.91734554275,2351,18787,opinion_degree_solution,200,22.88147783279419,uniform,random,True
21,1,163707.05288821325,2238,18279,opinion_degree_solution,200,22.88147783279419,uniform,random,True
22,2,163740.24440952213,2298,18528,opinion_degree_solution,200,22.88147783279419,uniform,random,True
23,3,163722.53471895124,2218,17813,opinion_degree_solution,200,22.88147783279419,uniform,random,True
24,4,163705.83110887016,2199,18291,opinion_degree_solution,200,22.88147783279419,uniform,random,True
25,5,163729.89520342898,2267,18566,opinion_degree_solution,200,22.88147783279419,uniform,random,True
26,6,163681.81139874487,2158,18101,opinion_degree_solution,200,22.88147783279419,uniform,random,True
27,7,163691.02632830208,2197,18340,opinion_degree_solution,200,22.88147783279419,uniform,random,True
28,8,163614.08989337969,2041,17586,opinion_degree_solution,200,22.88147783279419,uniform,random,True
29,9,163670.08728542028,2109,17744,opinion_degree_solution,200,22.88147783279419,uniform,random,True
30,0,164727.62648550535,3193,25390,opinion_degree_solution,300,23.507477045059204,uniform,random,True
31,1,164779.2972620959,3278,25626,opinion_degree_solution,300,23.507477045059204,uniform,random,True
32,2,164788.6475192822,3328,25729,opinion_degree_solution,300,23.507477045059204,uniform,random,True
33,3,164854.541567166,3426,25832,opinion_degree_solution,300,23.507477045059204,uniform,random,True
34,4,164837.8425855166,3437,26360,opinion_degree_solution,300,23.507477045059204,uniform,random,True
35,5,164807.87082794518,3340,25563,opinion_degree_solution,300,23.507477045059204,uniform,random,True
36,6,164731.4683069947,3202,25185,opinion_degree_solution,300,23.507477045059204,uniform,random,True
37,7,164774.59897684312,3264,25590,opinion_degree_solution,300,23.507477045059204,uniform,random,True
38,8,164875.93017131774,3457,26230,opinion_degree_solution,300,23.507477045059204,uniform,random,True
39,9,164956.6946988138,3601,26899,opinion_degree_solution,300,23.507477045059204,uniform,random,True
40,0,161357.23414493373,4260,30932,opinion_degree_solution,400,26.188554048538208,uniform,random,True
41,1,161288.63579574475,4156,30718,opinion_degree_solution,400,26.188554048538208,uniform,random,True
42,2,161277.6783005637,4097,30567,opinion_degree_solution,400,26.188554048538208,uniform,random,True
43,3,161378.52485084592,4368,31915,opinion_degree_solution,400,26.188554048538208,uniform,random,True
44,4,161253.593470811,4152,30625,opinion_degree_solution,400,26.188554048538208,uniform,random,True
45,5,161258.29972799012,4108,30766,opinion_degree_solution,400,26.188554048538208,uniform,random,True
46,6,161293.322828607,4212,31792,opinion_degree_solution,400,26.188554048538208,uniform,random,True
47,7,161293.83947496573,4196,31104,opinion_degree_solution,400,26.188554048538208,uniform,random,True
48,8,161335.64457128412,4295,31141,opinion_degree_solution,400,26.188554048538208,uniform,random,True
49,9,161308.3289136571,4195,31015,opinion_degree_solution,400,26.188554048538208,uniform,random,True
50,0,157779.81971290443,5690,38354,opinion_degree_solution,500,29.561068058013916,uniform,random,True
51,1,157764.82954646504,5665,38159,opinion_degree_solution,500,29.561068058013916,uniform,random,True
52,2,157657.94017229648,5427,37531,opinion_degree_solution,500,29.561068058013916,uniform,random,True
53,3,157732.20646122473,5571,37941,opinion_degree_solution,500,29.561068058013916,uniform,random,True
54,4,157707.8896231722,5543,37947,opinion_degree_solution,500,29.561068058013916,uniform,random,True
55,5,157663.28836376758,5418,37582,opinion_degree_solution,500,29.561068058013916,uniform,random,True
56,6,157764.1767560729,5617,38282,opinion_degree_solution,500,29.561068058013916,uniform,random,True
57,7,157709.2144491813,5574,38603,opinion_degree_solution,500,29.561068058013916,uniform,random,True
58,8,157722.2204063142,5601,38092,opinion_degree_solution,500,29.561068058013916,uniform,random,True
59,9,157715.61034491623,5623,38345,opinion_degree_solution,500,29.561068058013916,uniform,random,True
60,0,159155.12060874392,5828,39458,opinion_degree_solution,600,32.4228937625885,uniform,random,True
61,1,159102.21034722848,5620,38571,opinion_degree_solution,600,32.4228937625885,uniform,random,True
62,2,159257.02493849106,5956,39980,opinion_degree_solution,600,32.4228937625885,uniform,random,True
63,3,159061.92631308513,5578,39047,opinion_degree_solution,600,32.4228937625885,uniform,random,True
64,4,159110.42353450277,5743,39476,opinion_degree_solution,600,32.4228937625885,uniform,random,True
65,5,159171.28989890797,5771,39537,opinion_degree_solution,600,32.4228937625885,uniform,random,True
66,6,159076.54789481813,5514,38648,opinion_degree_solution,600,32.4228937625885,uniform,random,True
67,7,159085.61763678843,5603,38723,opinion_degree_solution,600,32.4228937625885,uniform,random,True
68,8,159015.1212696264,5574,38883,opinion_degree_solution,600,32.4228937625885,uniform,random,True
69,9,159106.92091075316,5727,39724,opinion_degree_solution,600,32.4228937625885,uniform,random,True
70,0,167133.51266452743,6528,43204,opinion_degree_solution,700,36.4130539894104,uniform,random,True
71,1,167181.27912492512,6601,43951,opinion_degree_solution,700,36.4130539894104,uniform,random,True
72,2,167123.33576502174,6505,42860,opinion_degree_solution,700,36.4130539894104,uniform,random,True
73,3,167075.8484785813,6420,43050,opinion_degree_solution,700,36.4130539894104,uniform,random,True
74,4,167164.92100067457,6703,44129,opinion_degree_solution,700,36.4130539894104,uniform,random,True
75,5,167107.71173502837,6564,42897,opinion_degree_solution,700,36.4130539894104,uniform,random,True
76,6,167059.55011251665,6488,42892,opinion_degree_solution,700,36.4130539894104,uniform,random,True
77,7,167145.7595284127,6587,43550,opinion_degree_solution,700,36.4130539894104,uniform,random,True
78,8,167053.37179110013,6436,42580,opinion_degree_solution,700,36.4130539894104,uniform,random,True
79,9,167133.65896047748,6592,43530,opinion_degree_solution,700,36.4130539894104,uniform,random,True
80,0,161357.75855181008,7806,50234,opinion_degree_solution,800,39.96414494514465,uniform,random,True
81,1,161682.1797096043,8320,51360,opinion_degree_solution,800,39.96414494514465,uniform,random,True
82,2,161386.75579527713,7894,50767,opinion_degree_solution,800,39.96414494514465,uniform,random,True
83,3,161637.08255252638,8334,51780,opinion_degree_solution,800,39.96414494514465,uniform,random,True
84,4,161517.28970073402,8040,51280,opinion_degree_solution,800,39.96414494514465,uniform,random,True
85,5,161430.18560583016,7846,50408,opinion_degree_solution,800,39.96414494514465,uniform,random,True
86,6,161546.7481416709,8195,51286,opinion_degree_solution,800,39.96414494514465,uniform,random,True
87,7,161383.02228044733,7836,50303,opinion_degree_solution,800,39.96414494514465,uniform,random,True
88,8,161338.86028975376,7871,50498,opinion_degree_solution,800,39.96414494514465,uniform,random,True
89,9,161380.65246809172,7812,50392,opinion_degree_solution,800,39.96414494514465,uniform,random,True
90,0,161744.79320450788,8810,54702,opinion_degree_solution,900,48.93483018875122,uniform,random,True
91,1,161705.48542140928,8787,53955,opinion_degree_solution,900,48.93483018875122,uniform,random,True
92,2,161735.81972724144,8703,53766,opinion_degree_solution,900,48.93483018875122,uniform,random,True
93,3,161752.16207487285,8864,54063,opinion_degree_solution,900,48.93483018875122,uniform,random,True
94,4,161622.7693269771,8638,53931,opinion_degree_solution,900,48.93483018875122,uniform,random,True
95,5,161817.60472982668,9029,55028,opinion_degree_solution,900,48.93483018875122,uniform,random,True
96,6,161796.3336276737,8967,54605,opinion_degree_solution,900,48.93483018875122,uniform,random,True
97,7,161817.09536607127,8875,54120,opinion_degree_solution,900,48.93483018875122,uniform,random,True
98,8,161754.7288248366,8778,54352,opinion_degree_solution,900,48.93483018875122,uniform,random,True
99,9,161764.87007993765,8907,54964,opinion_degree_solution,900,48.93483018875122,uniform,random,True
100,0,167287.55279329373,8956,54320,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
101,1,167210.77351256966,8934,54556,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
102,2,167302.0209513654,9013,54258,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
103,3,167214.54584949595,8840,53895,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
104,4,167290.20730815103,9019,54598,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
105,5,167242.6706599352,8826,53452,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
106,6,167322.51123057003,8996,53963,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
107,7,167095.34324311858,8674,53784,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
108,8,167316.10107696362,9019,54677,opinion_degree_solution,1000,46.17425990104675,uniform,random,True
