,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,567543.7623326045,8,27,min_opinion_solution,1,1.171328067779541,polarized,random,True
1,1,567540.1909625279,1,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
2,2,567542.1678184812,3,21,min_opinion_solution,1,1.171328067779541,polarized,random,True
3,3,567540.7651057901,2,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
4,4,567540.7651057901,2,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
5,5,567540.7651057901,2,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
6,6,567540.7651057901,2,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
7,7,567540.1909625279,1,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
8,8,567540.7651057901,2,11,min_opinion_solution,1,1.171328067779541,polarized,random,True
9,9,567542.7445380603,5,16,min_opinion_solution,1,1.171328067779541,polarized,random,True
10,0,566913.007524521,175,957,min_opinion_solution,100,1.156790018081665,polarized,random,True
11,1,566955.5502377071,261,1429,min_opinion_solution,100,1.156790018081665,polarized,random,True
12,2,566923.6406751282,202,1130,min_opinion_solution,100,1.156790018081665,polarized,random,True
13,3,566924.7188393966,197,1002,min_opinion_solution,100,1.156790018081665,polarized,random,True
14,4,566905.7462991346,163,870,min_opinion_solution,100,1.156790018081665,polarized,random,True
15,5,566896.6699528104,151,862,min_opinion_solution,100,1.156790018081665,polarized,random,True
16,6,566932.8732931954,215,1457,min_opinion_solution,100,1.156790018081665,polarized,random,True
17,7,566918.8543384908,184,1116,min_opinion_solution,100,1.156790018081665,polarized,random,True
18,8,566944.0764159639,235,1711,min_opinion_solution,100,1.156790018081665,polarized,random,True
19,9,566906.6988362616,159,883,min_opinion_solution,100,1.156790018081665,polarized,random,True
20,0,566611.9443444398,351,1765,min_opinion_solution,200,1.1337990760803223,polarized,random,True
21,1,566649.4963802906,431,2457,min_opinion_solution,200,1.1337990760803223,polarized,random,True
22,2,566624.7353322743,380,1938,min_opinion_solution,200,1.1337990760803223,polarized,random,True
23,3,566656.9198330123,427,2370,min_opinion_solution,200,1.1337990760803223,polarized,random,True
24,4,566584.5500790107,314,1536,min_opinion_solution,200,1.1337990760803223,polarized,random,True
25,5,566638.3008543003,413,2188,min_opinion_solution,200,1.1337990760803223,polarized,random,True
26,6,566625.2847147482,387,2071,min_opinion_solution,200,1.1337990760803223,polarized,random,True
27,7,566619.8744624221,385,1959,min_opinion_solution,200,1.1337990760803223,polarized,random,True
28,8,566611.52871163,353,1700,min_opinion_solution,200,1.1337990760803223,polarized,random,True
29,9,566611.7333610385,365,1741,min_opinion_solution,200,1.1337990760803223,polarized,random,True
30,0,568380.4749476224,476,1744,min_opinion_solution,300,1.1405858993530273,polarized,random,True
31,1,568357.7561658529,452,1727,min_opinion_solution,300,1.1405858993530273,polarized,random,True
32,2,568365.0766837023,453,1554,min_opinion_solution,300,1.1405858993530273,polarized,random,True
33,3,568358.7038037542,453,1585,min_opinion_solution,300,1.1405858993530273,polarized,random,True
34,4,568383.557020671,486,1621,min_opinion_solution,300,1.1405858993530273,polarized,random,True
35,5,568396.8265651064,499,1699,min_opinion_solution,300,1.1405858993530273,polarized,random,True
36,6,568378.0592222296,494,1988,min_opinion_solution,300,1.1405858993530273,polarized,random,True
37,7,568369.2514072242,454,1468,min_opinion_solution,300,1.1405858993530273,polarized,random,True
