,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167569.94851535486,194,680,degree_solution,1,0.6889858245849609,uniform,random,False
1,1,167580.77366377795,215,702,degree_solution,1,0.6889858245849609,uniform,random,False
2,2,167581.12812254703,210,652,degree_solution,1,0.6889858245849609,uniform,random,False
3,3,167562.80352708383,184,621,degree_solution,1,0.6889858245849609,uniform,random,False
4,4,167581.05685997446,212,688,degree_solution,1,0.6889858245849609,uniform,random,False
5,5,167579.7545517384,206,674,degree_solution,1,0.6889858245849609,uniform,random,False
6,6,167576.2505420939,206,641,degree_solution,1,0.6889858245849609,uniform,random,False
7,7,167568.2200915117,192,711,degree_solution,1,0.6889858245849609,uniform,random,False
8,8,167580.16663342825,208,644,degree_solution,1,0.6889858245849609,uniform,random,False
9,9,167577.32974533862,214,707,degree_solution,1,0.6889858245849609,uniform,random,False
10,0,167598.57364153655,567,3193,degree_solution,10,0.7964682579040527,uniform,random,False
11,1,167603.30925261896,623,3329,degree_solution,10,0.7964682579040527,uniform,random,False
12,2,167658.35900263174,711,3666,degree_solution,10,0.7964682579040527,uniform,random,False
13,3,167614.41609655012,634,3328,degree_solution,10,0.7964682579040527,uniform,random,False
14,4,167608.82801697656,617,3227,degree_solution,10,0.7964682579040527,uniform,random,False
15,5,167618.1030653306,624,3194,degree_solution,10,0.7964682579040527,uniform,random,False
16,6,167628.49252868124,641,3495,degree_solution,10,0.7964682579040527,uniform,random,False
17,7,167603.49158649292,597,3158,degree_solution,10,0.7964682579040527,uniform,random,False
18,8,167609.64239221267,618,3220,degree_solution,10,0.7964682579040527,uniform,random,False
19,9,167595.41386010178,585,3184,degree_solution,10,0.7964682579040527,uniform,random,False
20,0,167894.18775050822,1038,5510,degree_solution,20,0.726470947265625,uniform,random,False
21,1,167845.0790690643,928,5335,degree_solution,20,0.726470947265625,uniform,random,False
22,2,167852.9251652152,953,5374,degree_solution,20,0.726470947265625,uniform,random,False
23,3,167857.55035515764,977,5326,degree_solution,20,0.726470947265625,uniform,random,False
24,4,167946.74253398456,1144,6046,degree_solution,20,0.726470947265625,uniform,random,False
25,5,167802.72799745525,877,5066,degree_solution,20,0.726470947265625,uniform,random,False
26,6,167851.55189262278,933,5320,degree_solution,20,0.726470947265625,uniform,random,False
27,7,167842.81588961344,899,5237,degree_solution,20,0.726470947265625,uniform,random,False
28,8,167865.61040250465,948,5264,degree_solution,20,0.726470947265625,uniform,random,False
29,9,167850.1630833123,949,5224,degree_solution,20,0.726470947265625,uniform,random,False
30,0,168359.7586382427,1300,7313,degree_solution,30,0.8023409843444824,uniform,random,False
31,1,168309.28936000817,1194,6702,degree_solution,30,0.8023409843444824,uniform,random,False
32,2,168306.21844361693,1177,6907,degree_solution,30,0.8023409843444824,uniform,random,False
33,3,168380.3330397463,1322,7257,degree_solution,30,0.8023409843444824,uniform,random,False
34,4,168329.77566489018,1259,7051,degree_solution,30,0.8023409843444824,uniform,random,False
35,5,168314.54067172506,1204,6797,degree_solution,30,0.8023409843444824,uniform,random,False
36,6,168303.73856364746,1203,6882,degree_solution,30,0.8023409843444824,uniform,random,False
37,7,168330.64324439803,1237,6827,degree_solution,30,0.8023409843444824,uniform,random,False
38,8,168297.75401737148,1205,7027,degree_solution,30,0.8023409843444824,uniform,random,False
39,9,168285.1432367701,1153,6760,degree_solution,30,0.8023409843444824,uniform,random,False
40,0,167944.8891091508,1515,8279,degree_solution,40,0.6852998733520508,uniform,random,False
41,1,167973.12037105867,1567,8252,degree_solution,40,0.6852998733520508,uniform,random,False
42,2,167995.92283267935,1588,8533,degree_solution,40,0.6852998733520508,uniform,random,False
43,3,167995.4859407807,1566,8554,degree_solution,40,0.6852998733520508,uniform,random,False
44,4,168001.4159690662,1610,8574,degree_solution,40,0.6852998733520508,uniform,random,False
45,5,167985.52134687308,1570,8438,degree_solution,40,0.6852998733520508,uniform,random,False
46,6,168000.6157081581,1588,8553,degree_solution,40,0.6852998733520508,uniform,random,False
47,7,167960.88285543662,1534,8317,degree_solution,40,0.6852998733520508,uniform,random,False
48,8,168006.6399402378,1592,8418,degree_solution,40,0.6852998733520508,uniform,random,False
49,9,168062.88028080904,1686,8943,degree_solution,40,0.6852998733520508,uniform,random,False
50,0,168191.51419146502,1690,9254,degree_solution,50,0.6883220672607422,uniform,random,False
51,1,168174.04304595146,1658,9397,degree_solution,50,0.6883220672607422,uniform,random,False
52,2,168178.8914593451,1669,9346,degree_solution,50,0.6883220672607422,uniform,random,False
53,3,168169.77904512166,1638,9171,degree_solution,50,0.6883220672607422,uniform,random,False
54,4,168214.00013761283,1741,9535,degree_solution,50,0.6883220672607422,uniform,random,False
55,5,168195.24848950436,1776,9620,degree_solution,50,0.6883220672607422,uniform,random,False
56,6,168195.23513632928,1677,9379,degree_solution,50,0.6883220672607422,uniform,random,False
57,7,168211.10862099196,1748,9692,degree_solution,50,0.6883220672607422,uniform,random,False
58,8,168269.76983677235,1811,9827,degree_solution,50,0.6883220672607422,uniform,random,False
59,9,168270.13915627878,1836,9858,degree_solution,50,0.6883220672607422,uniform,random,False
