,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167436.970707756,229,706,degree_solution,1,0.7577691078186035,polarized,random,True
1,1,167440.2755090944,227,801,degree_solution,1,0.7577691078186035,polarized,random,True
2,2,167421.05523134884,215,697,degree_solution,1,0.7577691078186035,polarized,random,True
3,3,167409.73210979562,190,664,degree_solution,1,0.7577691078186035,polarized,random,True
4,4,167412.23575955548,194,611,degree_solution,1,0.7577691078186035,polarized,random,True
5,5,167427.01140081516,207,690,degree_solution,1,0.7577691078186035,polarized,random,True
6,6,167434.85511310553,228,742,degree_solution,1,0.7577691078186035,polarized,random,True
7,7,167427.52679627287,219,726,degree_solution,1,0.7577691078186035,polarized,random,True
8,8,167427.4329686046,218,669,degree_solution,1,0.7577691078186035,polarized,random,True
9,9,167425.60135960171,202,675,degree_solution,1,0.7577691078186035,polarized,random,True
10,0,167849.1884000334,596,3269,degree_solution,10,0.7582128047943115,polarized,random,True
11,1,167844.8157280075,591,3208,degree_solution,10,0.7582128047943115,polarized,random,True
12,2,167906.25478336425,697,3433,degree_solution,10,0.7582128047943115,polarized,random,True
13,3,167859.5521884297,641,3484,degree_solution,10,0.7582128047943115,polarized,random,True
14,4,167901.96221086962,682,3456,degree_solution,10,0.7582128047943115,polarized,random,True
15,5,167871.62053863792,623,3330,degree_solution,10,0.7582128047943115,polarized,random,True
16,6,167900.38528677716,665,3510,degree_solution,10,0.7582128047943115,polarized,random,True
17,7,167886.88251365838,653,3485,degree_solution,10,0.7582128047943115,polarized,random,True
18,8,167874.6867164326,649,3294,degree_solution,10,0.7582128047943115,polarized,random,True
19,9,167855.4883374808,607,3282,degree_solution,10,0.7582128047943115,polarized,random,True
20,0,167932.3023794751,1029,5544,degree_solution,20,0.7588391304016113,polarized,random,True
21,1,167921.2200758339,991,5220,degree_solution,20,0.7588391304016113,polarized,random,True
22,2,167889.7776976339,979,5337,degree_solution,20,0.7588391304016113,polarized,random,True
23,3,167903.80575390364,954,5162,degree_solution,20,0.7588391304016113,polarized,random,True
24,4,167878.88722352518,949,5242,degree_solution,20,0.7588391304016113,polarized,random,True
25,5,167938.51895362017,1043,5385,degree_solution,20,0.7588391304016113,polarized,random,True
26,6,167882.62496325714,976,5306,degree_solution,20,0.7588391304016113,polarized,random,True
27,7,167903.96662145885,964,5195,degree_solution,20,0.7588391304016113,polarized,random,True
28,8,167935.36689082647,1075,5690,degree_solution,20,0.7588391304016113,polarized,random,True
29,9,167903.81464176407,1004,5390,degree_solution,20,0.7588391304016113,polarized,random,True
30,0,168416.90187735818,1430,7342,degree_solution,30,0.7852439880371094,polarized,random,True
31,1,168374.0725400866,1310,7211,degree_solution,30,0.7852439880371094,polarized,random,True
32,2,168363.16543116953,1295,6981,degree_solution,30,0.7852439880371094,polarized,random,True
33,3,168365.89105305096,1304,7249,degree_solution,30,0.7852439880371094,polarized,random,True
34,4,168369.4882692974,1297,7027,degree_solution,30,0.7852439880371094,polarized,random,True
35,5,168328.99532064114,1221,6998,degree_solution,30,0.7852439880371094,polarized,random,True
36,6,168391.03859660582,1296,7010,degree_solution,30,0.7852439880371094,polarized,random,True
37,7,168320.42952953282,1279,7233,degree_solution,30,0.7852439880371094,polarized,random,True
38,8,168397.52228386374,1342,7071,degree_solution,30,0.7852439880371094,polarized,random,True
39,9,168326.20443184784,1225,6807,degree_solution,30,0.7852439880371094,polarized,random,True
40,0,168337.78281104518,1505,8354,degree_solution,40,0.6938552856445312,polarized,random,True
41,1,168283.9105201362,1450,8055,degree_solution,40,0.6938552856445312,polarized,random,True
42,2,168335.21214058885,1544,8333,degree_solution,40,0.6938552856445312,polarized,random,True
43,3,168300.0054365019,1473,8166,degree_solution,40,0.6938552856445312,polarized,random,True
44,4,168313.03503971957,1440,8197,degree_solution,40,0.6938552856445312,polarized,random,True
45,5,168284.92781080562,1440,8090,degree_solution,40,0.6938552856445312,polarized,random,True
46,6,168265.93566462005,1389,7998,degree_solution,40,0.6938552856445312,polarized,random,True
47,7,168329.12768798092,1514,8336,degree_solution,40,0.6938552856445312,polarized,random,True
48,8,168354.04095559826,1584,8376,degree_solution,40,0.6938552856445312,polarized,random,True
49,9,168345.53034321778,1554,8545,degree_solution,40,0.6938552856445312,polarized,random,True
50,0,168518.42386166917,1714,9398,degree_solution,50,0.6828527450561523,polarized,random,True
51,1,168535.4138148517,1784,9629,degree_solution,50,0.6828527450561523,polarized,random,True
52,2,168473.59260734988,1666,9308,degree_solution,50,0.6828527450561523,polarized,random,True
53,3,168594.62194857505,1848,9825,degree_solution,50,0.6828527450561523,polarized,random,True
54,4,168462.55530722108,1645,9307,degree_solution,50,0.6828527450561523,polarized,random,True
55,5,168467.92330176654,1672,9381,degree_solution,50,0.6828527450561523,polarized,random,True
56,6,168543.00739486754,1787,9658,degree_solution,50,0.6828527450561523,polarized,random,True
57,7,168520.78313976512,1718,9443,degree_solution,50,0.6828527450561523,polarized,random,True
58,8,168573.3680089909,1814,9719,degree_solution,50,0.6828527450561523,polarized,random,True
59,9,168454.91176132244,1622,9052,degree_solution,50,0.6828527450561523,polarized,random,True
