,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167659.7531709527,221,717,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
1,1,167664.1216432054,225,685,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
2,2,167669.07208718883,238,742,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
3,3,167660.5509707404,218,665,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
4,4,167666.2939730412,214,624,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
5,5,167660.05878536627,210,697,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
6,6,167677.27355250204,240,767,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
7,7,167653.77244067087,211,692,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
8,8,167652.68620191806,204,662,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
9,9,167651.095631592,210,697,fast_LAIM_solution,1,47.72592091560364,polarized,random,False
10,0,167630.05278817593,759,3226,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
11,1,167624.42351644975,763,3228,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
12,2,167613.3480624472,718,3061,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
13,3,167607.46656842204,695,3094,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
14,4,167596.98780537993,711,3142,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
15,5,167662.2867947778,772,3383,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
16,6,167610.54001059552,711,3225,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
17,7,167618.8429761839,743,3241,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
18,8,167628.439221202,743,3186,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
19,9,167625.6319795359,726,3124,fast_LAIM_solution,10,48.36116290092468,polarized,random,False
20,0,167836.7288939591,1031,4776,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
21,1,167882.6076582975,1088,5069,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
22,2,167903.04529745632,1143,5177,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
23,3,167868.11870566497,1104,5184,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
24,4,167921.29914671916,1173,5287,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
25,5,167871.80480672867,1107,5202,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
26,6,167840.31797614982,1042,5045,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
27,7,167851.39394416206,1035,4956,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
28,8,167893.95457017608,1154,5304,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
29,9,167859.6952718036,1020,4798,fast_LAIM_solution,20,49.28637099266052,polarized,random,False
30,0,168300.89947707616,1433,6848,fast_LAIM_solution,30,42.431640625,polarized,random,False
31,1,168270.18269451542,1416,6699,fast_LAIM_solution,30,42.431640625,polarized,random,False
32,2,168260.91220390404,1410,6545,fast_LAIM_solution,30,42.431640625,polarized,random,False
33,3,168252.94620273184,1347,6717,fast_LAIM_solution,30,42.431640625,polarized,random,False
34,4,168284.83024772303,1411,6701,fast_LAIM_solution,30,42.431640625,polarized,random,False
35,5,168244.3965889647,1299,6495,fast_LAIM_solution,30,42.431640625,polarized,random,False
36,6,168222.59216626774,1273,6225,fast_LAIM_solution,30,42.431640625,polarized,random,False
37,7,168235.02054565912,1329,6569,fast_LAIM_solution,30,42.431640625,polarized,random,False
