,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167764.13599616764,193,651,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
1,1,167782.32469290704,235,700,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
2,2,167772.04155544014,210,674,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
3,3,167768.38781233423,203,635,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
4,4,167766.31889723512,197,645,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
5,5,167782.36686637145,220,644,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
6,6,167774.99315214928,219,720,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
7,7,167775.1496677088,210,688,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
8,8,167775.7672861532,201,659,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
9,9,167770.93402070206,200,635,fast_LAIM_solution,1,40.89894986152649,polarized,random,True
10,0,167745.34164185295,623,2934,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
11,1,167760.0589102621,628,3013,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
12,2,167786.88029115737,696,3090,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
13,3,167761.90460522773,664,2968,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
14,4,167793.06434232512,717,3064,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
15,5,167752.8246795685,626,2801,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
16,6,167784.12258111686,715,3107,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
17,7,167776.2250686143,680,3099,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
18,8,167758.6783185123,641,2975,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
19,9,167763.08426927516,655,2944,fast_LAIM_solution,10,41.398313999176025,polarized,random,True
20,0,167701.0744150032,1022,4944,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
21,1,167755.459384388,1103,5138,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
22,2,167700.04235561923,1014,4942,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
23,3,167762.62898043016,1119,5163,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
24,4,167691.1374634966,981,4655,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
25,5,167732.65307760492,1067,4952,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
26,6,167716.80140243028,1059,5120,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
27,7,167735.66549956793,1059,4908,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
28,8,167731.81952368285,1066,5074,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
29,9,167730.8143116735,1065,4893,fast_LAIM_solution,20,42.17639708518982,polarized,random,True
30,0,168563.81098478287,1379,6952,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
31,1,168562.46951575036,1391,6734,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
32,2,168516.2712800894,1289,6588,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
33,3,168561.56502247503,1408,6984,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
34,4,168563.18987234373,1345,6879,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
35,5,168579.40840753136,1388,6878,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
36,6,168646.48948536423,1538,7485,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
37,7,168582.8433556934,1392,6899,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
38,8,168559.55977338424,1373,6753,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
39,9,168599.5760158641,1394,6954,fast_LAIM_solution,30,43.01619577407837,polarized,random,True
40,0,168283.32705206994,1660,8153,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
41,1,168279.12728841996,1663,8020,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
42,2,168301.00380229464,1713,8111,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
43,3,168288.59803218316,1670,7889,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
44,4,168304.75970062037,1736,8422,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
45,5,168247.27257067306,1639,7925,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
46,6,168352.76985265597,1804,8430,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
47,7,168287.23727438625,1703,8072,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
48,8,168304.9316455699,1726,8065,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
49,9,168224.1006258273,1571,7757,fast_LAIM_solution,40,43.025960206985474,polarized,random,True
