,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167418.78348629503,3,11,min_opinion_solution,1,0.2729160785675049,polarized,random,False
1,1,167416.9936952806,1,6,min_opinion_solution,1,0.2729160785675049,polarized,random,False
2,2,167418.94685903142,4,10,min_opinion_solution,1,0.2729160785675049,polarized,random,False
3,3,167416.9936952806,1,6,min_opinion_solution,1,0.2729160785675049,polarized,random,False
4,4,167417.9357594845,2,9,min_opinion_solution,1,0.2729160785675049,polarized,random,False
5,5,167419.8403180735,4,15,min_opinion_solution,1,0.2729160785675049,polarized,random,False
6,6,167416.9936952806,1,6,min_opinion_solution,1,0.2729160785675049,polarized,random,False
7,7,167416.9936952806,1,6,min_opinion_solution,1,0.2729160785675049,polarized,random,False
8,8,167419.17791559885,4,11,min_opinion_solution,1,0.2729160785675049,polarized,random,False
9,9,167417.85633605142,2,9,min_opinion_solution,1,0.2729160785675049,polarized,random,False
10,0,167558.8515203339,13,69,min_opinion_solution,10,0.2706162929534912,polarized,random,False
11,1,167562.26971957856,17,68,min_opinion_solution,10,0.2706162929534912,polarized,random,False
12,2,167564.9909496599,27,104,min_opinion_solution,10,0.2706162929534912,polarized,random,False
13,3,167560.58128991933,16,69,min_opinion_solution,10,0.2706162929534912,polarized,random,False
14,4,167564.96884453404,20,98,min_opinion_solution,10,0.2706162929534912,polarized,random,False
15,5,167560.4475139331,15,91,min_opinion_solution,10,0.2706162929534912,polarized,random,False
16,6,167558.31441182416,13,68,min_opinion_solution,10,0.2706162929534912,polarized,random,False
17,7,167562.62136410014,22,87,min_opinion_solution,10,0.2706162929534912,polarized,random,False
18,8,167559.2000834787,14,73,min_opinion_solution,10,0.2706162929534912,polarized,random,False
19,9,167561.7824405857,18,90,min_opinion_solution,10,0.2706162929534912,polarized,random,False
20,0,167293.61143358288,32,177,min_opinion_solution,20,0.2768111228942871,polarized,random,False
21,1,167294.75591676423,35,171,min_opinion_solution,20,0.2768111228942871,polarized,random,False
22,2,167299.32083667384,47,181,min_opinion_solution,20,0.2768111228942871,polarized,random,False
23,3,167294.8259397602,41,191,min_opinion_solution,20,0.2768111228942871,polarized,random,False
24,4,167298.5056926589,37,172,min_opinion_solution,20,0.2768111228942871,polarized,random,False
25,5,167293.2601313848,32,154,min_opinion_solution,20,0.2768111228942871,polarized,random,False
26,6,167306.95323448835,51,298,min_opinion_solution,20,0.2768111228942871,polarized,random,False
27,7,167293.40091211913,34,179,min_opinion_solution,20,0.2768111228942871,polarized,random,False
28,8,167297.15340351232,35,195,min_opinion_solution,20,0.2768111228942871,polarized,random,False
29,9,167292.67089721316,29,158,min_opinion_solution,20,0.2768111228942871,polarized,random,False
30,0,167323.75068584978,52,247,min_opinion_solution,30,0.2785980701446533,polarized,random,False
31,1,167324.1055471543,45,218,min_opinion_solution,30,0.2785980701446533,polarized,random,False
32,2,167320.1609567071,42,219,min_opinion_solution,30,0.2785980701446533,polarized,random,False
33,3,167322.5785606513,45,242,min_opinion_solution,30,0.2785980701446533,polarized,random,False
34,4,167323.39410347686,44,203,min_opinion_solution,30,0.2785980701446533,polarized,random,False
35,5,167324.74958389657,51,240,min_opinion_solution,30,0.2785980701446533,polarized,random,False
36,6,167323.13943683714,45,208,min_opinion_solution,30,0.2785980701446533,polarized,random,False
37,7,167331.81764001815,57,299,min_opinion_solution,30,0.2785980701446533,polarized,random,False
38,8,167325.9668327816,55,239,min_opinion_solution,30,0.2785980701446533,polarized,random,False
39,9,167325.15501128483,49,257,min_opinion_solution,30,0.2785980701446533,polarized,random,False
40,0,167783.74454745254,72,324,min_opinion_solution,40,0.30769896507263184,polarized,random,False
41,1,167796.48967029748,99,470,min_opinion_solution,40,0.30769896507263184,polarized,random,False
42,2,167785.11698374886,79,343,min_opinion_solution,40,0.30769896507263184,polarized,random,False
43,3,167781.55029402723,72,295,min_opinion_solution,40,0.30769896507263184,polarized,random,False
44,4,167775.86324318987,59,284,min_opinion_solution,40,0.30769896507263184,polarized,random,False
45,5,167771.42104664148,57,287,min_opinion_solution,40,0.30769896507263184,polarized,random,False
46,6,167794.48668865094,91,415,min_opinion_solution,40,0.30769896507263184,polarized,random,False
47,7,167791.41513373773,82,363,min_opinion_solution,40,0.30769896507263184,polarized,random,False
48,8,167776.7253392878,68,314,min_opinion_solution,40,0.30769896507263184,polarized,random,False
49,9,167772.50174883945,59,266,min_opinion_solution,40,0.30769896507263184,polarized,random,False
50,0,167377.10060362113,88,438,min_opinion_solution,50,0.2895207405090332,polarized,random,False
51,1,167373.02641981095,73,361,min_opinion_solution,50,0.2895207405090332,polarized,random,False
52,2,167381.08937272496,85,408,min_opinion_solution,50,0.2895207405090332,polarized,random,False
53,3,167390.3365401549,99,432,min_opinion_solution,50,0.2895207405090332,polarized,random,False
54,4,167373.75321409508,72,358,min_opinion_solution,50,0.2895207405090332,polarized,random,False
55,5,167382.43354467698,84,423,min_opinion_solution,50,0.2895207405090332,polarized,random,False
56,6,167376.92233703096,86,391,min_opinion_solution,50,0.2895207405090332,polarized,random,False
57,7,167383.1059890185,94,413,min_opinion_solution,50,0.2895207405090332,polarized,random,False
58,8,167381.6951539834,92,379,min_opinion_solution,50,0.2895207405090332,polarized,random,False
59,9,167377.81004236054,78,364,min_opinion_solution,50,0.2895207405090332,polarized,random,False
