,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167534.05010724443,2,12,min_opinion_solution,1,0.2523460388183594,uniform,random,True
1,1,167535.08138766198,3,14,min_opinion_solution,1,0.2523460388183594,uniform,random,True
2,2,167534.7575684505,2,14,min_opinion_solution,1,0.2523460388183594,uniform,random,True
3,3,167534.54441596076,2,13,min_opinion_solution,1,0.2523460388183594,uniform,random,True
4,4,167536.25766287924,4,46,min_opinion_solution,1,0.2523460388183594,uniform,random,True
5,5,167535.33071335126,4,24,min_opinion_solution,1,0.2523460388183594,uniform,random,True
6,6,167534.7575684505,2,14,min_opinion_solution,1,0.2523460388183594,uniform,random,True
7,7,167533.94237259057,1,11,min_opinion_solution,1,0.2523460388183594,uniform,random,True
8,8,167533.94237259057,1,11,min_opinion_solution,1,0.2523460388183594,uniform,random,True
9,9,167534.54977559036,2,13,min_opinion_solution,1,0.2523460388183594,uniform,random,True
10,0,167270.0656287734,13,49,min_opinion_solution,10,0.2651557922363281,uniform,random,True
11,1,167269.67077079913,11,49,min_opinion_solution,10,0.2651557922363281,uniform,random,True
12,2,167273.114323806,17,76,min_opinion_solution,10,0.2651557922363281,uniform,random,True
13,3,167275.45708607847,19,69,min_opinion_solution,10,0.2651557922363281,uniform,random,True
14,4,167271.64340761906,14,55,min_opinion_solution,10,0.2651557922363281,uniform,random,True
15,5,167272.15705239915,14,57,min_opinion_solution,10,0.2651557922363281,uniform,random,True
16,6,167271.37405251665,13,54,min_opinion_solution,10,0.2651557922363281,uniform,random,True
17,7,167274.51322457718,19,62,min_opinion_solution,10,0.2651557922363281,uniform,random,True
18,8,167271.90699324678,15,51,min_opinion_solution,10,0.2651557922363281,uniform,random,True
19,9,167273.2544666891,17,50,min_opinion_solution,10,0.2651557922363281,uniform,random,True
20,0,167267.33729577865,28,152,min_opinion_solution,20,0.374866247177124,uniform,random,True
21,1,167270.4875722389,33,157,min_opinion_solution,20,0.374866247177124,uniform,random,True
22,2,167270.41896576897,33,144,min_opinion_solution,20,0.374866247177124,uniform,random,True
23,3,167269.0875907648,33,133,min_opinion_solution,20,0.374866247177124,uniform,random,True
24,4,167270.00042212894,33,152,min_opinion_solution,20,0.374866247177124,uniform,random,True
25,5,167266.57385206985,32,132,min_opinion_solution,20,0.374866247177124,uniform,random,True
26,6,167268.73326958282,32,154,min_opinion_solution,20,0.374866247177124,uniform,random,True
27,7,167265.99844705625,29,125,min_opinion_solution,20,0.374866247177124,uniform,random,True
28,8,167268.567643785,31,135,min_opinion_solution,20,0.374866247177124,uniform,random,True
29,9,167267.9569621684,30,155,min_opinion_solution,20,0.374866247177124,uniform,random,True
30,0,168062.46975577789,54,245,min_opinion_solution,30,0.2879512310028076,uniform,random,True
31,1,168061.2563422129,63,261,min_opinion_solution,30,0.2879512310028076,uniform,random,True
32,2,168060.81864225413,57,277,min_opinion_solution,30,0.2879512310028076,uniform,random,True
33,3,168055.28315169577,49,260,min_opinion_solution,30,0.2879512310028076,uniform,random,True
34,4,168055.93209051565,49,225,min_opinion_solution,30,0.2879512310028076,uniform,random,True
35,5,168062.64583184788,61,277,min_opinion_solution,30,0.2879512310028076,uniform,random,True
36,6,168050.4459402404,40,204,min_opinion_solution,30,0.2879512310028076,uniform,random,True
37,7,168055.50529440114,44,214,min_opinion_solution,30,0.2879512310028076,uniform,random,True
38,8,168061.91731945146,62,265,min_opinion_solution,30,0.2879512310028076,uniform,random,True
39,9,168051.13794370406,40,204,min_opinion_solution,30,0.2879512310028076,uniform,random,True
40,0,167369.40750109794,69,277,min_opinion_solution,40,0.296414852142334,uniform,random,True
41,1,167371.15865346394,71,272,min_opinion_solution,40,0.296414852142334,uniform,random,True
42,2,167371.67030644152,66,263,min_opinion_solution,40,0.296414852142334,uniform,random,True
43,3,167373.54543401182,73,279,min_opinion_solution,40,0.296414852142334,uniform,random,True
44,4,167367.99980982297,60,251,min_opinion_solution,40,0.296414852142334,uniform,random,True
45,5,167364.9512544579,58,250,min_opinion_solution,40,0.296414852142334,uniform,random,True
46,6,167371.99152441634,70,267,min_opinion_solution,40,0.296414852142334,uniform,random,True
47,7,167371.7868664724,74,283,min_opinion_solution,40,0.296414852142334,uniform,random,True
48,8,167368.01698890395,60,243,min_opinion_solution,40,0.296414852142334,uniform,random,True
49,9,167366.2770283471,61,259,min_opinion_solution,40,0.296414852142334,uniform,random,True
50,0,167378.0583782528,79,385,min_opinion_solution,50,0.28079986572265625,uniform,random,True
51,1,167381.37836640267,83,377,min_opinion_solution,50,0.28079986572265625,uniform,random,True
52,2,167377.0409849373,74,348,min_opinion_solution,50,0.28079986572265625,uniform,random,True
53,3,167375.84553835582,79,433,min_opinion_solution,50,0.28079986572265625,uniform,random,True
54,4,167374.7572200167,69,341,min_opinion_solution,50,0.28079986572265625,uniform,random,True
55,5,167374.2979893938,74,339,min_opinion_solution,50,0.28079986572265625,uniform,random,True
56,6,167374.38036729387,73,362,min_opinion_solution,50,0.28079986572265625,uniform,random,True
57,7,167380.46436800237,79,379,min_opinion_solution,50,0.28079986572265625,uniform,random,True
58,8,167378.1990920046,77,376,min_opinion_solution,50,0.28079986572265625,uniform,random,True
59,9,167380.02425592684,79,360,min_opinion_solution,50,0.28079986572265625,uniform,random,True
