,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167413.17564475516,82,412,opinion_degree_solution,1,14.142277956008911,polarized,random,False
1,1,167407.6635703337,62,343,opinion_degree_solution,1,14.142277956008911,polarized,random,False
2,2,167409.5370618216,68,339,opinion_degree_solution,1,14.142277956008911,polarized,random,False
3,3,167403.99609113554,60,337,opinion_degree_solution,1,14.142277956008911,polarized,random,False
4,4,167411.27566592034,68,375,opinion_degree_solution,1,14.142277956008911,polarized,random,False
5,5,167402.7606879083,58,330,opinion_degree_solution,1,14.142277956008911,polarized,random,False
6,6,167409.04997871738,67,337,opinion_degree_solution,1,14.142277956008911,polarized,random,False
7,7,167407.54244693843,62,343,opinion_degree_solution,1,14.142277956008911,polarized,random,False
8,8,167414.23918581082,67,394,opinion_degree_solution,1,14.142277956008911,polarized,random,False
9,9,167415.8066966722,76,385,opinion_degree_solution,1,14.142277956008911,polarized,random,False
10,0,167691.77123600373,483,2667,opinion_degree_solution,10,14.276910066604614,polarized,random,False
11,1,167713.87019362743,524,2681,opinion_degree_solution,10,14.276910066604614,polarized,random,False
12,2,167708.78226408953,522,2864,opinion_degree_solution,10,14.276910066604614,polarized,random,False
13,3,167701.99771909605,488,2639,opinion_degree_solution,10,14.276910066604614,polarized,random,False
14,4,167732.91439206194,549,2802,opinion_degree_solution,10,14.276910066604614,polarized,random,False
15,5,167711.53015571547,526,2806,opinion_degree_solution,10,14.276910066604614,polarized,random,False
16,6,167715.85933415568,557,2854,opinion_degree_solution,10,14.276910066604614,polarized,random,False
17,7,167725.6688719763,516,2738,opinion_degree_solution,10,14.276910066604614,polarized,random,False
18,8,167714.5154855485,535,2756,opinion_degree_solution,10,14.276910066604614,polarized,random,False
19,9,167744.19444847765,576,3065,opinion_degree_solution,10,14.276910066604614,polarized,random,False
20,0,167678.7219810158,589,4126,opinion_degree_solution,20,14.337022066116333,polarized,random,False
21,1,167656.5314228093,539,3812,opinion_degree_solution,20,14.337022066116333,polarized,random,False
22,2,167663.3750107791,552,3949,opinion_degree_solution,20,14.337022066116333,polarized,random,False
23,3,167662.62429179403,551,3977,opinion_degree_solution,20,14.337022066116333,polarized,random,False
24,4,167701.51571248088,616,3956,opinion_degree_solution,20,14.337022066116333,polarized,random,False
25,5,167677.21018605997,565,3914,opinion_degree_solution,20,14.337022066116333,polarized,random,False
26,6,167773.24524619777,738,4535,opinion_degree_solution,20,14.337022066116333,polarized,random,False
27,7,167633.37125638398,495,3770,opinion_degree_solution,20,14.337022066116333,polarized,random,False
28,8,167664.89961859296,566,3932,opinion_degree_solution,20,14.337022066116333,polarized,random,False
29,9,167664.8979320247,561,3986,opinion_degree_solution,20,14.337022066116333,polarized,random,False
30,0,167534.1512035268,748,5142,opinion_degree_solution,30,16.032368898391724,polarized,random,False
31,1,167480.85604240475,663,4839,opinion_degree_solution,30,16.032368898391724,polarized,random,False
32,2,167463.977620121,646,4677,opinion_degree_solution,30,16.032368898391724,polarized,random,False
33,3,167492.16045761388,676,4786,opinion_degree_solution,30,16.032368898391724,polarized,random,False
34,4,167526.06790588342,745,4990,opinion_degree_solution,30,16.032368898391724,polarized,random,False
35,5,167508.12934768526,736,4948,opinion_degree_solution,30,16.032368898391724,polarized,random,False
36,6,167536.02372485586,773,5040,opinion_degree_solution,30,16.032368898391724,polarized,random,False
37,7,167475.51649435092,647,4547,opinion_degree_solution,30,16.032368898391724,polarized,random,False
38,8,167527.52859026784,740,5010,opinion_degree_solution,30,16.032368898391724,polarized,random,False
39,9,167520.88243900938,726,4763,opinion_degree_solution,30,16.032368898391724,polarized,random,False
40,0,168219.2850436771,1296,7464,opinion_degree_solution,40,16.929861307144165,polarized,random,False
41,1,168225.0099398413,1315,7468,opinion_degree_solution,40,16.929861307144165,polarized,random,False
42,2,168189.75544970518,1231,7368,opinion_degree_solution,40,16.929861307144165,polarized,random,False
43,3,168176.60163865448,1208,7153,opinion_degree_solution,40,16.929861307144165,polarized,random,False
44,4,168250.29931196588,1330,7706,opinion_degree_solution,40,16.929861307144165,polarized,random,False
45,5,168210.92753094673,1299,7793,opinion_degree_solution,40,16.929861307144165,polarized,random,False
46,6,168228.00565320224,1306,7735,opinion_degree_solution,40,16.929861307144165,polarized,random,False
47,7,168258.6647562138,1364,7996,opinion_degree_solution,40,16.929861307144165,polarized,random,False
48,8,168130.8141890417,1145,7051,opinion_degree_solution,40,16.929861307144165,polarized,random,False
49,9,168181.34743062794,1221,7241,opinion_degree_solution,40,16.929861307144165,polarized,random,False
50,0,168499.3439921564,1314,7526,opinion_degree_solution,50,17.15613603591919,polarized,random,False
51,1,168553.16700923414,1407,7764,opinion_degree_solution,50,17.15613603591919,polarized,random,False
52,2,168592.2886895553,1416,7693,opinion_degree_solution,50,17.15613603591919,polarized,random,False
53,3,168446.7280660407,1209,7104,opinion_degree_solution,50,17.15613603591919,polarized,random,False
54,4,168557.26976157023,1424,8110,opinion_degree_solution,50,17.15613603591919,polarized,random,False
55,5,168473.99415725545,1268,7418,opinion_degree_solution,50,17.15613603591919,polarized,random,False
56,6,168500.55850260134,1292,7662,opinion_degree_solution,50,17.15613603591919,polarized,random,False
57,7,168515.4340257937,1368,7462,opinion_degree_solution,50,17.15613603591919,polarized,random,False
58,8,168534.6602301044,1354,7634,opinion_degree_solution,50,17.15613603591919,polarized,random,False
59,9,168537.36630585036,1343,7489,opinion_degree_solution,50,17.15613603591919,polarized,random,False
