,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167252.31573544984,271,785,opinion_degree_solution,1,15.883822917938232,polarized,random,True
1,1,167220.57491506916,212,660,opinion_degree_solution,1,15.883822917938232,polarized,random,True
2,2,167248.08656291544,252,701,opinion_degree_solution,1,15.883822917938232,polarized,random,True
3,3,167216.46106473624,208,639,opinion_degree_solution,1,15.883822917938232,polarized,random,True
4,4,167238.14720341485,226,678,opinion_degree_solution,1,15.883822917938232,polarized,random,True
5,5,167239.10727820994,241,759,opinion_degree_solution,1,15.883822917938232,polarized,random,True
6,6,167233.23622153385,224,653,opinion_degree_solution,1,15.883822917938232,polarized,random,True
7,7,167233.17861157938,220,649,opinion_degree_solution,1,15.883822917938232,polarized,random,True
8,8,167226.3132987339,211,722,opinion_degree_solution,1,15.883822917938232,polarized,random,True
9,9,167238.068443139,241,701,opinion_degree_solution,1,15.883822917938232,polarized,random,True
10,0,167242.7453695388,533,2926,opinion_degree_solution,10,16.06804609298706,polarized,random,True
11,1,167257.5695487477,571,3102,opinion_degree_solution,10,16.06804609298706,polarized,random,True
12,2,167248.3423857165,564,2945,opinion_degree_solution,10,16.06804609298706,polarized,random,True
13,3,167248.89579306252,556,2918,opinion_degree_solution,10,16.06804609298706,polarized,random,True
14,4,167254.79744481284,577,2979,opinion_degree_solution,10,16.06804609298706,polarized,random,True
15,5,167240.73473988555,573,2982,opinion_degree_solution,10,16.06804609298706,polarized,random,True
16,6,167254.40268683896,592,3033,opinion_degree_solution,10,16.06804609298706,polarized,random,True
17,7,167279.58577382268,619,3213,opinion_degree_solution,10,16.06804609298706,polarized,random,True
18,8,167245.70184286727,548,2918,opinion_degree_solution,10,16.06804609298706,polarized,random,True
19,9,167244.84045390598,563,2824,opinion_degree_solution,10,16.06804609298706,polarized,random,True
20,0,167608.7148079076,706,4204,opinion_degree_solution,20,14.5398850440979,polarized,random,True
21,1,167619.97152172017,769,4226,opinion_degree_solution,20,14.5398850440979,polarized,random,True
22,2,167608.18722553985,730,4373,opinion_degree_solution,20,14.5398850440979,polarized,random,True
23,3,167639.5130402872,754,4272,opinion_degree_solution,20,14.5398850440979,polarized,random,True
24,4,167620.2497576271,737,4147,opinion_degree_solution,20,14.5398850440979,polarized,random,True
25,5,167643.07691313812,765,4361,opinion_degree_solution,20,14.5398850440979,polarized,random,True
26,6,167591.2857185662,673,3992,opinion_degree_solution,20,14.5398850440979,polarized,random,True
27,7,167596.53586223067,702,4145,opinion_degree_solution,20,14.5398850440979,polarized,random,True
28,8,167618.575033806,733,4220,opinion_degree_solution,20,14.5398850440979,polarized,random,True
29,9,167647.40844350276,789,4405,opinion_degree_solution,20,14.5398850440979,polarized,random,True
30,0,168437.65982086418,1053,5959,opinion_degree_solution,30,14.686683893203735,polarized,random,True
31,1,168411.91778470442,1017,5777,opinion_degree_solution,30,14.686683893203735,polarized,random,True
32,2,168479.37355712982,1137,6277,opinion_degree_solution,30,14.686683893203735,polarized,random,True
33,3,168440.95210568715,1053,5870,opinion_degree_solution,30,14.686683893203735,polarized,random,True
34,4,168409.67929118022,1031,5909,opinion_degree_solution,30,14.686683893203735,polarized,random,True
35,5,168434.15745064477,1056,6025,opinion_degree_solution,30,14.686683893203735,polarized,random,True
36,6,168435.3917900813,1065,5902,opinion_degree_solution,30,14.686683893203735,polarized,random,True
37,7,168454.21387494277,1109,6107,opinion_degree_solution,30,14.686683893203735,polarized,random,True
38,8,168443.18646531677,1095,6185,opinion_degree_solution,30,14.686683893203735,polarized,random,True
39,9,168430.21704783684,1070,5991,opinion_degree_solution,30,14.686683893203735,polarized,random,True
40,0,167328.0061661343,1034,6388,opinion_degree_solution,40,15.227787971496582,polarized,random,True
41,1,167338.83813126647,1111,6461,opinion_degree_solution,40,15.227787971496582,polarized,random,True
42,2,167312.20207427177,1007,6641,opinion_degree_solution,40,15.227787971496582,polarized,random,True
43,3,167277.5531027345,974,6307,opinion_degree_solution,40,15.227787971496582,polarized,random,True
44,4,167275.21799770292,998,6461,opinion_degree_solution,40,15.227787971496582,polarized,random,True
45,5,167317.71814621415,1037,6533,opinion_degree_solution,40,15.227787971496582,polarized,random,True
46,6,167324.73746325774,1028,6717,opinion_degree_solution,40,15.227787971496582,polarized,random,True
47,7,167225.70029290157,906,6139,opinion_degree_solution,40,15.227787971496582,polarized,random,True
48,8,167238.11517557094,920,6342,opinion_degree_solution,40,15.227787971496582,polarized,random,True
49,9,167285.0614113016,936,6393,opinion_degree_solution,40,15.227787971496582,polarized,random,True
50,0,168452.53607248148,1285,7710,opinion_degree_solution,50,15.13413381576538,polarized,random,True
51,1,168467.85543851124,1304,7736,opinion_degree_solution,50,15.13413381576538,polarized,random,True
52,2,168455.31660885795,1319,7913,opinion_degree_solution,50,15.13413381576538,polarized,random,True
53,3,168480.2235867806,1313,7942,opinion_degree_solution,50,15.13413381576538,polarized,random,True
54,4,168500.1309495892,1344,7894,opinion_degree_solution,50,15.13413381576538,polarized,random,True
55,5,168393.06650141196,1229,7662,opinion_degree_solution,50,15.13413381576538,polarized,random,True
56,6,168451.51766331858,1304,7670,opinion_degree_solution,50,15.13413381576538,polarized,random,True
57,7,168420.1659556524,1215,7548,opinion_degree_solution,50,15.13413381576538,polarized,random,True
58,8,168416.22958699748,1213,7565,opinion_degree_solution,50,15.13413381576538,polarized,random,True
59,9,168469.08604311245,1282,7778,opinion_degree_solution,50,15.13413381576538,polarized,random,True
