,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158770.31665258305,10,363,degree_solution,1,0.6449549198150635,polarized,random,False
1,1,158785.69020243073,34,486,degree_solution,1,0.6449549198150635,polarized,random,False
2,2,158775.38494321977,17,373,degree_solution,1,0.6449549198150635,polarized,random,False
3,3,158782.7458239846,30,506,degree_solution,1,0.6449549198150635,polarized,random,False
4,4,158776.1323678446,19,442,degree_solution,1,0.6449549198150635,polarized,random,False
5,5,158779.2836591696,23,392,degree_solution,1,0.6449549198150635,polarized,random,False
6,6,158771.64438595076,13,396,degree_solution,1,0.6449549198150635,polarized,random,False
7,7,158777.13612397562,23,458,degree_solution,1,0.6449549198150635,polarized,random,False
8,8,158779.178422648,23,468,degree_solution,1,0.6449549198150635,polarized,random,False
9,9,158769.34520347763,10,363,degree_solution,1,0.6449549198150635,polarized,random,False
10,0,158660.30615354638,264,3056,degree_solution,10,0.6572799682617188,polarized,random,False
11,1,158624.1162764701,194,2924,degree_solution,10,0.6572799682617188,polarized,random,False
12,2,158654.17579700425,259,3170,degree_solution,10,0.6572799682617188,polarized,random,False
13,3,158648.0369028453,248,3133,degree_solution,10,0.6572799682617188,polarized,random,False
14,4,158653.00785809502,268,3228,degree_solution,10,0.6572799682617188,polarized,random,False
15,5,158639.09172019488,222,2946,degree_solution,10,0.6572799682617188,polarized,random,False
16,6,158668.69195704482,265,2997,degree_solution,10,0.6572799682617188,polarized,random,False
17,7,158623.39667314079,204,2739,degree_solution,10,0.6572799682617188,polarized,random,False
18,8,158643.4207663893,238,3041,degree_solution,10,0.6572799682617188,polarized,random,False
19,9,158671.39650390492,301,3434,degree_solution,10,0.6572799682617188,polarized,random,False
20,0,158412.06661542453,514,5375,degree_solution,20,0.6482470035552979,polarized,random,False
21,1,158389.9197883426,497,5358,degree_solution,20,0.6482470035552979,polarized,random,False
22,2,158404.2264037877,521,5837,degree_solution,20,0.6482470035552979,polarized,random,False
23,3,158361.78732185857,423,4945,degree_solution,20,0.6482470035552979,polarized,random,False
24,4,158374.8142737854,454,5231,degree_solution,20,0.6482470035552979,polarized,random,False
25,5,158379.09857559568,488,5343,degree_solution,20,0.6482470035552979,polarized,random,False
26,6,158367.82747203988,448,4774,degree_solution,20,0.6482470035552979,polarized,random,False
27,7,158440.78535394344,568,6013,degree_solution,20,0.6482470035552979,polarized,random,False
28,8,158396.04152398612,473,4898,degree_solution,20,0.6482470035552979,polarized,random,False
29,9,158393.69606084927,477,5251,degree_solution,20,0.6482470035552979,polarized,random,False
30,0,158901.4120913249,725,7475,degree_solution,30,0.650460958480835,polarized,random,False
31,1,158866.1459276893,685,7238,degree_solution,30,0.650460958480835,polarized,random,False
32,2,158952.48029467082,825,7900,degree_solution,30,0.650460958480835,polarized,random,False
33,3,158909.5949177614,722,7434,degree_solution,30,0.650460958480835,polarized,random,False
34,4,158950.7949550898,830,8336,degree_solution,30,0.650460958480835,polarized,random,False
35,5,158885.00417709508,718,7323,degree_solution,30,0.650460958480835,polarized,random,False
36,6,158898.30561099475,745,7582,degree_solution,30,0.650460958480835,polarized,random,False
37,7,158933.51966504107,774,7727,degree_solution,30,0.650460958480835,polarized,random,False
38,8,158968.49996535687,910,8213,degree_solution,30,0.650460958480835,polarized,random,False
39,9,158926.8743250834,816,7944,degree_solution,30,0.650460958480835,polarized,random,False
40,0,159351.4213792784,1007,9245,degree_solution,40,0.7105488777160645,polarized,random,False
41,1,159280.1933259916,855,8896,degree_solution,40,0.7105488777160645,polarized,random,False
42,2,159284.8255876071,920,9562,degree_solution,40,0.7105488777160645,polarized,random,False
43,3,159265.85040573738,789,8342,degree_solution,40,0.7105488777160645,polarized,random,False
44,4,159272.34914406537,846,8965,degree_solution,40,0.7105488777160645,polarized,random,False
45,5,159261.35061843158,863,9028,degree_solution,40,0.7105488777160645,polarized,random,False
46,6,159314.61800904738,975,9645,degree_solution,40,0.7105488777160645,polarized,random,False
47,7,159281.8478427174,885,9309,degree_solution,40,0.7105488777160645,polarized,random,False
48,8,159307.21902623863,895,9114,degree_solution,40,0.7105488777160645,polarized,random,False
49,9,159287.51997933607,892,9105,degree_solution,40,0.7105488777160645,polarized,random,False
50,0,158662.46227360098,1097,10765,degree_solution,50,0.6456801891326904,polarized,random,False
51,1,158666.64698035695,1090,10736,degree_solution,50,0.6456801891326904,polarized,random,False
52,2,158640.49695249862,1030,10460,degree_solution,50,0.6456801891326904,polarized,random,False
53,3,158709.61922502864,1186,11505,degree_solution,50,0.6456801891326904,polarized,random,False
54,4,158599.0645481616,989,10215,degree_solution,50,0.6456801891326904,polarized,random,False
55,5,158674.50330896734,1135,11066,degree_solution,50,0.6456801891326904,polarized,random,False
56,6,158749.33556190733,1227,11449,degree_solution,50,0.6456801891326904,polarized,random,False
57,7,158656.96796068,1093,10708,degree_solution,50,0.6456801891326904,polarized,random,False
58,8,158704.32723444968,1165,11274,degree_solution,50,0.6456801891326904,polarized,random,False
59,9,158649.364441856,1061,10459,degree_solution,50,0.6456801891326904,polarized,random,False
