,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158536.20334239485,17,384,degree_solution,1,0.6653718948364258,uniform,random,False
1,1,158535.98056270747,18,366,degree_solution,1,0.6653718948364258,uniform,random,False
2,2,158531.0295364356,7,393,degree_solution,1,0.6653718948364258,uniform,random,False
3,3,158541.20859204442,22,436,degree_solution,1,0.6653718948364258,uniform,random,False
4,4,158532.26753101236,9,371,degree_solution,1,0.6653718948364258,uniform,random,False
5,5,158537.0544356347,19,438,degree_solution,1,0.6653718948364258,uniform,random,False
6,6,158541.10075868297,25,436,degree_solution,1,0.6653718948364258,uniform,random,False
7,7,158537.11145549914,22,495,degree_solution,1,0.6653718948364258,uniform,random,False
8,8,158566.78518367364,80,761,degree_solution,1,0.6653718948364258,uniform,random,False
9,9,158537.20375248377,17,479,degree_solution,1,0.6653718948364258,uniform,random,False
10,0,158462.2710533488,218,2853,degree_solution,10,0.709179162979126,uniform,random,False
11,1,158528.64987961194,332,3521,degree_solution,10,0.709179162979126,uniform,random,False
12,2,158470.96161219952,236,3035,degree_solution,10,0.709179162979126,uniform,random,False
13,3,158487.36312335936,301,3174,degree_solution,10,0.709179162979126,uniform,random,False
14,4,158486.59093771776,263,3112,degree_solution,10,0.709179162979126,uniform,random,False
15,5,158480.7635914816,256,3231,degree_solution,10,0.709179162979126,uniform,random,False
16,6,158482.51193148576,255,3045,degree_solution,10,0.709179162979126,uniform,random,False
17,7,158467.97748452547,235,2937,degree_solution,10,0.709179162979126,uniform,random,False
18,8,158481.06438442922,260,3032,degree_solution,10,0.709179162979126,uniform,random,False
19,9,158508.8765021831,294,3378,degree_solution,10,0.709179162979126,uniform,random,False
20,0,158662.4522257187,574,5869,degree_solution,20,0.6578550338745117,uniform,random,False
21,1,158566.48801722136,390,4676,degree_solution,20,0.6578550338745117,uniform,random,False
22,2,158605.61643959474,468,5417,degree_solution,20,0.6578550338745117,uniform,random,False
23,3,158576.6897113918,439,5124,degree_solution,20,0.6578550338745117,uniform,random,False
24,4,158601.90850116598,479,5294,degree_solution,20,0.6578550338745117,uniform,random,False
25,5,158629.60250550797,528,5863,degree_solution,20,0.6578550338745117,uniform,random,False
26,6,158618.31585415758,488,5307,degree_solution,20,0.6578550338745117,uniform,random,False
27,7,158582.79774542106,450,5327,degree_solution,20,0.6578550338745117,uniform,random,False
28,8,158592.90093088584,452,4829,degree_solution,20,0.6578550338745117,uniform,random,False
29,9,158593.79441859724,452,5053,degree_solution,20,0.6578550338745117,uniform,random,False
30,0,159214.64301135013,689,7392,degree_solution,30,0.6478159427642822,uniform,random,False
31,1,159201.27991018703,697,7222,degree_solution,30,0.6478159427642822,uniform,random,False
32,2,159179.29403157695,682,7276,degree_solution,30,0.6478159427642822,uniform,random,False
33,3,159195.6137780218,673,7304,degree_solution,30,0.6478159427642822,uniform,random,False
34,4,159232.92842732015,769,7657,degree_solution,30,0.6478159427642822,uniform,random,False
35,5,159155.21005910993,585,6618,degree_solution,30,0.6478159427642822,uniform,random,False
36,6,159225.05620227833,748,7394,degree_solution,30,0.6478159427642822,uniform,random,False
37,7,159215.93385249743,735,7626,degree_solution,30,0.6478159427642822,uniform,random,False
38,8,159232.5450846075,777,7977,degree_solution,30,0.6478159427642822,uniform,random,False
39,9,159188.56063298343,663,7537,degree_solution,30,0.6478159427642822,uniform,random,False
40,0,158653.71437585636,956,9756,degree_solution,40,0.6588611602783203,uniform,random,False
41,1,158585.82193069518,817,8399,degree_solution,40,0.6588611602783203,uniform,random,False
42,2,158632.8657504702,961,9706,degree_solution,40,0.6588611602783203,uniform,random,False
43,3,158663.36251031028,990,9671,degree_solution,40,0.6588611602783203,uniform,random,False
44,4,158638.3465523568,967,9365,degree_solution,40,0.6588611602783203,uniform,random,False
45,5,158630.45637758743,956,9589,degree_solution,40,0.6588611602783203,uniform,random,False
46,6,158614.78863196567,873,9388,degree_solution,40,0.6588611602783203,uniform,random,False
47,7,158678.44615908418,1047,9776,degree_solution,40,0.6588611602783203,uniform,random,False
48,8,158673.0769343944,971,9747,degree_solution,40,0.6588611602783203,uniform,random,False
49,9,158643.98724037877,924,8925,degree_solution,40,0.6588611602783203,uniform,random,False
50,0,159146.426340384,1065,10631,degree_solution,50,0.651231050491333,uniform,random,False
51,1,159170.27081113236,1100,10768,degree_solution,50,0.651231050491333,uniform,random,False
52,2,159119.4821897042,1037,10575,degree_solution,50,0.651231050491333,uniform,random,False
53,3,159129.73185552805,1056,10786,degree_solution,50,0.651231050491333,uniform,random,False
54,4,159103.5390609618,993,10473,degree_solution,50,0.651231050491333,uniform,random,False
55,5,159218.37039640616,1218,11724,degree_solution,50,0.651231050491333,uniform,random,False
56,6,159237.040583057,1278,11351,degree_solution,50,0.651231050491333,uniform,random,False
57,7,159169.0201959372,1103,11018,degree_solution,50,0.651231050491333,uniform,random,False
58,8,159219.19846154,1201,11373,degree_solution,50,0.651231050491333,uniform,random,False
59,9,159161.12035753383,1097,10772,degree_solution,50,0.651231050491333,uniform,random,False
