,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159501.47814079764,29,519,degree_solution,1,0.727863073348999,polarized,random,True
1,1,159499.4357396952,25,555,degree_solution,1,0.727863073348999,polarized,random,True
2,2,159506.62908280856,52,665,degree_solution,1,0.727863073348999,polarized,random,True
3,3,159493.30414652164,15,446,degree_solution,1,0.727863073348999,polarized,random,True
4,4,159499.61596454447,21,409,degree_solution,1,0.727863073348999,polarized,random,True
5,5,159492.60067438261,12,412,degree_solution,1,0.727863073348999,polarized,random,True
6,6,159492.85816298873,16,403,degree_solution,1,0.727863073348999,polarized,random,True
7,7,159505.10490741764,34,535,degree_solution,1,0.727863073348999,polarized,random,True
8,8,159507.37624218155,35,609,degree_solution,1,0.727863073348999,polarized,random,True
9,9,159493.74398420894,16,379,degree_solution,1,0.727863073348999,polarized,random,True
10,0,155861.5940624625,260,3237,degree_solution,10,0.6608450412750244,polarized,random,True
11,1,155842.15110140998,241,3017,degree_solution,10,0.6608450412750244,polarized,random,True
12,2,155838.70409959953,216,2966,degree_solution,10,0.6608450412750244,polarized,random,True
13,3,155883.66976871825,311,3426,degree_solution,10,0.6608450412750244,polarized,random,True
14,4,155853.83430549694,238,3005,degree_solution,10,0.6608450412750244,polarized,random,True
15,5,155858.0330959519,243,3071,degree_solution,10,0.6608450412750244,polarized,random,True
16,6,155881.62021144314,281,3451,degree_solution,10,0.6608450412750244,polarized,random,True
17,7,155855.66586023284,217,3070,degree_solution,10,0.6608450412750244,polarized,random,True
18,8,155867.90791808924,268,3237,degree_solution,10,0.6608450412750244,polarized,random,True
19,9,155856.533421127,256,3100,degree_solution,10,0.6608450412750244,polarized,random,True
20,0,157482.1538991611,398,4929,degree_solution,20,0.6536788940429688,polarized,random,True
21,1,157570.07239645428,574,5713,degree_solution,20,0.6536788940429688,polarized,random,True
22,2,157562.32167986096,533,5669,degree_solution,20,0.6536788940429688,polarized,random,True
23,3,157535.3323798852,515,5370,degree_solution,20,0.6536788940429688,polarized,random,True
24,4,157522.4961367816,490,5395,degree_solution,20,0.6536788940429688,polarized,random,True
25,5,157517.68450126043,484,5255,degree_solution,20,0.6536788940429688,polarized,random,True
26,6,157513.3556882764,492,5101,degree_solution,20,0.6536788940429688,polarized,random,True
27,7,157529.2559537903,482,5405,degree_solution,20,0.6536788940429688,polarized,random,True
28,8,157537.43225596266,518,5391,degree_solution,20,0.6536788940429688,polarized,random,True
29,9,157522.0400450837,487,5573,degree_solution,20,0.6536788940429688,polarized,random,True
30,0,168099.61487829822,882,8131,degree_solution,30,0.6462318897247314,polarized,random,True
31,1,168027.41147627684,732,7435,degree_solution,30,0.6462318897247314,polarized,random,True
32,2,167979.57283081496,654,6901,degree_solution,30,0.6462318897247314,polarized,random,True
33,3,168068.34001241103,792,7686,degree_solution,30,0.6462318897247314,polarized,random,True
34,4,168019.07664644768,710,7529,degree_solution,30,0.6462318897247314,polarized,random,True
35,5,168054.96609268943,788,7590,degree_solution,30,0.6462318897247314,polarized,random,True
36,6,168022.939657319,697,7481,degree_solution,30,0.6462318897247314,polarized,random,True
37,7,168011.295509811,701,7344,degree_solution,30,0.6462318897247314,polarized,random,True
38,8,168032.35635691596,747,7162,degree_solution,30,0.6462318897247314,polarized,random,True
39,9,168019.07899152147,713,7272,degree_solution,30,0.6462318897247314,polarized,random,True
40,0,156228.9141665598,897,9238,degree_solution,40,0.6546580791473389,polarized,random,True
41,1,156184.0650860158,811,8922,degree_solution,40,0.6546580791473389,polarized,random,True
42,2,156194.65955792207,849,8952,degree_solution,40,0.6546580791473389,polarized,random,True
43,3,156239.38737011937,950,9558,degree_solution,40,0.6546580791473389,polarized,random,True
44,4,156206.05923690656,886,9238,degree_solution,40,0.6546580791473389,polarized,random,True
45,5,156214.92949701298,857,8976,degree_solution,40,0.6546580791473389,polarized,random,True
46,6,156242.79443519536,931,9561,degree_solution,40,0.6546580791473389,polarized,random,True
47,7,156214.3393948634,889,9015,degree_solution,40,0.6546580791473389,polarized,random,True
48,8,156219.37692750053,905,9204,degree_solution,40,0.6546580791473389,polarized,random,True
49,9,156261.44416066038,1012,9759,degree_solution,40,0.6546580791473389,polarized,random,True
50,0,158580.00050937125,1111,10954,degree_solution,50,0.6491358280181885,polarized,random,True
51,1,158601.5722126019,1176,11359,degree_solution,50,0.6491358280181885,polarized,random,True
52,2,158538.8468492273,1076,10510,degree_solution,50,0.6491358280181885,polarized,random,True
53,3,158518.9380756061,1048,10619,degree_solution,50,0.6491358280181885,polarized,random,True
54,4,158589.89495864228,1160,11429,degree_solution,50,0.6491358280181885,polarized,random,True
55,5,158550.18761102413,1130,11165,degree_solution,50,0.6491358280181885,polarized,random,True
56,6,158509.25424809626,994,10472,degree_solution,50,0.6491358280181885,polarized,random,True
57,7,158504.09912260706,990,10659,degree_solution,50,0.6491358280181885,polarized,random,True
58,8,158526.59322720856,1039,10641,degree_solution,50,0.6491358280181885,polarized,random,True
59,9,158499.7462797829,974,9916,degree_solution,50,0.6491358280181885,polarized,random,True
