,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158406.8237497141,37,129,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
1,1,158410.9798499636,59,166,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
2,2,158409.29902880528,45,161,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
3,3,158406.5923436323,47,188,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
4,4,158403.37965008343,33,121,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
5,5,158403.92117646517,35,134,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
6,6,158404.86255376379,46,166,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
7,7,158411.39106065425,47,135,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
8,8,158401.85850941046,29,127,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
9,9,158407.22527714193,47,150,fast_LAIM_solution,1,78.13235783576965,polarized,random,False
10,0,158760.0161696948,358,2728,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
11,1,158766.6824834097,389,2697,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
12,2,158772.17187985365,391,2803,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
13,3,158747.3833055934,385,2728,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
14,4,158758.87134994435,380,2555,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
15,5,158717.6206034886,300,2139,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
16,6,158749.74816936438,362,2411,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
17,7,158728.32413067855,308,2360,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
18,8,158772.85719558928,374,2688,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
19,9,158725.66391448624,312,2468,fast_LAIM_solution,10,78.52215003967285,polarized,random,False
20,0,159128.6525748186,603,4064,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
21,1,159098.81391720852,535,3911,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
22,2,159169.40669520013,666,4297,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
23,3,159147.223708964,637,4105,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
24,4,159117.2065025769,586,3806,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
25,5,159138.17519390007,608,4116,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
26,6,159096.56951954454,551,3759,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
27,7,159109.28698706662,560,3835,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
28,8,159110.2604610687,581,3921,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
29,9,159089.71147615297,534,3695,fast_LAIM_solution,20,78.86565685272217,polarized,random,False
30,0,158612.17026243516,838,5807,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
31,1,158591.7494551925,827,5557,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
32,2,158619.7519114101,885,5973,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
33,3,158612.2806794929,848,5919,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
34,4,158610.26684976293,860,6058,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
35,5,158611.39299376198,842,5941,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
36,6,158640.52014383627,932,6244,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
37,7,158632.28716105444,881,5813,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
38,8,158614.27939566935,885,6097,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
39,9,158637.75817264,901,5878,fast_LAIM_solution,30,78.74498391151428,polarized,random,False
40,0,159412.85372107735,1176,8080,fast_LAIM_solution,40,84.99099802970886,polarized,random,False
