,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158547.81662223936,34,200,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
1,1,158544.34330420292,30,198,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
2,2,158544.80979945452,28,175,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
3,3,158544.2791617319,28,175,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
4,4,158546.4999168457,33,207,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
5,5,158547.4400254778,37,203,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
6,6,158546.34269735467,31,201,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
7,7,158547.66503327605,30,198,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
8,8,158548.30601675567,33,223,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
9,9,158554.95934178276,51,252,fast_LAIM_solution,1,38.50813412666321,uniform,random,False
10,0,158513.2339549231,307,2362,fast_LAIM_solution,10,37.721107006073,uniform,random,False
11,1,158534.8929981207,347,2725,fast_LAIM_solution,10,37.721107006073,uniform,random,False
12,2,158516.18878953604,315,2389,fast_LAIM_solution,10,37.721107006073,uniform,random,False
13,3,158525.85736428268,326,2448,fast_LAIM_solution,10,37.721107006073,uniform,random,False
14,4,158502.9101034288,295,2186,fast_LAIM_solution,10,37.721107006073,uniform,random,False
15,5,158525.11349904994,324,2334,fast_LAIM_solution,10,37.721107006073,uniform,random,False
16,6,158549.23265307694,381,2608,fast_LAIM_solution,10,37.721107006073,uniform,random,False
17,7,158513.74858919668,315,2422,fast_LAIM_solution,10,37.721107006073,uniform,random,False
18,8,158532.30941019408,354,2396,fast_LAIM_solution,10,37.721107006073,uniform,random,False
19,9,158554.28900146813,388,2772,fast_LAIM_solution,10,37.721107006073,uniform,random,False
20,0,158638.48676272214,577,4247,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
21,1,158611.30738481865,519,3982,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
22,2,158688.43067475443,668,4625,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
23,3,158716.23766784946,719,4998,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
24,4,158664.6976255982,619,4331,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
25,5,158665.0778638477,626,4483,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
26,6,158666.71142922528,620,4551,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
27,7,158638.54915194013,562,4157,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
28,8,158672.29016052373,632,4330,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
29,9,158690.42514570235,651,4828,fast_LAIM_solution,20,38.80159091949463,uniform,random,False
30,0,159298.43475793954,877,5770,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
31,1,159338.20188604397,957,6403,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
32,2,159275.44481544074,832,5635,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
33,3,159306.45109544924,908,5999,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
34,4,159305.87996698447,899,5645,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
35,5,159304.22516280133,867,5976,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
36,6,159353.65332073838,1004,6529,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
37,7,159306.33551254147,901,5981,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
38,8,159277.56082394408,860,5902,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
39,9,159358.7914981803,997,6570,fast_LAIM_solution,30,39.32456398010254,uniform,random,False
40,0,158740.03392514412,1064,7331,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
41,1,158819.9881055756,1292,8326,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
42,2,158788.02550750875,1217,7885,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
43,3,158780.5241153953,1202,7950,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
44,4,158698.19076383728,1048,7315,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
45,5,158730.68947068197,1091,7146,fast_LAIM_solution,40,39.24181079864502,uniform,random,False
