,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,161893.5837496732,23,125,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
1,1,161900.79689137574,35,127,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
2,2,161894.7654210728,28,128,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
3,3,161894.2286518501,21,122,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
4,4,161897.42528790154,34,137,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
5,5,161905.28669957374,44,149,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
6,6,161898.67719190248,36,157,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
7,7,161903.48640809217,38,122,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
8,8,161904.4529697549,45,161,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
9,9,161902.27854916037,36,126,fast_LAIM_solution,1,77.55352997779846,polarized,random,True
10,0,154443.51881110691,382,2472,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
11,1,154394.61324532493,300,2226,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
12,2,154388.9793842984,296,2256,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
13,3,154390.2767302097,303,2322,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
14,4,154413.6911356313,360,2510,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
15,5,154441.54297946964,378,2795,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
16,6,154442.5722295523,389,2609,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
17,7,154439.00889150568,366,2667,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
18,8,154419.77280532944,348,2486,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
19,9,154448.120591506,379,2570,fast_LAIM_solution,10,76.32416296005249,polarized,random,True
20,0,163195.9230857613,729,4682,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
21,1,163182.29459556486,697,4694,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
22,2,163143.59224408458,657,4143,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
23,3,163110.47331522757,578,4060,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
24,4,163202.38884805515,777,5061,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
25,5,163162.96727831586,656,4438,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
26,6,163144.94247517153,637,4476,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
27,7,163141.8735121873,635,4377,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
28,8,163155.8782331052,618,4598,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
29,9,163182.19626053455,676,4611,fast_LAIM_solution,20,77.4428186416626,polarized,random,True
30,0,164386.2829095837,907,6149,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
31,1,164380.01620077918,877,5683,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
32,2,164382.89848001057,904,6027,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
33,3,164345.85023957092,831,6190,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
34,4,164399.77737971887,939,6230,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
35,5,164396.18461768352,919,6430,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
36,6,164420.74791911364,976,6383,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
37,7,164419.8774140733,951,6230,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
38,8,164416.69904106215,1000,6528,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
39,9,164412.4044299714,1010,6240,fast_LAIM_solution,30,76.13281321525574,polarized,random,True
40,0,163966.17914221177,1091,7682,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
41,1,164010.13190863695,1182,8135,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
42,2,164006.46831470844,1117,7795,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
43,3,163997.41823820258,1148,7442,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
44,4,163997.70312255787,1126,7689,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
45,5,163987.32422697032,1153,7693,fast_LAIM_solution,40,78.68466997146606,polarized,random,True
