,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
1,1,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
2,2,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
3,3,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
4,4,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
5,5,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
6,6,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
7,7,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
8,8,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
9,9,158684.2334621991,1,2,min_opinion_solution,1,0.2485640048980713,polarized,random,False
10,0,158485.22355109887,12,70,min_opinion_solution,10,0.2549419403076172,polarized,random,False
11,1,158488.19637760596,20,94,min_opinion_solution,10,0.2549419403076172,polarized,random,False
12,2,158488.68331280758,19,106,min_opinion_solution,10,0.2549419403076172,polarized,random,False
13,3,158489.33167928422,20,92,min_opinion_solution,10,0.2549419403076172,polarized,random,False
14,4,158489.33633550166,20,77,min_opinion_solution,10,0.2549419403076172,polarized,random,False
15,5,158488.61384764622,17,77,min_opinion_solution,10,0.2549419403076172,polarized,random,False
16,6,158492.84755418682,24,128,min_opinion_solution,10,0.2549419403076172,polarized,random,False
17,7,158488.2078276026,17,86,min_opinion_solution,10,0.2549419403076172,polarized,random,False
18,8,158487.0513605774,15,73,min_opinion_solution,10,0.2549419403076172,polarized,random,False
19,9,158489.62572102732,20,102,min_opinion_solution,10,0.2549419403076172,polarized,random,False
20,0,158816.81809278065,34,128,min_opinion_solution,20,0.2801940441131592,polarized,random,False
21,1,158819.8471343778,36,131,min_opinion_solution,20,0.2801940441131592,polarized,random,False
22,2,158819.3882899563,35,141,min_opinion_solution,20,0.2801940441131592,polarized,random,False
23,3,158819.76816676295,36,144,min_opinion_solution,20,0.2801940441131592,polarized,random,False
24,4,158817.52940339484,32,129,min_opinion_solution,20,0.2801940441131592,polarized,random,False
25,5,158824.239416839,42,156,min_opinion_solution,20,0.2801940441131592,polarized,random,False
26,6,158831.15045807933,52,288,min_opinion_solution,20,0.2801940441131592,polarized,random,False
27,7,158815.4826744844,29,127,min_opinion_solution,20,0.2801940441131592,polarized,random,False
28,8,158826.16766430018,41,176,min_opinion_solution,20,0.2801940441131592,polarized,random,False
29,9,158815.30903490615,28,160,min_opinion_solution,20,0.2801940441131592,polarized,random,False
30,0,158500.52220154245,65,400,min_opinion_solution,30,0.26041221618652344,polarized,random,False
31,1,158481.10950800317,40,258,min_opinion_solution,30,0.26041221618652344,polarized,random,False
32,2,158485.75734188946,45,259,min_opinion_solution,30,0.26041221618652344,polarized,random,False
33,3,158488.8527789725,49,263,min_opinion_solution,30,0.26041221618652344,polarized,random,False
34,4,158495.6818385994,61,340,min_opinion_solution,30,0.26041221618652344,polarized,random,False
35,5,158487.4818707144,44,256,min_opinion_solution,30,0.26041221618652344,polarized,random,False
36,6,158519.27138852674,99,769,min_opinion_solution,30,0.26041221618652344,polarized,random,False
37,7,158506.83103842768,78,423,min_opinion_solution,30,0.26041221618652344,polarized,random,False
38,8,158485.6230380768,42,269,min_opinion_solution,30,0.26041221618652344,polarized,random,False
39,9,158481.74985204867,39,244,min_opinion_solution,30,0.26041221618652344,polarized,random,False
40,0,158499.69184083826,79,425,min_opinion_solution,40,0.25226616859436035,polarized,random,False
41,1,158500.53191799915,82,384,min_opinion_solution,40,0.25226616859436035,polarized,random,False
42,2,158501.17071668524,92,558,min_opinion_solution,40,0.25226616859436035,polarized,random,False
43,3,158490.75581472795,73,405,min_opinion_solution,40,0.25226616859436035,polarized,random,False
44,4,158495.44416578516,74,348,min_opinion_solution,40,0.25226616859436035,polarized,random,False
45,5,158506.29047248847,100,484,min_opinion_solution,40,0.25226616859436035,polarized,random,False
46,6,158492.52202643012,69,366,min_opinion_solution,40,0.25226616859436035,polarized,random,False
47,7,158490.9938537169,69,335,min_opinion_solution,40,0.25226616859436035,polarized,random,False
48,8,158490.69983634807,67,332,min_opinion_solution,40,0.25226616859436035,polarized,random,False
49,9,158491.90295080445,68,381,min_opinion_solution,40,0.25226616859436035,polarized,random,False
50,0,158570.78715967626,93,434,min_opinion_solution,50,0.3058149814605713,polarized,random,False
51,1,158575.93295831094,89,365,min_opinion_solution,50,0.3058149814605713,polarized,random,False
52,2,158570.60607201525,89,450,min_opinion_solution,50,0.3058149814605713,polarized,random,False
53,3,158574.5935413094,92,383,min_opinion_solution,50,0.3058149814605713,polarized,random,False
54,4,158576.99361969813,95,418,min_opinion_solution,50,0.3058149814605713,polarized,random,False
55,5,158573.5178417017,90,382,min_opinion_solution,50,0.3058149814605713,polarized,random,False
56,6,158586.294569651,106,460,min_opinion_solution,50,0.3058149814605713,polarized,random,False
57,7,158580.98835972077,100,426,min_opinion_solution,50,0.3058149814605713,polarized,random,False
58,8,158575.2032795449,94,391,min_opinion_solution,50,0.3058149814605713,polarized,random,False
59,9,158559.90419476366,79,390,min_opinion_solution,50,0.3058149814605713,polarized,random,False
