,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159747.8318513192,10,130,min_opinion_solution,1,0.2915380001068115,uniform,random,True
1,1,159743.45841171467,2,11,min_opinion_solution,1,0.2915380001068115,uniform,random,True
2,2,159743.53935008444,2,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
3,3,159742.66549779827,1,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
4,4,159742.66549779827,1,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
5,5,159742.66549779827,1,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
6,6,159743.21882455325,3,13,min_opinion_solution,1,0.2915380001068115,uniform,random,True
7,7,159743.3337211206,2,15,min_opinion_solution,1,0.2915380001068115,uniform,random,True
8,8,159743.53935008444,2,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
9,9,159742.66549779827,1,10,min_opinion_solution,1,0.2915380001068115,uniform,random,True
10,0,158096.1811252093,12,62,min_opinion_solution,10,0.30419301986694336,uniform,random,True
11,1,158096.71528624487,13,63,min_opinion_solution,10,0.30419301986694336,uniform,random,True
12,2,158099.77449294447,18,74,min_opinion_solution,10,0.30419301986694336,uniform,random,True
13,3,158097.89746296135,15,63,min_opinion_solution,10,0.30419301986694336,uniform,random,True
14,4,158098.41618358687,16,63,min_opinion_solution,10,0.30419301986694336,uniform,random,True
15,5,158099.17767961643,20,68,min_opinion_solution,10,0.30419301986694336,uniform,random,True
16,6,158096.8673571889,12,66,min_opinion_solution,10,0.30419301986694336,uniform,random,True
17,7,158098.9764101376,19,65,min_opinion_solution,10,0.30419301986694336,uniform,random,True
18,8,158109.32518969002,39,268,min_opinion_solution,10,0.30419301986694336,uniform,random,True
19,9,158095.74259475665,12,62,min_opinion_solution,10,0.30419301986694336,uniform,random,True
20,0,157540.7285957806,30,97,min_opinion_solution,20,0.32946085929870605,uniform,random,True
21,1,157538.7070810456,25,93,min_opinion_solution,20,0.32946085929870605,uniform,random,True
22,2,157537.00690359046,23,92,min_opinion_solution,20,0.32946085929870605,uniform,random,True
23,3,157543.1656044023,31,112,min_opinion_solution,20,0.32946085929870605,uniform,random,True
24,4,157541.02507637252,30,94,min_opinion_solution,20,0.32946085929870605,uniform,random,True
25,5,157542.59910285764,32,111,min_opinion_solution,20,0.32946085929870605,uniform,random,True
26,6,157541.4411385033,30,106,min_opinion_solution,20,0.32946085929870605,uniform,random,True
27,7,157539.03105842482,26,92,min_opinion_solution,20,0.32946085929870605,uniform,random,True
28,8,157544.12722028574,35,116,min_opinion_solution,20,0.32946085929870605,uniform,random,True
29,9,157557.89275624134,56,229,min_opinion_solution,20,0.32946085929870605,uniform,random,True
30,0,152155.7046561557,45,143,min_opinion_solution,30,0.2860410213470459,uniform,random,True
31,1,152155.0976289486,47,167,min_opinion_solution,30,0.2860410213470459,uniform,random,True
32,2,152158.77967911126,53,233,min_opinion_solution,30,0.2860410213470459,uniform,random,True
33,3,152161.37151830006,53,167,min_opinion_solution,30,0.2860410213470459,uniform,random,True
34,4,152156.23955319123,48,154,min_opinion_solution,30,0.2860410213470459,uniform,random,True
35,5,152152.88506765806,41,153,min_opinion_solution,30,0.2860410213470459,uniform,random,True
36,6,152150.57631224563,36,137,min_opinion_solution,30,0.2860410213470459,uniform,random,True
37,7,152157.40295352755,49,161,min_opinion_solution,30,0.2860410213470459,uniform,random,True
38,8,152155.29311775448,43,141,min_opinion_solution,30,0.2860410213470459,uniform,random,True
39,9,152152.9352414438,40,145,min_opinion_solution,30,0.2860410213470459,uniform,random,True
40,0,158815.29002591365,87,487,min_opinion_solution,40,0.2966611385345459,uniform,random,True
41,1,158796.4122100982,52,270,min_opinion_solution,40,0.2966611385345459,uniform,random,True
42,2,158804.71332377507,71,350,min_opinion_solution,40,0.2966611385345459,uniform,random,True
43,3,158804.1274114188,69,437,min_opinion_solution,40,0.2966611385345459,uniform,random,True
44,4,158797.59601802647,59,277,min_opinion_solution,40,0.2966611385345459,uniform,random,True
45,5,158808.12299066005,69,332,min_opinion_solution,40,0.2966611385345459,uniform,random,True
46,6,158795.73572792753,57,290,min_opinion_solution,40,0.2966611385345459,uniform,random,True
47,7,158807.26907139877,75,387,min_opinion_solution,40,0.2966611385345459,uniform,random,True
48,8,158797.41223512584,58,274,min_opinion_solution,40,0.2966611385345459,uniform,random,True
49,9,158809.21293879062,82,373,min_opinion_solution,40,0.2966611385345459,uniform,random,True
50,0,159122.24269790234,108,421,min_opinion_solution,50,0.3200550079345703,uniform,random,True
51,1,159116.39020772887,93,397,min_opinion_solution,50,0.3200550079345703,uniform,random,True
52,2,159114.10016457204,90,372,min_opinion_solution,50,0.3200550079345703,uniform,random,True
53,3,159110.726577437,81,344,min_opinion_solution,50,0.3200550079345703,uniform,random,True
54,4,159106.51806733097,73,316,min_opinion_solution,50,0.3200550079345703,uniform,random,True
55,5,159110.84910325953,82,336,min_opinion_solution,50,0.3200550079345703,uniform,random,True
56,6,159105.79049113876,76,342,min_opinion_solution,50,0.3200550079345703,uniform,random,True
57,7,159107.66622473486,78,362,min_opinion_solution,50,0.3200550079345703,uniform,random,True
58,8,159108.3777660377,80,327,min_opinion_solution,50,0.3200550079345703,uniform,random,True
59,9,159107.8407889325,77,352,min_opinion_solution,50,0.3200550079345703,uniform,random,True
