,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158672.02455894512,32,395,opinion_degree_solution,1,15.068609714508057,polarized,random,False
1,1,158670.78812357495,26,453,opinion_degree_solution,1,15.068609714508057,polarized,random,False
2,2,158659.42491966643,9,228,opinion_degree_solution,1,15.068609714508057,polarized,random,False
3,3,158672.34471519498,33,255,opinion_degree_solution,1,15.068609714508057,polarized,random,False
4,4,158673.845895838,37,379,opinion_degree_solution,1,15.068609714508057,polarized,random,False
5,5,158664.24265695113,20,257,opinion_degree_solution,1,15.068609714508057,polarized,random,False
6,6,158661.12653743522,11,231,opinion_degree_solution,1,15.068609714508057,polarized,random,False
7,7,158660.49440653657,13,241,opinion_degree_solution,1,15.068609714508057,polarized,random,False
8,8,158663.1587836222,14,246,opinion_degree_solution,1,15.068609714508057,polarized,random,False
9,9,158661.0211020231,13,244,opinion_degree_solution,1,15.068609714508057,polarized,random,False
10,0,158822.7114588033,192,2439,opinion_degree_solution,10,15.46738314628601,polarized,random,False
11,1,158848.1964591745,227,2941,opinion_degree_solution,10,15.46738314628601,polarized,random,False
12,2,158811.20489491287,179,2465,opinion_degree_solution,10,15.46738314628601,polarized,random,False
13,3,158838.02345222147,210,2514,opinion_degree_solution,10,15.46738314628601,polarized,random,False
14,4,158813.2849529922,194,2742,opinion_degree_solution,10,15.46738314628601,polarized,random,False
15,5,158840.65196326893,221,2877,opinion_degree_solution,10,15.46738314628601,polarized,random,False
16,6,158818.43068324833,187,2649,opinion_degree_solution,10,15.46738314628601,polarized,random,False
17,7,158813.30681267183,177,2402,opinion_degree_solution,10,15.46738314628601,polarized,random,False
18,8,158836.9265896324,227,2753,opinion_degree_solution,10,15.46738314628601,polarized,random,False
19,9,158828.78061254465,216,2653,opinion_degree_solution,10,15.46738314628601,polarized,random,False
20,0,158304.0115474333,335,4128,opinion_degree_solution,20,15.635407209396362,polarized,random,False
21,1,158328.5884941381,383,4056,opinion_degree_solution,20,15.635407209396362,polarized,random,False
22,2,158336.68959907308,387,4110,opinion_degree_solution,20,15.635407209396362,polarized,random,False
23,3,158323.58056814328,372,4075,opinion_degree_solution,20,15.635407209396362,polarized,random,False
24,4,158299.70211806643,317,3855,opinion_degree_solution,20,15.635407209396362,polarized,random,False
25,5,158320.0787936783,354,4139,opinion_degree_solution,20,15.635407209396362,polarized,random,False
26,6,158379.7942194913,457,4719,opinion_degree_solution,20,15.635407209396362,polarized,random,False
27,7,158313.6281914224,346,3987,opinion_degree_solution,20,15.635407209396362,polarized,random,False
28,8,158306.27455418854,332,4098,opinion_degree_solution,20,15.635407209396362,polarized,random,False
29,9,158320.39523661038,349,4208,opinion_degree_solution,20,15.635407209396362,polarized,random,False
30,0,158688.15545213575,527,5599,opinion_degree_solution,30,15.935111045837402,polarized,random,False
31,1,158653.15489365024,464,5560,opinion_degree_solution,30,15.935111045837402,polarized,random,False
32,2,158694.21321802284,548,5764,opinion_degree_solution,30,15.935111045837402,polarized,random,False
33,3,158639.00150316287,452,5399,opinion_degree_solution,30,15.935111045837402,polarized,random,False
34,4,158663.50403452766,479,5464,opinion_degree_solution,30,15.935111045837402,polarized,random,False
35,5,158707.6195228106,562,6046,opinion_degree_solution,30,15.935111045837402,polarized,random,False
36,6,158705.73920671485,522,5777,opinion_degree_solution,30,15.935111045837402,polarized,random,False
37,7,158730.714770054,605,5966,opinion_degree_solution,30,15.935111045837402,polarized,random,False
38,8,158697.90388438088,543,5723,opinion_degree_solution,30,15.935111045837402,polarized,random,False
39,9,158681.66090905404,537,5602,opinion_degree_solution,30,15.935111045837402,polarized,random,False
40,0,159161.50362020833,773,7502,opinion_degree_solution,40,16.036333084106445,polarized,random,False
41,1,159130.2201376893,734,7504,opinion_degree_solution,40,16.036333084106445,polarized,random,False
42,2,159149.6793513139,743,7502,opinion_degree_solution,40,16.036333084106445,polarized,random,False
43,3,159086.51189867465,644,7041,opinion_degree_solution,40,16.036333084106445,polarized,random,False
44,4,159148.84976838186,783,7769,opinion_degree_solution,40,16.036333084106445,polarized,random,False
45,5,159168.48639213006,749,7344,opinion_degree_solution,40,16.036333084106445,polarized,random,False
46,6,159123.1875806217,675,6934,opinion_degree_solution,40,16.036333084106445,polarized,random,False
47,7,159158.26418052719,732,7376,opinion_degree_solution,40,16.036333084106445,polarized,random,False
48,8,159142.47132823954,744,7148,opinion_degree_solution,40,16.036333084106445,polarized,random,False
49,9,159130.50412331373,739,7399,opinion_degree_solution,40,16.036333084106445,polarized,random,False
50,0,159030.5694132421,822,8599,opinion_degree_solution,50,16.391711950302124,polarized,random,False
51,1,158990.50173229183,777,8275,opinion_degree_solution,50,16.391711950302124,polarized,random,False
52,2,158994.69275875788,752,8189,opinion_degree_solution,50,16.391711950302124,polarized,random,False
53,3,159041.380023145,891,9049,opinion_degree_solution,50,16.391711950302124,polarized,random,False
54,4,159033.7295720141,825,8793,opinion_degree_solution,50,16.391711950302124,polarized,random,False
55,5,158973.59182480606,730,8017,opinion_degree_solution,50,16.391711950302124,polarized,random,False
56,6,159017.6700759603,816,8429,opinion_degree_solution,50,16.391711950302124,polarized,random,False
57,7,159010.19967637633,814,8644,opinion_degree_solution,50,16.391711950302124,polarized,random,False
58,8,158959.24022233838,733,8066,opinion_degree_solution,50,16.391711950302124,polarized,random,False
59,9,158989.90306682594,794,8263,opinion_degree_solution,50,16.391711950302124,polarized,random,False
