,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158531.63805112406,3,265,opinion_degree_solution,1,13.15024209022522,uniform,random,False
1,1,158534.4389463634,8,310,opinion_degree_solution,1,13.15024209022522,uniform,random,False
2,2,158533.5896862398,6,311,opinion_degree_solution,1,13.15024209022522,uniform,random,False
3,3,158530.68376640652,1,265,opinion_degree_solution,1,13.15024209022522,uniform,random,False
4,4,158532.9110350132,5,265,opinion_degree_solution,1,13.15024209022522,uniform,random,False
5,5,158535.53498093536,10,300,opinion_degree_solution,1,13.15024209022522,uniform,random,False
6,6,158540.92404621074,15,417,opinion_degree_solution,1,13.15024209022522,uniform,random,False
7,7,158532.0450702864,5,274,opinion_degree_solution,1,13.15024209022522,uniform,random,False
8,8,158535.78197155616,9,297,opinion_degree_solution,1,13.15024209022522,uniform,random,False
9,9,158535.10703460232,8,273,opinion_degree_solution,1,13.15024209022522,uniform,random,False
10,0,158470.4528786837,209,2476,opinion_degree_solution,10,13.314641237258911,uniform,random,False
11,1,158468.96618374597,214,2694,opinion_degree_solution,10,13.314641237258911,uniform,random,False
12,2,158458.18876112936,184,2470,opinion_degree_solution,10,13.314641237258911,uniform,random,False
13,3,158467.31462399595,197,2678,opinion_degree_solution,10,13.314641237258911,uniform,random,False
14,4,158478.97290853312,232,2603,opinion_degree_solution,10,13.314641237258911,uniform,random,False
15,5,158503.23158113868,261,2976,opinion_degree_solution,10,13.314641237258911,uniform,random,False
16,6,158466.82975905525,203,2722,opinion_degree_solution,10,13.314641237258911,uniform,random,False
17,7,158453.96944609654,181,2460,opinion_degree_solution,10,13.314641237258911,uniform,random,False
18,8,158482.15795768428,218,2545,opinion_degree_solution,10,13.314641237258911,uniform,random,False
19,9,158471.20230882688,212,2691,opinion_degree_solution,10,13.314641237258911,uniform,random,False
20,0,158558.44869247518,326,3860,opinion_degree_solution,20,13.352038145065308,uniform,random,False
21,1,158565.1186315484,346,4044,opinion_degree_solution,20,13.352038145065308,uniform,random,False
22,2,158624.6591204409,435,4824,opinion_degree_solution,20,13.352038145065308,uniform,random,False
23,3,158564.28775093536,329,3898,opinion_degree_solution,20,13.352038145065308,uniform,random,False
24,4,158545.56810868735,309,3992,opinion_degree_solution,20,13.352038145065308,uniform,random,False
25,5,158543.07386298853,299,3898,opinion_degree_solution,20,13.352038145065308,uniform,random,False
26,6,158542.6588789419,285,3620,opinion_degree_solution,20,13.352038145065308,uniform,random,False
27,7,158578.4939204298,383,4246,opinion_degree_solution,20,13.352038145065308,uniform,random,False
28,8,158572.30494175447,351,4177,opinion_degree_solution,20,13.352038145065308,uniform,random,False
29,9,158576.86213649585,360,4230,opinion_degree_solution,20,13.352038145065308,uniform,random,False
30,0,159104.01146215905,423,5115,opinion_degree_solution,30,13.440438985824585,uniform,random,False
31,1,159116.92574159752,432,4959,opinion_degree_solution,30,13.440438985824585,uniform,random,False
32,2,159119.9295838077,464,4988,opinion_degree_solution,30,13.440438985824585,uniform,random,False
33,3,159138.23770479122,479,5278,opinion_degree_solution,30,13.440438985824585,uniform,random,False
34,4,159141.56536674555,482,5251,opinion_degree_solution,30,13.440438985824585,uniform,random,False
35,5,159138.70254884148,468,5441,opinion_degree_solution,30,13.440438985824585,uniform,random,False
36,6,159149.14465225767,488,5453,opinion_degree_solution,30,13.440438985824585,uniform,random,False
37,7,159134.91890197148,479,5576,opinion_degree_solution,30,13.440438985824585,uniform,random,False
38,8,159129.7013664956,470,5326,opinion_degree_solution,30,13.440438985824585,uniform,random,False
39,9,159106.5718632024,418,5172,opinion_degree_solution,30,13.440438985824585,uniform,random,False
40,0,158588.98739709688,697,7079,opinion_degree_solution,40,13.709259033203125,uniform,random,False
41,1,158554.22605956494,631,6718,opinion_degree_solution,40,13.709259033203125,uniform,random,False
42,2,158511.33833387442,570,6392,opinion_degree_solution,40,13.709259033203125,uniform,random,False
43,3,158570.87070665206,656,6508,opinion_degree_solution,40,13.709259033203125,uniform,random,False
44,4,158523.81285152445,580,6603,opinion_degree_solution,40,13.709259033203125,uniform,random,False
45,5,158564.89585962513,668,7039,opinion_degree_solution,40,13.709259033203125,uniform,random,False
46,6,158541.10851241642,622,6757,opinion_degree_solution,40,13.709259033203125,uniform,random,False
47,7,158544.12444936013,630,6461,opinion_degree_solution,40,13.709259033203125,uniform,random,False
48,8,158578.025216403,678,6845,opinion_degree_solution,40,13.709259033203125,uniform,random,False
49,9,158555.0009234276,630,6691,opinion_degree_solution,40,13.709259033203125,uniform,random,False
50,0,159050.8298031939,745,7539,opinion_degree_solution,50,13.895439147949219,uniform,random,False
51,1,159009.86566502697,693,7152,opinion_degree_solution,50,13.895439147949219,uniform,random,False
52,2,158984.17621918544,662,7156,opinion_degree_solution,50,13.895439147949219,uniform,random,False
53,3,158981.56155177657,613,6988,opinion_degree_solution,50,13.895439147949219,uniform,random,False
54,4,158990.07124963755,668,7157,opinion_degree_solution,50,13.895439147949219,uniform,random,False
55,5,158986.40749101335,672,7349,opinion_degree_solution,50,13.895439147949219,uniform,random,False
56,6,159029.0883104419,728,7403,opinion_degree_solution,50,13.895439147949219,uniform,random,False
57,7,158974.05289268633,624,7048,opinion_degree_solution,50,13.895439147949219,uniform,random,False
58,8,158984.57829182854,639,6998,opinion_degree_solution,50,13.895439147949219,uniform,random,False
59,9,159011.72787544466,690,7154,opinion_degree_solution,50,13.895439147949219,uniform,random,False
