,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
1,1,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
2,2,896005.1953477189,7,30,min_opinion_solution,1,1.0464198589324951,uniform,random,False
3,3,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
4,4,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
5,5,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
6,6,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
7,7,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
8,8,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
9,9,896001.215219743,1,6,min_opinion_solution,1,1.0464198589324951,uniform,random,False
10,0,895925.2213020506,20,297,min_opinion_solution,10,0.9891183376312256,uniform,random,False
11,1,895929.024818169,23,299,min_opinion_solution,10,0.9891183376312256,uniform,random,False
12,2,895932.3318091035,37,479,min_opinion_solution,10,0.9891183376312256,uniform,random,False
13,3,895927.4695085553,24,397,min_opinion_solution,10,0.9891183376312256,uniform,random,False
14,4,895928.0086479947,25,295,min_opinion_solution,10,0.9891183376312256,uniform,random,False
15,5,895922.6295068389,16,269,min_opinion_solution,10,0.9891183376312256,uniform,random,False
16,6,895929.9744019439,26,333,min_opinion_solution,10,0.9891183376312256,uniform,random,False
17,7,895920.9214099623,11,128,min_opinion_solution,10,0.9891183376312256,uniform,random,False
18,8,895934.317211055,43,517,min_opinion_solution,10,0.9891183376312256,uniform,random,False
19,9,895930.0695726746,32,424,min_opinion_solution,10,0.9891183376312256,uniform,random,False
20,0,895556.8275687697,38,676,min_opinion_solution,20,1.0120608806610107,uniform,random,False
21,1,895554.7150944842,35,550,min_opinion_solution,20,1.0120608806610107,uniform,random,False
22,2,895557.9614976746,42,915,min_opinion_solution,20,1.0120608806610107,uniform,random,False
23,3,895561.4354994678,48,787,min_opinion_solution,20,1.0120608806610107,uniform,random,False
24,4,895556.2243125527,36,536,min_opinion_solution,20,1.0120608806610107,uniform,random,False
25,5,895571.3553020848,70,1496,min_opinion_solution,20,1.0120608806610107,uniform,random,False
26,6,895576.1294559261,78,961,min_opinion_solution,20,1.0120608806610107,uniform,random,False
27,7,895554.0611329991,32,549,min_opinion_solution,20,1.0120608806610107,uniform,random,False
28,8,895553.7713015929,32,524,min_opinion_solution,20,1.0120608806610107,uniform,random,False
29,9,895571.1549299291,64,1369,min_opinion_solution,20,1.0120608806610107,uniform,random,False
30,0,895302.8569692185,64,1502,min_opinion_solution,30,1.0578420162200928,uniform,random,False
31,1,895294.8923010284,50,1170,min_opinion_solution,30,1.0578420162200928,uniform,random,False
32,2,895296.0729730236,53,1172,min_opinion_solution,30,1.0578420162200928,uniform,random,False
33,3,895301.642404646,66,1512,min_opinion_solution,30,1.0578420162200928,uniform,random,False
34,4,895298.8435212931,59,1198,min_opinion_solution,30,1.0578420162200928,uniform,random,False
35,5,895290.6183407573,43,1050,min_opinion_solution,30,1.0578420162200928,uniform,random,False
36,6,895291.6329677737,46,980,min_opinion_solution,30,1.0578420162200928,uniform,random,False
37,7,895308.0995599055,69,1437,min_opinion_solution,30,1.0578420162200928,uniform,random,False
38,8,895294.0952775108,48,973,min_opinion_solution,30,1.0578420162200928,uniform,random,False
39,9,895295.1334737688,58,1264,min_opinion_solution,30,1.0578420162200928,uniform,random,False
40,0,895411.0250003431,145,2259,min_opinion_solution,40,0.9947590827941895,uniform,random,False
41,1,895386.5824548915,104,1395,min_opinion_solution,40,0.9947590827941895,uniform,random,False
42,2,895400.9668826935,131,1905,min_opinion_solution,40,0.9947590827941895,uniform,random,False
43,3,895388.9166194074,106,1462,min_opinion_solution,40,0.9947590827941895,uniform,random,False
44,4,895405.8548787546,130,1816,min_opinion_solution,40,0.9947590827941895,uniform,random,False
45,5,895393.3184175141,118,1567,min_opinion_solution,40,0.9947590827941895,uniform,random,False
46,6,895395.7982901146,117,1418,min_opinion_solution,40,0.9947590827941895,uniform,random,False
47,7,895390.1888055761,110,1490,min_opinion_solution,40,0.9947590827941895,uniform,random,False
48,8,895381.565655006,92,1271,min_opinion_solution,40,0.9947590827941895,uniform,random,False
49,9,895393.1874644253,106,1660,min_opinion_solution,40,0.9947590827941895,uniform,random,False
50,0,895446.7753368925,69,880,min_opinion_solution,50,1.2416431903839111,uniform,random,False
51,1,895444.2658924827,70,789,min_opinion_solution,50,1.2416431903839111,uniform,random,False
52,2,895451.9272733431,82,1003,min_opinion_solution,50,1.2416431903839111,uniform,random,False
53,3,895444.8774098828,71,871,min_opinion_solution,50,1.2416431903839111,uniform,random,False
54,4,895462.8259633718,103,1151,min_opinion_solution,50,1.2416431903839111,uniform,random,False
55,5,895576.9656959855,317,4947,min_opinion_solution,50,1.2416431903839111,uniform,random,False
56,6,895447.7189859286,71,871,min_opinion_solution,50,1.2416431903839111,uniform,random,False
57,7,895453.4828684373,82,1084,min_opinion_solution,50,1.2416431903839111,uniform,random,False
58,8,895448.0586223332,70,814,min_opinion_solution,50,1.2416431903839111,uniform,random,False
59,9,895456.1167469035,83,945,min_opinion_solution,50,1.2416431903839111,uniform,random,False
