,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,854640.1947513646,72,567,min_opinion_solution,1,1.714785099029541,uniform,random,True
1,1,854638.0817588075,71,628,min_opinion_solution,1,1.714785099029541,uniform,random,True
2,2,854635.2049023585,64,553,min_opinion_solution,1,1.714785099029541,uniform,random,True
3,3,854637.1983468027,69,582,min_opinion_solution,1,1.714785099029541,uniform,random,True
4,4,854639.0707631798,75,673,min_opinion_solution,1,1.714785099029541,uniform,random,True
5,5,854639.3961086109,73,736,min_opinion_solution,1,1.714785099029541,uniform,random,True
6,6,854637.8377979872,72,665,min_opinion_solution,1,1.714785099029541,uniform,random,True
7,7,854649.0526373715,89,731,min_opinion_solution,1,1.714785099029541,uniform,random,True
8,8,854648.1089777125,86,832,min_opinion_solution,1,1.714785099029541,uniform,random,True
9,9,854640.8911230667,74,623,min_opinion_solution,1,1.714785099029541,uniform,random,True
10,0,912606.3622524051,182,333,min_opinion_solution,10,1.5787100791931152,uniform,random,True
11,1,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
12,2,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
13,3,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
14,4,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
15,5,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
16,6,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
17,7,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
18,8,912437.5979098243,13,45,min_opinion_solution,10,1.5787100791931152,uniform,random,True
19,9,912434.8259160013,10,25,min_opinion_solution,10,1.5787100791931152,uniform,random,True
20,0,878503.8150256786,81,1368,min_opinion_solution,20,1.6149852275848389,uniform,random,True
21,1,878506.8414718986,83,1282,min_opinion_solution,20,1.6149852275848389,uniform,random,True
22,2,878502.402452219,90,1338,min_opinion_solution,20,1.6149852275848389,uniform,random,True
23,3,878498.7301730772,73,1160,min_opinion_solution,20,1.6149852275848389,uniform,random,True
24,4,878501.5725800246,76,1137,min_opinion_solution,20,1.6149852275848389,uniform,random,True
25,5,878496.5583481896,70,1125,min_opinion_solution,20,1.6149852275848389,uniform,random,True
26,6,878517.762859981,104,1513,min_opinion_solution,20,1.6149852275848389,uniform,random,True
27,7,878497.1147707773,69,1266,min_opinion_solution,20,1.6149852275848389,uniform,random,True
28,8,878496.1825997685,71,1176,min_opinion_solution,20,1.6149852275848389,uniform,random,True
29,9,878492.1544738428,65,1084,min_opinion_solution,20,1.6149852275848389,uniform,random,True
30,0,919716.3023464483,67,1442,min_opinion_solution,30,1.5574908256530762,uniform,random,True
31,1,919711.9022120275,61,1089,min_opinion_solution,30,1.5574908256530762,uniform,random,True
32,2,919700.9071505702,38,855,min_opinion_solution,30,1.5574908256530762,uniform,random,True
33,3,919702.717679142,41,824,min_opinion_solution,30,1.5574908256530762,uniform,random,True
34,4,919716.9325750015,69,1529,min_opinion_solution,30,1.5574908256530762,uniform,random,True
35,5,919707.8179165935,50,922,min_opinion_solution,30,1.5574908256530762,uniform,random,True
36,6,919709.2338219836,54,1080,min_opinion_solution,30,1.5574908256530762,uniform,random,True
37,7,919710.6437298816,56,1284,min_opinion_solution,30,1.5574908256530762,uniform,random,True
38,8,919704.6315334006,47,946,min_opinion_solution,30,1.5574908256530762,uniform,random,True
39,9,919704.5736673283,46,915,min_opinion_solution,30,1.5574908256530762,uniform,random,True
40,0,851981.9753668596,65,711,min_opinion_solution,40,1.611820936203003,uniform,random,True
41,1,851983.1165941269,61,610,min_opinion_solution,40,1.611820936203003,uniform,random,True
42,2,851983.5175092411,61,649,min_opinion_solution,40,1.611820936203003,uniform,random,True
43,3,851981.7545435147,59,552,min_opinion_solution,40,1.611820936203003,uniform,random,True
44,4,851983.7380527375,63,667,min_opinion_solution,40,1.611820936203003,uniform,random,True
45,5,851995.8225330338,87,999,min_opinion_solution,40,1.611820936203003,uniform,random,True
46,6,851985.7731349017,71,921,min_opinion_solution,40,1.611820936203003,uniform,random,True
47,7,851983.9100553135,62,720,min_opinion_solution,40,1.611820936203003,uniform,random,True
48,8,851988.3200925513,65,712,min_opinion_solution,40,1.611820936203003,uniform,random,True
49,9,851987.1866028981,67,746,min_opinion_solution,40,1.611820936203003,uniform,random,True
50,0,930887.545676791,58,355,min_opinion_solution,50,1.603837013244629,uniform,random,True
51,1,930887.1900840399,59,388,min_opinion_solution,50,1.603837013244629,uniform,random,True
52,2,930884.8536588287,53,292,min_opinion_solution,50,1.603837013244629,uniform,random,True
53,3,930887.5349651359,56,327,min_opinion_solution,50,1.603837013244629,uniform,random,True
54,4,930888.0617997494,57,304,min_opinion_solution,50,1.603837013244629,uniform,random,True
55,5,930885.1631870982,53,304,min_opinion_solution,50,1.603837013244629,uniform,random,True
56,6,930884.5324573285,52,278,min_opinion_solution,50,1.603837013244629,uniform,random,True
57,7,930889.0430708557,59,353,min_opinion_solution,50,1.603837013244629,uniform,random,True
58,8,930886.392862718,58,345,min_opinion_solution,50,1.603837013244629,uniform,random,True
59,9,930889.4529867757,60,347,min_opinion_solution,50,1.603837013244629,uniform,random,True
