,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
1,1,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
2,2,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
3,3,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
4,4,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
5,5,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
6,6,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
7,7,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
8,8,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
9,9,566600.5159206099,1,3,min_opinion_solution,1,1.0451278686523438,uniform,random,True
10,0,567949.6340303723,15,35,min_opinion_solution,10,1.0238614082336426,uniform,random,True
11,1,567947.5330024547,12,34,min_opinion_solution,10,1.0238614082336426,uniform,random,True
12,2,567952.572000442,20,58,min_opinion_solution,10,1.0238614082336426,uniform,random,True
13,3,567947.4695734533,12,34,min_opinion_solution,10,1.0238614082336426,uniform,random,True
14,4,567949.2868317144,17,38,min_opinion_solution,10,1.0238614082336426,uniform,random,True
15,5,567948.2772577751,14,42,min_opinion_solution,10,1.0238614082336426,uniform,random,True
16,6,567953.8788890948,22,57,min_opinion_solution,10,1.0238614082336426,uniform,random,True
17,7,567949.5533826273,14,46,min_opinion_solution,10,1.0238614082336426,uniform,random,True
18,8,567948.6347480596,13,39,min_opinion_solution,10,1.0238614082336426,uniform,random,True
19,9,567948.3406996746,14,34,min_opinion_solution,10,1.0238614082336426,uniform,random,True
20,0,568032.4111814732,23,82,min_opinion_solution,20,1.0878572463989258,uniform,random,True
21,1,568033.066075009,24,81,min_opinion_solution,20,1.0878572463989258,uniform,random,True
22,2,568031.5710453416,22,80,min_opinion_solution,20,1.0878572463989258,uniform,random,True
23,3,568034.2238594578,26,95,min_opinion_solution,20,1.0878572463989258,uniform,random,True
24,4,568032.6031974811,23,81,min_opinion_solution,20,1.0878572463989258,uniform,random,True
25,5,568036.7182617721,30,98,min_opinion_solution,20,1.0878572463989258,uniform,random,True
26,6,568033.7560865011,25,81,min_opinion_solution,20,1.0878572463989258,uniform,random,True
27,7,568033.1615295127,24,82,min_opinion_solution,20,1.0878572463989258,uniform,random,True
28,8,568033.2932089732,24,81,min_opinion_solution,20,1.0878572463989258,uniform,random,True
29,9,568033.0693255248,24,81,min_opinion_solution,20,1.0878572463989258,uniform,random,True
30,0,568061.8738169519,35,84,min_opinion_solution,30,1.095351219177246,uniform,random,True
31,1,568063.8134908364,37,88,min_opinion_solution,30,1.095351219177246,uniform,random,True
32,2,568064.9664569552,38,97,min_opinion_solution,30,1.095351219177246,uniform,random,True
33,3,568064.2177569552,38,87,min_opinion_solution,30,1.095351219177246,uniform,random,True
34,4,568062.627538252,34,85,min_opinion_solution,30,1.095351219177246,uniform,random,True
35,5,568063.8056148576,36,104,min_opinion_solution,30,1.095351219177246,uniform,random,True
36,6,568062.7565270263,36,85,min_opinion_solution,30,1.095351219177246,uniform,random,True
37,7,568061.8855153731,34,85,min_opinion_solution,30,1.095351219177246,uniform,random,True
38,8,568063.3967255378,37,112,min_opinion_solution,30,1.095351219177246,uniform,random,True
39,9,568062.5250763947,36,94,min_opinion_solution,30,1.095351219177246,uniform,random,True
40,0,567505.1145463873,419,976,min_opinion_solution,40,1.0429458618164062,uniform,random,True
41,1,567483.9245806979,392,829,min_opinion_solution,40,1.0429458618164062,uniform,random,True
42,2,567787.4265251801,959,3284,min_opinion_solution,40,1.0429458618164062,uniform,random,True
43,3,567484.911704992,379,836,min_opinion_solution,40,1.0429458618164062,uniform,random,True
44,4,567483.9282939692,374,871,min_opinion_solution,40,1.0429458618164062,uniform,random,True
45,5,567487.8154108438,393,1085,min_opinion_solution,40,1.0429458618164062,uniform,random,True
46,6,567494.8767016793,401,891,min_opinion_solution,40,1.0429458618164062,uniform,random,True
47,7,567490.2450893427,390,938,min_opinion_solution,40,1.0429458618164062,uniform,random,True
48,8,567520.4060307089,438,1210,min_opinion_solution,40,1.0429458618164062,uniform,random,True
49,9,567486.1157856595,384,845,min_opinion_solution,40,1.0429458618164062,uniform,random,True
50,0,567445.6237424867,69,202,min_opinion_solution,50,1.0874569416046143,uniform,random,True
51,1,567442.3923681057,65,180,min_opinion_solution,50,1.0874569416046143,uniform,random,True
52,2,567445.0808470628,68,187,min_opinion_solution,50,1.0874569416046143,uniform,random,True
53,3,567450.068313347,77,208,min_opinion_solution,50,1.0874569416046143,uniform,random,True
54,4,567448.3492709959,78,221,min_opinion_solution,50,1.0874569416046143,uniform,random,True
55,5,567450.4759400294,79,349,min_opinion_solution,50,1.0874569416046143,uniform,random,True
56,6,567448.8041452039,76,214,min_opinion_solution,50,1.0874569416046143,uniform,random,True
57,7,567445.4675711769,69,219,min_opinion_solution,50,1.0874569416046143,uniform,random,True
58,8,567447.4839470362,76,216,min_opinion_solution,50,1.0874569416046143,uniform,random,True
59,9,567447.3093732646,72,255,min_opinion_solution,50,1.0874569416046143,uniform,random,True
