,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,degree_solution,1,0.0032639503479003906
1,0,578.9786578431444,193,degree_solution,50,0.002482891082763672
2,0,622.7810969759826,165,degree_solution,100,0.0024509429931640625
3,1,499.00284125971365,10,degree_solution,1,0.0024042129516601562
4,1,564.2224306532132,169,degree_solution,50,0.00269317626953125
5,1,603.8116149218655,169,degree_solution,100,0.0025069713592529297
6,2,493.9952980165963,23,degree_solution,1,0.0027158260345458984
7,2,581.7726266309472,200,degree_solution,50,0.0023517608642578125
8,2,623.4694442102661,169,degree_solution,100,0.003935098648071289
9,3,509.2673984439299,9,degree_solution,1,0.0025682449340820312
10,3,569.193210289505,176,degree_solution,50,0.002721071243286133
11,3,616.9670639021977,172,degree_solution,100,0.0026328563690185547
12,4,494.4544012418709,9,degree_solution,1,0.0022449493408203125
13,4,575.6372578568938,208,degree_solution,50,0.002706289291381836
14,4,604.426407962238,169,degree_solution,100,0.0029451847076416016
15,5,504.0165424081231,10,degree_solution,1,0.0024690628051757812
16,5,584.3109481287968,176,degree_solution,50,0.0040051937103271484
17,5,616.969199056241,166,degree_solution,100,0.005307197570800781
18,6,512.0501356736149,7,degree_solution,1,0.0024750232696533203
19,6,577.5716126227773,163,degree_solution,50,0.002836942672729492
20,6,617.3884476720559,159,degree_solution,100,0.0033419132232666016
21,7,520.5999069539719,20,degree_solution,1,0.003103017807006836
22,7,583.3756752086147,173,degree_solution,50,0.004405975341796875
23,7,626.394561670047,181,degree_solution,100,0.00279998779296875
24,8,483.7455695602994,12,degree_solution,1,0.003183126449584961
25,8,561.6353831650796,189,degree_solution,50,0.002444028854370117
26,8,603.7297150764383,176,degree_solution,100,0.0023851394653320312
27,9,494.81843079225547,18,degree_solution,1,0.0029630661010742188
28,9,574.9727631761161,197,degree_solution,50,0.002973794937133789
29,9,617.8110792137221,172,degree_solution,100,0.002462148666381836
