,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,opinion_degree_solution,1,0.2692086696624756
1,0,582.5737761646503,151,opinion_degree_solution,50,0.390531063079834
2,0,624.3524092259286,143,opinion_degree_solution,100,0.27111101150512695
3,1,507.8226392664674,1,opinion_degree_solution,1,0.1966080665588379
4,1,579.5785905678956,133,opinion_degree_solution,50,0.32399415969848633
5,1,634.3104291135655,160,opinion_degree_solution,100,0.2906942367553711
6,2,509.70504231704786,3,opinion_degree_solution,1,0.17758512496948242
7,2,618.8722319056386,200,opinion_degree_solution,50,0.44143223762512207
8,2,654.6229448619304,141,opinion_degree_solution,100,0.410689115524292
9,3,506.8406675526394,16,opinion_degree_solution,1,0.20619916915893555
10,3,590.9326931454661,146,opinion_degree_solution,50,0.23040318489074707
11,3,616.695152638448,125,opinion_degree_solution,100,0.25583529472351074
12,4,518.3599805403861,6,opinion_degree_solution,1,0.20307207107543945
13,4,604.4195601444536,167,opinion_degree_solution,50,0.22402191162109375
14,4,650.7409512813047,170,opinion_degree_solution,100,0.2540600299835205
15,5,484.8305896696727,7,opinion_degree_solution,1,0.2059950828552246
16,5,564.4602216120043,146,opinion_degree_solution,50,0.2340378761291504
17,5,603.805575946634,146,opinion_degree_solution,100,0.24724984169006348
18,6,504.68731954570063,4,opinion_degree_solution,1,0.19863200187683105
19,6,575.8312104732869,145,opinion_degree_solution,50,0.2225170135498047
20,6,627.3743202706108,161,opinion_degree_solution,100,0.2532658576965332
21,7,511.90095549363605,5,opinion_degree_solution,1,0.19673490524291992
22,7,594.5425533942902,147,opinion_degree_solution,50,0.22786402702331543
23,7,633.2263815889039,140,opinion_degree_solution,100,0.24671483039855957
24,8,503.97726163672615,9,opinion_degree_solution,1,0.19553589820861816
25,8,578.8112714509998,144,opinion_degree_solution,50,0.22403693199157715
26,8,626.4094563787061,152,opinion_degree_solution,100,0.24687576293945312
27,9,501.4383787745609,27,opinion_degree_solution,1,0.22986078262329102
28,9,592.4318518892568,171,opinion_degree_solution,50,0.23137307167053223
29,9,625.8790806029405,152,opinion_degree_solution,100,0.24540185928344727
