,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,496.68756302713535,5,random_solution,1,0.00014019012451171875
1,0,517.1692567093021,82,random_solution,50,8.0108642578125e-05
2,0,564.5785755893779,163,random_solution,100,0.00012993812561035156
3,1,531.3550780621533,1,random_solution,1,4.8160552978515625e-05
4,1,563.5932962338371,101,random_solution,50,6.198883056640625e-05
5,1,606.0537800122354,154,random_solution,100,0.00011801719665527344
6,2,493.24912550545287,1,random_solution,1,4.506111145019531e-05
7,2,511.549483161743,77,random_solution,50,6.175041198730469e-05
8,2,551.0284393207278,140,random_solution,100,0.00019931793212890625
9,3,502.7677901898269,1,random_solution,1,4.982948303222656e-05
10,3,533.3082575043632,102,random_solution,50,0.00030493736267089844
11,3,584.1000461139834,161,random_solution,100,0.00013494491577148438
12,4,500.43213904213667,1,random_solution,1,4.601478576660156e-05
13,4,532.6687946772678,103,random_solution,50,0.00011968612670898438
14,4,565.1780631201121,134,random_solution,100,0.0001289844512939453
15,5,496.0638862367503,3,random_solution,1,5.1021575927734375e-05
16,5,521.5804667344206,83,random_solution,50,7.390975952148438e-05
17,5,578.797240129652,168,random_solution,100,0.0001201629638671875
18,6,505.8536665310726,1,random_solution,1,5.1975250244140625e-05
19,6,536.4927103399383,105,random_solution,50,6.29425048828125e-05
20,6,590.7350479005437,168,random_solution,100,0.00011491775512695312
21,7,507.8502640876834,2,random_solution,1,4.696846008300781e-05
22,7,537.8388871610521,83,random_solution,50,6.890296936035156e-05
23,7,577.0506660237369,146,random_solution,100,0.00013113021850585938
24,8,509.29486113708396,1,random_solution,1,9.179115295410156e-05
25,8,531.2412590037021,93,random_solution,50,9.608268737792969e-05
26,8,590.7400673794494,170,random_solution,100,0.00011396408081054688
27,9,494.00003667819783,1,random_solution,1,4.8160552978515625e-05
28,9,516.1855959522152,88,random_solution,50,6.103515625e-05
29,9,555.6995286599758,148,random_solution,100,0.00011587142944335938
