,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,OpinionDeg,1,0.1655871868133545
1,0,499.98283127423093,1,Min-Opinion,1,0.0003039836883544922
2,0,500.99798975164987,2,Random,1,0.00011682510375976562
3,0,581.1061485627779,157,OpinionDeg,50,0.19052720069885254
4,0,585.5807616527537,56,Min-Opinion,50,0.00028395652770996094
5,0,602.086699716376,81,Random,50,8.487701416015625e-05
6,0,629.5873007220771,249,OpinionDeg,100,0.21191787719726562
7,0,641.5950825125365,111,Min-Opinion,100,0.00029015541076660156
8,0,665.6053351265584,132,Random,100,0.0001747608184814453
9,1,505.4250570868373,15,OpinionDeg,1,0.165421724319458
10,1,505.4250570868373,1,Min-Opinion,1,0.0003001689910888672
11,1,505.4250570868373,1,Random,1,3.0994415283203125e-05
12,1,597.4309803116512,171,OpinionDeg,50,0.19527196884155273
13,1,607.0258832450809,66,Min-Opinion,50,0.0003535747528076172
14,1,612.549777926535,60,Random,50,7.081031799316406e-05
15,1,652.6503243429022,287,OpinionDeg,100,0.21972918510437012
16,1,654.7981115801025,104,Min-Opinion,100,0.0003418922424316406
17,1,673.8499718029042,125,Random,100,0.00011372566223144531
18,2,504.30529231256685,9,OpinionDeg,1,0.1627950668334961
19,2,504.30529231256685,1,Min-Opinion,1,0.0002810955047607422
20,2,504.30529231256685,1,Random,1,3.123283386230469e-05
21,2,579.5169318401768,144,OpinionDeg,50,0.19193315505981445
22,2,587.9265209184897,63,Min-Opinion,50,0.00028324127197265625
23,2,598.4544203382184,65,Random,50,6.794929504394531e-05
24,2,639.9294878854627,246,OpinionDeg,100,0.20746207237243652
25,2,647.0211746580133,106,Min-Opinion,100,0.00028896331787109375
26,2,678.7310191987426,155,Random,100,0.00011420249938964844
27,3,497.10485162919986,6,OpinionDeg,1,0.15944290161132812
28,3,497.10485162919986,1,Min-Opinion,1,0.0002961158752441406
29,3,497.10485162919986,1,Random,1,3.0040740966796875e-05
30,3,574.5436145617498,152,OpinionDeg,50,0.18938899040222168
31,3,582.2270058946624,56,Min-Opinion,50,0.0003190040588378906
32,3,597.64011411669,77,Random,50,8.702278137207031e-05
33,3,634.4281124376766,258,OpinionDeg,100,0.21074604988098145
34,3,641.45966291375,108,Min-Opinion,100,0.00028896331787109375
35,3,659.3466226641176,125,Random,100,0.00011205673217773438
36,4,505.7688390725958,13,OpinionDeg,1,0.16772675514221191
37,4,505.7688390725958,1,Min-Opinion,1,0.0004277229309082031
38,4,505.7688390725958,1,Random,1,3.409385681152344e-05
39,4,569.017706808718,146,OpinionDeg,50,0.20525527000427246
40,4,569.9649456805502,52,Min-Opinion,50,0.00028204917907714844
41,4,581.8830588809597,77,Random,50,7.295608520507812e-05
42,4,632.4544688908067,241,OpinionDeg,100,0.2194676399230957
43,4,635.8415565305925,103,Min-Opinion,100,0.0002880096435546875
44,4,659.763184423555,138,Random,100,0.00010991096496582031
45,5,508.622823173736,2,OpinionDeg,1,0.17306089401245117
46,5,510.7376513577885,4,Min-Opinion,1,0.00034499168395996094
