,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,opinion_degree_solution,1,0.17066597938537598
1,0,582.5737761646503,151,opinion_degree_solution,50,0.1977241039276123
2,0,624.3524092259286,143,opinion_degree_solution,100,0.2058570384979248
3,1,507.8226392664674,1,opinion_degree_solution,1,0.16249895095825195
4,1,579.5785905678956,133,opinion_degree_solution,50,0.19041991233825684
5,1,634.3104291135655,160,opinion_degree_solution,100,0.2121431827545166
6,2,509.70504231704786,3,opinion_degree_solution,1,0.16398882865905762
7,2,618.8722319056386,200,opinion_degree_solution,50,0.20232892036437988
8,2,654.6229448619304,141,opinion_degree_solution,100,0.22382307052612305
9,3,506.8406675526394,16,opinion_degree_solution,1,0.16980409622192383
10,3,590.9326931454661,146,opinion_degree_solution,50,0.2008512020111084
11,3,616.695152638448,125,opinion_degree_solution,100,0.2169630527496338
12,4,518.3599805403861,6,opinion_degree_solution,1,0.1714010238647461
13,4,604.4195601444536,167,opinion_degree_solution,50,0.1879100799560547
14,4,650.7409512813047,170,opinion_degree_solution,100,0.20707297325134277
15,5,484.8305896696727,7,opinion_degree_solution,1,0.16530895233154297
16,5,564.4602216120043,146,opinion_degree_solution,50,0.19617009162902832
17,5,603.805575946634,146,opinion_degree_solution,100,0.21056199073791504
18,6,504.68731954570063,4,opinion_degree_solution,1,0.15742897987365723
19,6,575.8312104732869,145,opinion_degree_solution,50,0.18523716926574707
20,6,627.3743202706108,161,opinion_degree_solution,100,0.2101759910583496
21,7,511.90095549363605,5,opinion_degree_solution,1,0.1718149185180664
22,7,594.5425533942902,147,opinion_degree_solution,50,0.19916796684265137
23,7,633.2263815889039,140,opinion_degree_solution,100,0.21620988845825195
24,8,503.97726163672615,9,opinion_degree_solution,1,0.17023897171020508
25,8,578.8112714509998,144,opinion_degree_solution,50,0.19947600364685059
26,8,626.4094563787061,152,opinion_degree_solution,100,0.21332001686096191
27,9,501.4383787745609,27,opinion_degree_solution,1,0.16850590705871582
28,9,592.4318518892568,171,opinion_degree_solution,50,0.20193195343017578
29,9,625.8790806029405,152,opinion_degree_solution,100,0.21241068840026855
