,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,degree_solution,1,0.0023212432861328125
1,0,578.9786578431444,193,degree_solution,50,0.0023479461669921875
2,0,622.7810969759826,165,degree_solution,100,0.005365848541259766
3,1,499.00284125971365,10,degree_solution,1,0.0026857852935791016
4,1,564.2224306532132,169,degree_solution,50,0.003245115280151367
5,1,603.8116149218655,169,degree_solution,100,0.002557039260864258
6,2,493.9952980165963,23,degree_solution,1,0.002279996871948242
7,2,581.7726266309472,200,degree_solution,50,0.002830028533935547
8,2,623.4694442102661,169,degree_solution,100,0.0035829544067382812
9,3,509.2673984439299,9,degree_solution,1,0.0022432804107666016
10,3,569.193210289505,176,degree_solution,50,0.0043909549713134766
11,3,616.9670639021977,172,degree_solution,100,0.002936840057373047
12,4,494.4544012418709,9,degree_solution,1,0.0021877288818359375
13,4,575.6372578568938,208,degree_solution,50,0.0022089481353759766
14,4,604.426407962238,169,degree_solution,100,0.002626657485961914
15,5,504.0165424081231,10,degree_solution,1,0.0023179054260253906
16,5,584.3109481287968,176,degree_solution,50,0.0023517608642578125
17,5,616.969199056241,166,degree_solution,100,0.0034101009368896484
18,6,512.0501356736149,7,degree_solution,1,0.0022110939025878906
19,6,577.5716126227773,163,degree_solution,50,0.0028748512268066406
20,6,617.3884476720559,159,degree_solution,100,0.004261970520019531
21,7,520.5999069539719,20,degree_solution,1,0.0035169124603271484
22,7,583.3756752086147,173,degree_solution,50,0.0028400421142578125
23,7,626.394561670047,181,degree_solution,100,0.0025169849395751953
24,8,483.7455695602994,12,degree_solution,1,0.002608060836791992
25,8,561.6353831650796,189,degree_solution,50,0.002249002456665039
26,8,603.7297150764383,176,degree_solution,100,0.004019021987915039
27,9,494.81843079225547,18,degree_solution,1,0.0026907920837402344
28,9,574.9727631761161,197,degree_solution,50,0.0023260116577148438
29,9,617.8110792137221,172,degree_solution,100,0.003963947296142578
