,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167543.99339752214,272,790,LAIM_solution,1,158.14069414138794,polarized,random,False
1,1,167538.10828633478,242,684,LAIM_solution,1,158.14069414138794,polarized,random,False
2,2,167541.40695140662,248,725,LAIM_solution,1,158.14069414138794,polarized,random,False
3,3,167527.03271034395,234,727,LAIM_solution,1,158.14069414138794,polarized,random,False
4,4,167535.43096936017,245,747,LAIM_solution,1,158.14069414138794,polarized,random,False
5,5,167533.274319674,245,749,LAIM_solution,1,158.14069414138794,polarized,random,False
6,6,167529.35273862001,235,716,LAIM_solution,1,158.14069414138794,polarized,random,False
7,7,167543.8590921362,272,765,LAIM_solution,1,158.14069414138794,polarized,random,False
8,8,167522.7392594238,221,652,LAIM_solution,1,158.14069414138794,polarized,random,False
9,9,167514.49750941963,219,700,LAIM_solution,1,158.14069414138794,polarized,random,False
10,0,167905.59900971415,744,3264,LAIM_solution,10,1578.7969269752502,polarized,random,False
11,1,167869.6474373188,706,3116,LAIM_solution,10,1578.7969269752502,polarized,random,False
12,2,167867.2555232018,659,3022,LAIM_solution,10,1578.7969269752502,polarized,random,False
13,3,167890.83219738354,712,3277,LAIM_solution,10,1578.7969269752502,polarized,random,False
14,4,167914.43806744102,768,3588,LAIM_solution,10,1578.7969269752502,polarized,random,False
15,5,167933.23291409243,802,3514,LAIM_solution,10,1578.7969269752502,polarized,random,False
16,6,167896.81108398148,735,3328,LAIM_solution,10,1578.7969269752502,polarized,random,False
17,7,167866.18702015548,673,3137,LAIM_solution,10,1578.7969269752502,polarized,random,False
18,8,167905.42994875595,721,3278,LAIM_solution,10,1578.7969269752502,polarized,random,False
19,9,167894.89299152815,726,3244,LAIM_solution,10,1578.7969269752502,polarized,random,False
20,0,167781.71569888195,1009,4890,LAIM_solution,20,3198.6089856624603,polarized,random,False
21,1,167802.5582290427,1062,5230,LAIM_solution,20,3198.6089856624603,polarized,random,False
22,2,167802.78010866535,1102,5253,LAIM_solution,20,3198.6089856624603,polarized,random,False
23,3,167812.82519822186,1083,5209,LAIM_solution,20,3198.6089856624603,polarized,random,False
24,4,167755.59188063032,1025,5026,LAIM_solution,20,3198.6089856624603,polarized,random,False
25,5,167795.67071411756,1064,5211,LAIM_solution,20,3198.6089856624603,polarized,random,False
26,6,167806.52164742476,1067,5181,LAIM_solution,20,3198.6089856624603,polarized,random,False
27,7,167784.10082964847,1030,4966,LAIM_solution,20,3198.6089856624603,polarized,random,False
28,8,167759.80321573155,1006,4971,LAIM_solution,20,3198.6089856624603,polarized,random,False
29,9,167804.13584176276,1068,5134,LAIM_solution,20,3198.6089856624603,polarized,random,False
30,0,168219.5508298124,1369,6722,LAIM_solution,30,4809.70929479599,polarized,random,False
31,1,168239.6055038727,1374,6760,LAIM_solution,30,4809.70929479599,polarized,random,False
32,2,168235.6783515104,1370,6817,LAIM_solution,30,4809.70929479599,polarized,random,False
33,3,168219.98652944554,1388,6619,LAIM_solution,30,4809.70929479599,polarized,random,False
34,4,168252.10000858907,1380,6896,LAIM_solution,30,4809.70929479599,polarized,random,False
35,5,168192.28042601905,1270,6422,LAIM_solution,30,4809.70929479599,polarized,random,False
36,6,168247.151586237,1378,6846,LAIM_solution,30,4809.70929479599,polarized,random,False
37,7,168252.4969367568,1418,6982,LAIM_solution,30,4809.70929479599,polarized,random,False
38,8,168223.9473528046,1357,6888,LAIM_solution,30,4809.70929479599,polarized,random,False
39,9,168206.49162250193,1302,6621,LAIM_solution,30,4809.70929479599,polarized,random,False
40,0,168272.33403647284,1704,8636,LAIM_solution,40,7499.925622701645,polarized,random,False
41,1,168232.67434732473,1670,8503,LAIM_solution,40,7499.925622701645,polarized,random,False
42,2,168220.55400418898,1650,8400,LAIM_solution,40,7499.925622701645,polarized,random,False
43,3,168257.08938414403,1735,8782,LAIM_solution,40,7499.925622701645,polarized,random,False
44,4,168225.2672473119,1625,8431,LAIM_solution,40,7499.925622701645,polarized,random,False
45,5,168215.65875676743,1632,8458,LAIM_solution,40,7499.925622701645,polarized,random,False
46,6,168275.33959563394,1718,8662,LAIM_solution,40,7499.925622701645,polarized,random,False
47,7,168268.30502390128,1713,8549,LAIM_solution,40,7499.925622701645,polarized,random,False
48,8,168258.84475139427,1701,8658,LAIM_solution,40,7499.925622701645,polarized,random,False
49,9,168228.34244661385,1656,8408,LAIM_solution,40,7499.925622701645,polarized,random,False
50,0,168507.09899992467,1845,9324,LAIM_solution,50,8178.237919092178,polarized,random,False
51,1,168547.06817377478,1909,9674,LAIM_solution,50,8178.237919092178,polarized,random,False
52,2,168578.96806467205,1963,9573,LAIM_solution,50,8178.237919092178,polarized,random,False
53,3,168560.28430202967,1904,9449,LAIM_solution,50,8178.237919092178,polarized,random,False
54,4,168593.13777387876,2077,10095,LAIM_solution,50,8178.237919092178,polarized,random,False
55,5,168573.00116811242,1920,9506,LAIM_solution,50,8178.237919092178,polarized,random,False
56,6,168624.10707931797,2042,10130,LAIM_solution,50,8178.237919092178,polarized,random,False
57,7,168583.10351633176,1976,9874,LAIM_solution,50,8178.237919092178,polarized,random,False
58,8,168613.3173084999,2021,9886,LAIM_solution,50,8178.237919092178,polarized,random,False
59,9,168550.64363549513,1889,9372,LAIM_solution,50,8178.237919092178,polarized,random,False
