,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167571.99294951448,201,665,LAIM_solution,1,125.67901992797852,uniform,random,False
1,1,167581.3691241132,212,695,LAIM_solution,1,125.67901992797852,uniform,random,False
2,2,167578.23076345,210,669,LAIM_solution,1,125.67901992797852,uniform,random,False
3,3,167588.57662153838,231,781,LAIM_solution,1,125.67901992797852,uniform,random,False
4,4,167570.81119067626,202,685,LAIM_solution,1,125.67901992797852,uniform,random,False
5,5,167580.73864134465,214,784,LAIM_solution,1,125.67901992797852,uniform,random,False
6,6,167576.8864510866,205,682,LAIM_solution,1,125.67901992797852,uniform,random,False
7,7,167571.08571884906,193,629,LAIM_solution,1,125.67901992797852,uniform,random,False
8,8,167576.22315889876,213,659,LAIM_solution,1,125.67901992797852,uniform,random,False
9,9,167569.0001808934,193,681,LAIM_solution,1,125.67901992797852,uniform,random,False
10,0,167624.7097605896,628,3012,LAIM_solution,10,1306.723662853241,uniform,random,False
11,1,167628.87577016433,659,3115,LAIM_solution,10,1306.723662853241,uniform,random,False
12,2,167632.09877779335,668,3088,LAIM_solution,10,1306.723662853241,uniform,random,False
13,3,167665.69427391238,718,3101,LAIM_solution,10,1306.723662853241,uniform,random,False
14,4,167633.70803342405,657,3166,LAIM_solution,10,1306.723662853241,uniform,random,False
15,5,167636.74071631324,660,2988,LAIM_solution,10,1306.723662853241,uniform,random,False
16,6,167634.81747746674,653,2973,LAIM_solution,10,1306.723662853241,uniform,random,False
17,7,167627.5241713172,635,2932,LAIM_solution,10,1306.723662853241,uniform,random,False
18,8,167649.8539086428,673,3100,LAIM_solution,10,1306.723662853241,uniform,random,False
19,9,167656.37175180227,726,3277,LAIM_solution,10,1306.723662853241,uniform,random,False
20,0,167899.52276946674,1056,5029,LAIM_solution,20,2196.550576210022,uniform,random,False
21,1,167878.3247314179,1051,4988,LAIM_solution,20,2196.550576210022,uniform,random,False
22,2,167879.12995772492,1033,4835,LAIM_solution,20,2196.550576210022,uniform,random,False
23,3,167907.41372366145,1075,5018,LAIM_solution,20,2196.550576210022,uniform,random,False
24,4,167909.98544372516,1068,5102,LAIM_solution,20,2196.550576210022,uniform,random,False
25,5,167939.21941687312,1139,5261,LAIM_solution,20,2196.550576210022,uniform,random,False
26,6,167860.34574806638,1001,4850,LAIM_solution,20,2196.550576210022,uniform,random,False
27,7,167899.59913725962,1064,5129,LAIM_solution,20,2196.550576210022,uniform,random,False
28,8,167900.58374875525,1032,4999,LAIM_solution,20,2196.550576210022,uniform,random,False
29,9,167903.44125204787,1107,5058,LAIM_solution,20,2196.550576210022,uniform,random,False
30,0,168381.68872165927,1355,6561,LAIM_solution,30,3094.824644088745,uniform,random,False
31,1,168375.74516595382,1349,6661,LAIM_solution,30,3094.824644088745,uniform,random,False
32,2,168392.9556497696,1375,6774,LAIM_solution,30,3094.824644088745,uniform,random,False
33,3,168409.80482320773,1407,6919,LAIM_solution,30,3094.824644088745,uniform,random,False
34,4,168384.29865746613,1355,6831,LAIM_solution,30,3094.824644088745,uniform,random,False
35,5,168374.95509163197,1336,6555,LAIM_solution,30,3094.824644088745,uniform,random,False
36,6,168370.0826805117,1325,6723,LAIM_solution,30,3094.824644088745,uniform,random,False
37,7,168386.27912861443,1352,6516,LAIM_solution,30,3094.824644088745,uniform,random,False
38,8,168338.1690454121,1287,6464,LAIM_solution,30,3094.824644088745,uniform,random,False
39,9,168391.36744804442,1354,6755,LAIM_solution,30,3094.824644088745,uniform,random,False
40,0,167988.29097358478,1595,8266,LAIM_solution,40,4223.290321111679,uniform,random,False
41,1,167970.2554487293,1549,8039,LAIM_solution,40,4223.290321111679,uniform,random,False
42,2,168049.48594972072,1680,8586,LAIM_solution,40,4223.290321111679,uniform,random,False
43,3,168045.53684357915,1695,8539,LAIM_solution,40,4223.290321111679,uniform,random,False
44,4,168015.78905480704,1653,8462,LAIM_solution,40,4223.290321111679,uniform,random,False
45,5,168081.6237167173,1800,8655,LAIM_solution,40,4223.290321111679,uniform,random,False
46,6,168021.2800652504,1672,8422,LAIM_solution,40,4223.290321111679,uniform,random,False
47,7,168047.87107724286,1732,8628,LAIM_solution,40,4223.290321111679,uniform,random,False
48,8,168061.47566764272,1770,8678,LAIM_solution,40,4223.290321111679,uniform,random,False
49,9,167970.92520464372,1541,8318,LAIM_solution,40,4223.290321111679,uniform,random,False
50,0,168188.74752844166,1741,9356,LAIM_solution,50,4665.097054004669,uniform,random,False
51,1,168291.24966319685,1899,9760,LAIM_solution,50,4665.097054004669,uniform,random,False
52,2,168258.42235325457,1845,9627,LAIM_solution,50,4665.097054004669,uniform,random,False
53,3,168267.74845302853,1851,9679,LAIM_solution,50,4665.097054004669,uniform,random,False
54,4,168331.10999752532,1970,10147,LAIM_solution,50,4665.097054004669,uniform,random,False
55,5,168282.59783248467,1886,9796,LAIM_solution,50,4665.097054004669,uniform,random,False
56,6,168237.27609799334,1789,9461,LAIM_solution,50,4665.097054004669,uniform,random,False
57,7,168301.0608861666,1910,9736,LAIM_solution,50,4665.097054004669,uniform,random,False
58,8,168228.58529035345,1781,9610,LAIM_solution,50,4665.097054004669,uniform,random,False
59,9,168329.78781752032,1956,9966,LAIM_solution,50,4665.097054004669,uniform,random,False
