,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167226.93862290424,214,689,LAIM_solution,1,159.59826588630676,polarized,random,True
1,1,167225.60635551193,208,646,LAIM_solution,1,159.59826588630676,polarized,random,True
2,2,167238.1124962928,221,726,LAIM_solution,1,159.59826588630676,polarized,random,True
3,3,167237.2036692425,228,684,LAIM_solution,1,159.59826588630676,polarized,random,True
4,4,167226.1036510046,207,670,LAIM_solution,1,159.59826588630676,polarized,random,True
5,5,167229.62398609574,214,676,LAIM_solution,1,159.59826588630676,polarized,random,True
6,6,167234.06239010708,225,671,LAIM_solution,1,159.59826588630676,polarized,random,True
7,7,167232.31126463192,215,652,LAIM_solution,1,159.59826588630676,polarized,random,True
8,8,167234.35949514102,236,698,LAIM_solution,1,159.59826588630676,polarized,random,True
9,9,167223.6041695547,221,647,LAIM_solution,1,159.59826588630676,polarized,random,True
10,0,167705.75982502682,736,3175,LAIM_solution,10,1604.8700170516968,polarized,random,True
11,1,167679.9388340483,696,3148,LAIM_solution,10,1604.8700170516968,polarized,random,True
12,2,167691.50499881624,703,3186,LAIM_solution,10,1604.8700170516968,polarized,random,True
13,3,167711.10984965414,706,3107,LAIM_solution,10,1604.8700170516968,polarized,random,True
14,4,167713.90822137188,717,3252,LAIM_solution,10,1604.8700170516968,polarized,random,True
15,5,167706.10720413827,706,3216,LAIM_solution,10,1604.8700170516968,polarized,random,True
16,6,167732.23752831848,739,3257,LAIM_solution,10,1604.8700170516968,polarized,random,True
17,7,167705.07005423476,697,3159,LAIM_solution,10,1604.8700170516968,polarized,random,True
18,8,167684.4240298696,657,3083,LAIM_solution,10,1604.8700170516968,polarized,random,True
19,9,167712.70708032962,755,3178,LAIM_solution,10,1604.8700170516968,polarized,random,True
20,0,167755.39158720692,935,4851,LAIM_solution,20,3204.041923046112,polarized,random,True
21,1,167794.28183824764,1018,5082,LAIM_solution,20,3204.041923046112,polarized,random,True
22,2,167788.9730636467,982,4992,LAIM_solution,20,3204.041923046112,polarized,random,True
23,3,167815.7568118445,1071,5277,LAIM_solution,20,3204.041923046112,polarized,random,True
24,4,167792.56916436317,1034,5059,LAIM_solution,20,3204.041923046112,polarized,random,True
25,5,167799.65014739326,1057,5087,LAIM_solution,20,3204.041923046112,polarized,random,True
26,6,167850.7518916996,1137,5464,LAIM_solution,20,3204.041923046112,polarized,random,True
27,7,167797.35467636067,1081,5168,LAIM_solution,20,3204.041923046112,polarized,random,True
28,8,167784.2454754055,1026,5105,LAIM_solution,20,3204.041923046112,polarized,random,True
29,9,167796.23998866513,989,5042,LAIM_solution,20,3204.041923046112,polarized,random,True
30,0,167816.01356115326,1314,6740,LAIM_solution,30,4787.952399969101,polarized,random,True
31,1,167898.4806462946,1424,7192,LAIM_solution,30,4787.952399969101,polarized,random,True
32,2,167883.22930732128,1441,6941,LAIM_solution,30,4787.952399969101,polarized,random,True
33,3,167899.39953395855,1495,7144,LAIM_solution,30,4787.952399969101,polarized,random,True
34,4,167853.89800730435,1370,6910,LAIM_solution,30,4787.952399969101,polarized,random,True
35,5,167862.14569484178,1377,6856,LAIM_solution,30,4787.952399969101,polarized,random,True
36,6,167879.61193182817,1427,7250,LAIM_solution,30,4787.952399969101,polarized,random,True
37,7,167935.70623890753,1486,7354,LAIM_solution,30,4787.952399969101,polarized,random,True
38,8,167885.06449172072,1424,6983,LAIM_solution,30,4787.952399969101,polarized,random,True
39,9,167892.40926804076,1413,7098,LAIM_solution,30,4787.952399969101,polarized,random,True
40,0,168125.03679654904,1697,8559,LAIM_solution,40,7034.9124438762665,polarized,random,True
41,1,168076.3492218612,1592,8114,LAIM_solution,40,7034.9124438762665,polarized,random,True
42,2,168149.42453753005,1703,8527,LAIM_solution,40,7034.9124438762665,polarized,random,True
43,3,168130.04182265693,1648,8382,LAIM_solution,40,7034.9124438762665,polarized,random,True
44,4,168052.17064619888,1553,8111,LAIM_solution,40,7034.9124438762665,polarized,random,True
45,5,168132.921936913,1702,8565,LAIM_solution,40,7034.9124438762665,polarized,random,True
46,6,168126.39813322484,1680,8532,LAIM_solution,40,7034.9124438762665,polarized,random,True
47,7,168131.9339273233,1675,8549,LAIM_solution,40,7034.9124438762665,polarized,random,True
48,8,168115.00327563222,1674,8405,LAIM_solution,40,7034.9124438762665,polarized,random,True
49,9,168147.54013981117,1740,8686,LAIM_solution,40,7034.9124438762665,polarized,random,True
50,0,168057.35313864067,1986,9786,LAIM_solution,50,7740.33837723732,polarized,random,True
51,1,168017.53705654477,1929,9655,LAIM_solution,50,7740.33837723732,polarized,random,True
52,2,168066.06951368763,2005,9804,LAIM_solution,50,7740.33837723732,polarized,random,True
53,3,168032.5068860758,1916,9676,LAIM_solution,50,7740.33837723732,polarized,random,True
54,4,168023.70587974018,1926,9697,LAIM_solution,50,7740.33837723732,polarized,random,True
55,5,168019.78773888014,1880,9482,LAIM_solution,50,7740.33837723732,polarized,random,True
56,6,168062.46774205344,2012,10151,LAIM_solution,50,7740.33837723732,polarized,random,True
57,7,167999.91217954713,1867,9482,LAIM_solution,50,7740.33837723732,polarized,random,True
58,8,168059.95421715287,1989,9808,LAIM_solution,50,7740.33837723732,polarized,random,True
59,9,168027.7216900731,1910,9601,LAIM_solution,50,7740.33837723732,polarized,random,True
