,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167640.01373056628,195,711,LAIM_solution,1,93.22054600715637,uniform,random,True
1,1,167655.82757365456,216,777,LAIM_solution,1,93.22054600715637,uniform,random,True
2,2,167652.99251422513,209,690,LAIM_solution,1,93.22054600715637,uniform,random,True
3,3,167650.2613031938,208,707,LAIM_solution,1,93.22054600715637,uniform,random,True
4,4,167638.00375419273,180,631,LAIM_solution,1,93.22054600715637,uniform,random,True
5,5,167656.06380020952,211,689,LAIM_solution,1,93.22054600715637,uniform,random,True
6,6,167644.15685217347,203,678,LAIM_solution,1,93.22054600715637,uniform,random,True
7,7,167644.8104383758,206,647,LAIM_solution,1,93.22054600715637,uniform,random,True
8,8,167650.9685089734,215,688,LAIM_solution,1,93.22054600715637,uniform,random,True
9,9,167648.93321486303,206,646,LAIM_solution,1,93.22054600715637,uniform,random,True
10,0,167613.8919132776,690,2998,LAIM_solution,10,931.3125071525574,uniform,random,True
11,1,167615.37727308963,720,3212,LAIM_solution,10,931.3125071525574,uniform,random,True
12,2,167621.20398892762,740,3135,LAIM_solution,10,931.3125071525574,uniform,random,True
13,3,167623.15242671838,726,3379,LAIM_solution,10,931.3125071525574,uniform,random,True
14,4,167600.36165009436,675,3085,LAIM_solution,10,931.3125071525574,uniform,random,True
15,5,167567.66424800642,635,2965,LAIM_solution,10,931.3125071525574,uniform,random,True
16,6,167588.2815267591,679,3111,LAIM_solution,10,931.3125071525574,uniform,random,True
17,7,167621.82007103437,722,3166,LAIM_solution,10,931.3125071525574,uniform,random,True
18,8,167601.89497963327,683,3040,LAIM_solution,10,931.3125071525574,uniform,random,True
19,9,167583.76104547383,668,3004,LAIM_solution,10,931.3125071525574,uniform,random,True
20,0,167748.32287139632,1054,4996,LAIM_solution,20,1833.8735840320587,uniform,random,True
21,1,167744.37917268623,1035,4920,LAIM_solution,20,1833.8735840320587,uniform,random,True
22,2,167719.32710874194,966,4788,LAIM_solution,20,1833.8735840320587,uniform,random,True
23,3,167757.35370472894,1089,5200,LAIM_solution,20,1833.8735840320587,uniform,random,True
24,4,167788.75562615786,1102,5188,LAIM_solution,20,1833.8735840320587,uniform,random,True
25,5,167765.4472873543,1082,5039,LAIM_solution,20,1833.8735840320587,uniform,random,True
26,6,167724.9234775901,1020,4913,LAIM_solution,20,1833.8735840320587,uniform,random,True
27,7,167714.61259433292,955,4752,LAIM_solution,20,1833.8735840320587,uniform,random,True
28,8,167753.37805674184,1049,5126,LAIM_solution,20,1833.8735840320587,uniform,random,True
29,9,167708.17368107155,974,4763,LAIM_solution,20,1833.8735840320587,uniform,random,True
30,0,168660.78180159186,1321,6417,LAIM_solution,30,2675.915799856186,uniform,random,True
31,1,168722.73297907255,1436,7051,LAIM_solution,30,2675.915799856186,uniform,random,True
32,2,168667.10560950113,1346,6628,LAIM_solution,30,2675.915799856186,uniform,random,True
33,3,168779.36580179937,1517,7163,LAIM_solution,30,2675.915799856186,uniform,random,True
34,4,168692.12642336212,1387,6859,LAIM_solution,30,2675.915799856186,uniform,random,True
35,5,168722.51198954688,1401,6715,LAIM_solution,30,2675.915799856186,uniform,random,True
36,6,168680.5515850727,1334,6649,LAIM_solution,30,2675.915799856186,uniform,random,True
37,7,168705.75026614813,1375,6735,LAIM_solution,30,2675.915799856186,uniform,random,True
38,8,168712.1433124178,1402,6846,LAIM_solution,30,2675.915799856186,uniform,random,True
39,9,168717.33039873056,1400,6695,LAIM_solution,30,2675.915799856186,uniform,random,True
40,0,168120.5731699642,1632,8257,LAIM_solution,40,3632.2546198368073,uniform,random,True
41,1,168173.24577980605,1715,8574,LAIM_solution,40,3632.2546198368073,uniform,random,True
42,2,168137.97493414895,1658,8522,LAIM_solution,40,3632.2546198368073,uniform,random,True
43,3,168136.620423074,1659,8195,LAIM_solution,40,3632.2546198368073,uniform,random,True
44,4,168183.1414402875,1756,8796,LAIM_solution,40,3632.2546198368073,uniform,random,True
45,5,168137.847526327,1691,8660,LAIM_solution,40,3632.2546198368073,uniform,random,True
46,6,168181.02123556368,1739,8653,LAIM_solution,40,3632.2546198368073,uniform,random,True
47,7,168109.00819975915,1627,8462,LAIM_solution,40,3632.2546198368073,uniform,random,True
48,8,168173.61389514687,1744,8604,LAIM_solution,40,3632.2546198368073,uniform,random,True
49,9,168180.67444228602,1759,8813,LAIM_solution,40,3632.2546198368073,uniform,random,True
50,0,168264.14672810427,1863,9671,LAIM_solution,50,4899.796975851059,uniform,random,True
51,1,168266.70468874738,1900,9794,LAIM_solution,50,4899.796975851059,uniform,random,True
52,2,168260.9506688025,1896,9966,LAIM_solution,50,4899.796975851059,uniform,random,True
53,3,168230.9934730627,1788,9439,LAIM_solution,50,4899.796975851059,uniform,random,True
54,4,168333.32063843767,2004,10113,LAIM_solution,50,4899.796975851059,uniform,random,True
55,5,168238.5970621694,1808,9515,LAIM_solution,50,4899.796975851059,uniform,random,True
56,6,168280.83685822433,1913,9921,LAIM_solution,50,4899.796975851059,uniform,random,True
57,7,168318.16305884352,1953,10013,LAIM_solution,50,4899.796975851059,uniform,random,True
58,8,168220.93127760812,1787,9495,LAIM_solution,50,4899.796975851059,uniform,random,True
59,9,168355.68532627777,2021,10068,LAIM_solution,50,4899.796975851059,uniform,random,True
