,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167848.50100217597,201,626,TIM_plus_solution,1,10234.686367988586,polarized,random,False
1,1,167849.75023715582,210,704,TIM_plus_solution,1,10234.686367988586,polarized,random,False
2,2,167845.24238681112,197,634,TIM_plus_solution,1,10234.686367988586,polarized,random,False
3,3,167846.54102820225,202,679,TIM_plus_solution,1,10234.686367988586,polarized,random,False
4,4,167833.9996062971,182,615,TIM_plus_solution,1,10234.686367988586,polarized,random,False
5,5,167845.20428514603,205,691,TIM_plus_solution,1,10234.686367988586,polarized,random,False
6,6,167842.58662565038,197,636,TIM_plus_solution,1,10234.686367988586,polarized,random,False
7,7,167854.54378889044,228,681,TIM_plus_solution,1,10234.686367988586,polarized,random,False
8,8,167844.48044242288,214,624,TIM_plus_solution,1,10234.686367988586,polarized,random,False
9,9,167837.221952934,183,610,TIM_plus_solution,1,10234.686367988586,polarized,random,False
10,10,167847.10323668987,207,683,TIM_plus_solution,1,10234.686367988586,polarized,random,False
11,11,167862.40846875976,224,710,TIM_plus_solution,1,10234.686367988586,polarized,random,False
12,12,167843.71727849546,199,664,TIM_plus_solution,1,10234.686367988586,polarized,random,False
13,13,167845.81283468584,212,684,TIM_plus_solution,1,10234.686367988586,polarized,random,False
14,14,167839.89806930182,191,630,TIM_plus_solution,1,10234.686367988586,polarized,random,False
15,15,167842.68550264995,199,653,TIM_plus_solution,1,10234.686367988586,polarized,random,False
16,16,167854.92748090113,210,666,TIM_plus_solution,1,10234.686367988586,polarized,random,False
17,17,167853.81222742717,211,668,TIM_plus_solution,1,10234.686367988586,polarized,random,False
18,18,167857.12592584695,222,672,TIM_plus_solution,1,10234.686367988586,polarized,random,False
19,19,167835.6632356929,200,616,TIM_plus_solution,1,10234.686367988586,polarized,random,False
20,20,167845.5867921367,204,631,TIM_plus_solution,1,10234.686367988586,polarized,random,False
21,21,167849.11973586056,205,664,TIM_plus_solution,1,10234.686367988586,polarized,random,False
22,22,167850.62504325336,222,666,TIM_plus_solution,1,10234.686367988586,polarized,random,False
23,23,167852.15171416147,214,659,TIM_plus_solution,1,10234.686367988586,polarized,random,False
24,24,167854.77102074647,214,657,TIM_plus_solution,1,10234.686367988586,polarized,random,False
25,25,167846.08173511663,200,648,TIM_plus_solution,1,10234.686367988586,polarized,random,False
26,26,167857.91346763636,225,669,TIM_plus_solution,1,10234.686367988586,polarized,random,False
27,27,167849.09306515416,213,663,TIM_plus_solution,1,10234.686367988586,polarized,random,False
28,28,167850.58376633617,197,682,TIM_plus_solution,1,10234.686367988586,polarized,random,False
29,29,167846.65966753918,207,668,TIM_plus_solution,1,10234.686367988586,polarized,random,False
30,30,167846.2019172597,205,646,TIM_plus_solution,1,10234.686367988586,polarized,random,False
31,31,167847.67722123966,215,677,TIM_plus_solution,1,10234.686367988586,polarized,random,False
32,32,167846.50407537946,207,661,TIM_plus_solution,1,10234.686367988586,polarized,random,False
33,33,167844.3380054368,204,660,TIM_plus_solution,1,10234.686367988586,polarized,random,False
34,34,167853.52899624585,217,680,TIM_plus_solution,1,10234.686367988586,polarized,random,False
35,35,167838.7570666254,197,637,TIM_plus_solution,1,10234.686367988586,polarized,random,False
36,36,167850.46187767663,215,653,TIM_plus_solution,1,10234.686367988586,polarized,random,False
37,37,167842.70589931827,193,624,TIM_plus_solution,1,10234.686367988586,polarized,random,False
38,38,167857.96718771209,221,691,TIM_plus_solution,1,10234.686367988586,polarized,random,False
39,39,167853.85547899164,217,653,TIM_plus_solution,1,10234.686367988586,polarized,random,False
40,40,167850.07182276723,203,625,TIM_plus_solution,1,10234.686367988586,polarized,random,False
41,41,167855.45477380385,222,671,TIM_plus_solution,1,10234.686367988586,polarized,random,False
42,42,167841.71653123238,194,643,TIM_plus_solution,1,10234.686367988586,polarized,random,False
43,43,167851.3133512263,221,684,TIM_plus_solution,1,10234.686367988586,polarized,random,False
44,44,167849.83888291314,194,643,TIM_plus_solution,1,10234.686367988586,polarized,random,False
45,45,167848.12819806804,222,684,TIM_plus_solution,1,10234.686367988586,polarized,random,False
46,46,167848.52148172414,211,683,TIM_plus_solution,1,10234.686367988586,polarized,random,False
47,47,167847.17095886526,198,624,TIM_plus_solution,1,10234.686367988586,polarized,random,False
48,48,167859.6425057741,232,656,TIM_plus_solution,1,10234.686367988586,polarized,random,False
49,49,167847.54680753336,193,671,TIM_plus_solution,1,10234.686367988586,polarized,random,False
50,50,167850.59388863362,209,642,TIM_plus_solution,1,10234.686367988586,polarized,random,False
51,51,167848.74756324937,196,669,TIM_plus_solution,1,10234.686367988586,polarized,random,False
52,52,167847.11477317632,197,639,TIM_plus_solution,1,10234.686367988586,polarized,random,False
53,53,167851.58981128666,210,666,TIM_plus_solution,1,10234.686367988586,polarized,random,False
54,54,167841.1254683102,187,612,TIM_plus_solution,1,10234.686367988586,polarized,random,False
55,55,167838.0012165218,185,603,TIM_plus_solution,1,10234.686367988586,polarized,random,False
56,56,167858.08534752892,233,717,TIM_plus_solution,1,10234.686367988586,polarized,random,False
57,57,167840.44227676748,205,671,TIM_plus_solution,1,10234.686367988586,polarized,random,False
58,58,167852.3196001054,224,674,TIM_plus_solution,1,10234.686367988586,polarized,random,False
59,59,167846.02494903217,198,636,TIM_plus_solution,1,10234.686367988586,polarized,random,False
60,60,167854.5600229507,213,748,TIM_plus_solution,1,10234.686367988586,polarized,random,False
61,61,167849.8039801587,205,642,TIM_plus_solution,1,10234.686367988586,polarized,random,False
62,62,167851.19463319602,203,631,TIM_plus_solution,1,10234.686367988586,polarized,random,False
