,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167573.48935928993,211,655,TIM_plus_solution,1,11483.418617010117,uniform,random,False
1,1,167582.06624886778,216,679,TIM_plus_solution,1,11483.418617010117,uniform,random,False
2,2,167578.5552968689,203,630,TIM_plus_solution,1,11483.418617010117,uniform,random,False
3,3,167578.53464758347,219,671,TIM_plus_solution,1,11483.418617010117,uniform,random,False
4,4,167565.7578792629,188,665,TIM_plus_solution,1,11483.418617010117,uniform,random,False
5,5,167588.83046668294,220,731,TIM_plus_solution,1,11483.418617010117,uniform,random,False
6,6,167582.84182440894,213,660,TIM_plus_solution,1,11483.418617010117,uniform,random,False
7,7,167585.93242512806,224,707,TIM_plus_solution,1,11483.418617010117,uniform,random,False
8,8,167573.4627301329,205,650,TIM_plus_solution,1,11483.418617010117,uniform,random,False
9,9,167576.17247859645,204,701,TIM_plus_solution,1,11483.418617010117,uniform,random,False
10,10,167574.62412709475,200,713,TIM_plus_solution,1,11483.418617010117,uniform,random,False
11,11,167578.67192152352,210,689,TIM_plus_solution,1,11483.418617010117,uniform,random,False
12,12,167564.46687027987,186,626,TIM_plus_solution,1,11483.418617010117,uniform,random,False
13,13,167563.02240859176,184,643,TIM_plus_solution,1,11483.418617010117,uniform,random,False
14,14,167584.71637261647,216,708,TIM_plus_solution,1,11483.418617010117,uniform,random,False
15,15,167567.97712085192,194,636,TIM_plus_solution,1,11483.418617010117,uniform,random,False
16,16,167579.6021222643,211,685,TIM_plus_solution,1,11483.418617010117,uniform,random,False
17,17,167581.63732164528,210,639,TIM_plus_solution,1,11483.418617010117,uniform,random,False
18,18,167567.63474462516,195,657,TIM_plus_solution,1,11483.418617010117,uniform,random,False
19,19,167579.86354811495,208,704,TIM_plus_solution,1,11483.418617010117,uniform,random,False
20,20,167570.45121143886,196,639,TIM_plus_solution,1,11483.418617010117,uniform,random,False
21,21,167575.23948512514,208,708,TIM_plus_solution,1,11483.418617010117,uniform,random,False
22,22,167571.37997577377,206,722,TIM_plus_solution,1,11483.418617010117,uniform,random,False
23,23,167576.33257142603,210,637,TIM_plus_solution,1,11483.418617010117,uniform,random,False
24,24,167580.15232443222,213,688,TIM_plus_solution,1,11483.418617010117,uniform,random,False
25,25,167575.1517429117,202,674,TIM_plus_solution,1,11483.418617010117,uniform,random,False
26,26,167574.56228904612,206,681,TIM_plus_solution,1,11483.418617010117,uniform,random,False
27,27,167588.70209289194,225,739,TIM_plus_solution,1,11483.418617010117,uniform,random,False
28,28,167570.23133755662,204,653,TIM_plus_solution,1,11483.418617010117,uniform,random,False
29,29,167567.39268490658,189,645,TIM_plus_solution,1,11483.418617010117,uniform,random,False
30,30,167570.65682361074,202,682,TIM_plus_solution,1,11483.418617010117,uniform,random,False
31,31,167575.17321123267,208,672,TIM_plus_solution,1,11483.418617010117,uniform,random,False
32,32,167570.7771166614,190,617,TIM_plus_solution,1,11483.418617010117,uniform,random,False
33,33,167575.8298781365,203,652,TIM_plus_solution,1,11483.418617010117,uniform,random,False
34,34,167562.966905025,182,629,TIM_plus_solution,1,11483.418617010117,uniform,random,False
35,35,167569.63651173393,194,636,TIM_plus_solution,1,11483.418617010117,uniform,random,False
36,36,167578.20868534173,208,698,TIM_plus_solution,1,11483.418617010117,uniform,random,False
37,37,167595.70192026833,233,696,TIM_plus_solution,1,11483.418617010117,uniform,random,False
38,38,167561.07323132775,194,658,TIM_plus_solution,1,11483.418617010117,uniform,random,False
39,39,167564.6228059463,186,630,TIM_plus_solution,1,11483.418617010117,uniform,random,False
40,40,167571.04908890298,193,655,TIM_plus_solution,1,11483.418617010117,uniform,random,False
41,41,167581.258485548,205,660,TIM_plus_solution,1,11483.418617010117,uniform,random,False
42,42,167574.190137316,202,653,TIM_plus_solution,1,11483.418617010117,uniform,random,False
43,43,167575.6500009507,203,683,TIM_plus_solution,1,11483.418617010117,uniform,random,False
44,44,167566.0152633097,186,628,TIM_plus_solution,1,11483.418617010117,uniform,random,False
45,45,167572.38241539875,196,676,TIM_plus_solution,1,11483.418617010117,uniform,random,False
46,46,167573.58160108997,197,639,TIM_plus_solution,1,11483.418617010117,uniform,random,False
47,47,167579.88667766782,207,669,TIM_plus_solution,1,11483.418617010117,uniform,random,False
48,48,167567.79071247278,194,670,TIM_plus_solution,1,11483.418617010117,uniform,random,False
49,49,167567.73713389487,188,644,TIM_plus_solution,1,11483.418617010117,uniform,random,False
50,50,167575.64885306242,205,688,TIM_plus_solution,1,11483.418617010117,uniform,random,False
51,51,167566.11097330935,183,616,TIM_plus_solution,1,11483.418617010117,uniform,random,False
52,52,167572.8374959999,207,646,TIM_plus_solution,1,11483.418617010117,uniform,random,False
53,53,167583.1363465506,212,664,TIM_plus_solution,1,11483.418617010117,uniform,random,False
54,54,167566.3832086781,191,659,TIM_plus_solution,1,11483.418617010117,uniform,random,False
55,55,167570.1250360241,199,701,TIM_plus_solution,1,11483.418617010117,uniform,random,False
56,56,167581.30028484145,205,757,TIM_plus_solution,1,11483.418617010117,uniform,random,False
57,57,167572.81001122599,197,641,TIM_plus_solution,1,11483.418617010117,uniform,random,False
58,58,167585.3429303791,222,694,TIM_plus_solution,1,11483.418617010117,uniform,random,False
59,59,167572.65423155628,202,678,TIM_plus_solution,1,11483.418617010117,uniform,random,False
60,60,167567.85536137284,188,662,TIM_plus_solution,1,11483.418617010117,uniform,random,False
61,61,167560.63744672976,170,626,TIM_plus_solution,1,11483.418617010117,uniform,random,False
62,62,167604.64194269682,244,775,TIM_plus_solution,1,11483.418617010117,uniform,random,False
63,63,167589.7466411216,220,764,TIM_plus_solution,1,11483.418617010117,uniform,random,False
64,64,167583.8600018177,213,708,TIM_plus_solution,1,11483.418617010117,uniform,random,False
65,65,167581.77399683438,222,758,TIM_plus_solution,1,11483.418617010117,uniform,random,False
66,66,167575.47052357736,199,674,TIM_plus_solution,1,11483.418617010117,uniform,random,False
67,67,167584.0589466829,212,658,TIM_plus_solution,1,11483.418617010117,uniform,random,False
68,68,167566.31464165542,188,617,TIM_plus_solution,1,11483.418617010117,uniform,random,False
69,69,167568.5737578947,183,621,TIM_plus_solution,1,11483.418617010117,uniform,random,False
70,70,167579.3460123744,214,714,TIM_plus_solution,1,11483.418617010117,uniform,random,False
71,71,167578.76800851835,210,636,TIM_plus_solution,1,11483.418617010117,uniform,random,False
72,72,167588.9406893002,224,695,TIM_plus_solution,1,11483.418617010117,uniform,random,False
73,73,167577.24188374454,213,701,TIM_plus_solution,1,11483.418617010117,uniform,random,False
74,74,167573.57827567996,206,695,TIM_plus_solution,1,11483.418617010117,uniform,random,False
75,75,167573.88596153798,199,636,TIM_plus_solution,1,11483.418617010117,uniform,random,False
76,76,167565.64248847766,187,629,TIM_plus_solution,1,11483.418617010117,uniform,random,False
77,77,167564.26114741605,190,612,TIM_plus_solution,1,11483.418617010117,uniform,random,False
78,78,167567.4607066912,187,635,TIM_plus_solution,1,11483.418617010117,uniform,random,False
79,79,167570.37476374258,193,660,TIM_plus_solution,1,11483.418617010117,uniform,random,False
80,80,167570.09817339244,192,646,TIM_plus_solution,1,11483.418617010117,uniform,random,False
81,81,167575.58315411358,201,660,TIM_plus_solution,1,11483.418617010117,uniform,random,False
