,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,166964.9297713491,252,769,TIM_plus_solution,1,11933.292255878448,polarized,random,True
1,1,166937.0970188432,205,642,TIM_plus_solution,1,11933.292255878448,polarized,random,True
2,2,166956.49422646887,232,678,TIM_plus_solution,1,11933.292255878448,polarized,random,True
3,3,166941.07350893438,208,681,TIM_plus_solution,1,11933.292255878448,polarized,random,True
4,4,166964.1823714301,233,728,TIM_plus_solution,1,11933.292255878448,polarized,random,True
5,5,166939.24656065757,203,631,TIM_plus_solution,1,11933.292255878448,polarized,random,True
6,6,166945.74980746754,211,637,TIM_plus_solution,1,11933.292255878448,polarized,random,True
7,7,166948.75571428364,219,714,TIM_plus_solution,1,11933.292255878448,polarized,random,True
8,8,166951.23111563092,222,663,TIM_plus_solution,1,11933.292255878448,polarized,random,True
9,9,166948.9361018338,235,701,TIM_plus_solution,1,11933.292255878448,polarized,random,True
10,10,166942.74234734458,218,722,TIM_plus_solution,1,11933.292255878448,polarized,random,True
11,11,166953.80493899016,235,700,TIM_plus_solution,1,11933.292255878448,polarized,random,True
12,12,166962.57586287853,256,728,TIM_plus_solution,1,11933.292255878448,polarized,random,True
13,13,166959.76348001414,255,760,TIM_plus_solution,1,11933.292255878448,polarized,random,True
14,14,166954.4622053163,241,725,TIM_plus_solution,1,11933.292255878448,polarized,random,True
15,15,166952.7850915024,229,733,TIM_plus_solution,1,11933.292255878448,polarized,random,True
16,16,166958.5874876088,231,719,TIM_plus_solution,1,11933.292255878448,polarized,random,True
17,17,166954.52271812907,244,714,TIM_plus_solution,1,11933.292255878448,polarized,random,True
18,18,166943.77541753935,204,650,TIM_plus_solution,1,11933.292255878448,polarized,random,True
19,19,166941.72593430767,213,697,TIM_plus_solution,1,11933.292255878448,polarized,random,True
20,20,166950.87662155976,220,719,TIM_plus_solution,1,11933.292255878448,polarized,random,True
21,21,166946.77732203488,213,712,TIM_plus_solution,1,11933.292255878448,polarized,random,True
22,22,166965.5394678953,251,713,TIM_plus_solution,1,11933.292255878448,polarized,random,True
23,23,166966.81714890644,251,703,TIM_plus_solution,1,11933.292255878448,polarized,random,True
24,24,166943.1118331482,211,642,TIM_plus_solution,1,11933.292255878448,polarized,random,True
25,25,166948.22782040437,215,712,TIM_plus_solution,1,11933.292255878448,polarized,random,True
26,26,166942.53443406243,219,680,TIM_plus_solution,1,11933.292255878448,polarized,random,True
27,27,166949.25304319127,226,668,TIM_plus_solution,1,11933.292255878448,polarized,random,True
28,28,166944.0608649928,221,664,TIM_plus_solution,1,11933.292255878448,polarized,random,True
29,29,166938.8200941332,204,634,TIM_plus_solution,1,11933.292255878448,polarized,random,True
30,30,166949.7707003688,231,697,TIM_plus_solution,1,11933.292255878448,polarized,random,True
31,31,166954.55989684787,238,707,TIM_plus_solution,1,11933.292255878448,polarized,random,True
32,32,166957.67813694393,240,719,TIM_plus_solution,1,11933.292255878448,polarized,random,True
33,33,166953.43384519187,230,752,TIM_plus_solution,1,11933.292255878448,polarized,random,True
34,34,166943.0537429719,210,659,TIM_plus_solution,1,11933.292255878448,polarized,random,True
35,35,166966.09017077493,245,734,TIM_plus_solution,1,11933.292255878448,polarized,random,True
36,36,166964.7317032571,251,803,TIM_plus_solution,1,11933.292255878448,polarized,random,True
37,37,166949.57782801823,234,750,TIM_plus_solution,1,11933.292255878448,polarized,random,True
38,38,166945.56024355532,221,675,TIM_plus_solution,1,11933.292255878448,polarized,random,True
39,39,166957.3813704797,237,727,TIM_plus_solution,1,11933.292255878448,polarized,random,True
40,40,166947.56271017788,217,710,TIM_plus_solution,1,11933.292255878448,polarized,random,True
41,41,166939.91413176816,198,628,TIM_plus_solution,1,11933.292255878448,polarized,random,True
42,42,166929.3903801026,192,644,TIM_plus_solution,1,11933.292255878448,polarized,random,True
43,43,166953.07668095684,238,814,TIM_plus_solution,1,11933.292255878448,polarized,random,True
44,44,166957.05472998324,245,717,TIM_plus_solution,1,11933.292255878448,polarized,random,True
45,45,166940.42022437326,205,638,TIM_plus_solution,1,11933.292255878448,polarized,random,True
46,46,166952.3384809316,235,715,TIM_plus_solution,1,11933.292255878448,polarized,random,True
47,47,166954.93239275424,228,682,TIM_plus_solution,1,11933.292255878448,polarized,random,True
48,48,166937.66320567922,210,670,TIM_plus_solution,1,11933.292255878448,polarized,random,True
49,49,166939.41335286654,217,702,TIM_plus_solution,1,11933.292255878448,polarized,random,True
50,50,166947.54790981972,224,698,TIM_plus_solution,1,11933.292255878448,polarized,random,True
51,51,166941.90979459338,198,666,TIM_plus_solution,1,11933.292255878448,polarized,random,True
52,52,166958.42971745593,230,705,TIM_plus_solution,1,11933.292255878448,polarized,random,True
53,53,166946.794691083,211,660,TIM_plus_solution,1,11933.292255878448,polarized,random,True
54,54,166945.39172339108,214,676,TIM_plus_solution,1,11933.292255878448,polarized,random,True
55,55,166950.01701115075,223,692,TIM_plus_solution,1,11933.292255878448,polarized,random,True
56,56,166946.760907721,214,660,TIM_plus_solution,1,11933.292255878448,polarized,random,True
57,57,166945.49641049886,231,683,TIM_plus_solution,1,11933.292255878448,polarized,random,True
58,58,166952.4559200212,237,667,TIM_plus_solution,1,11933.292255878448,polarized,random,True
59,59,166949.91621031932,221,690,TIM_plus_solution,1,11933.292255878448,polarized,random,True
60,60,166937.6260306827,206,644,TIM_plus_solution,1,11933.292255878448,polarized,random,True
61,61,166948.37282880011,223,685,TIM_plus_solution,1,11933.292255878448,polarized,random,True
62,62,166946.67797706526,222,707,TIM_plus_solution,1,11933.292255878448,polarized,random,True
63,63,166943.2715600612,212,659,TIM_plus_solution,1,11933.292255878448,polarized,random,True
64,64,166947.16173532777,227,747,TIM_plus_solution,1,11933.292255878448,polarized,random,True
65,65,166943.93572215302,217,664,TIM_plus_solution,1,11933.292255878448,polarized,random,True
66,66,166940.9655206052,201,724,TIM_plus_solution,1,11933.292255878448,polarized,random,True
67,67,166970.0650503521,261,809,TIM_plus_solution,1,11933.292255878448,polarized,random,True
68,68,166947.18660907072,218,649,TIM_plus_solution,1,11933.292255878448,polarized,random,True
69,69,166966.45878344282,266,813,TIM_plus_solution,1,11933.292255878448,polarized,random,True
70,70,166951.41354940183,231,676,TIM_plus_solution,1,11933.292255878448,polarized,random,True
71,71,166936.32965648212,222,736,TIM_plus_solution,1,11933.292255878448,polarized,random,True
72,72,166937.41150991074,201,646,TIM_plus_solution,1,11933.292255878448,polarized,random,True
73,73,166958.60863960048,242,739,TIM_plus_solution,1,11933.292255878448,polarized,random,True
74,74,166968.67475183553,243,811,TIM_plus_solution,1,11933.292255878448,polarized,random,True
75,75,166937.26462390786,198,625,TIM_plus_solution,1,11933.292255878448,polarized,random,True
76,76,166949.16907638157,222,686,TIM_plus_solution,1,11933.292255878448,polarized,random,True
77,77,166943.18545849592,220,662,TIM_plus_solution,1,11933.292255878448,polarized,random,True
78,78,166948.0773973795,220,653,TIM_plus_solution,1,11933.292255878448,polarized,random,True
79,79,166942.20368760658,214,638,TIM_plus_solution,1,11933.292255878448,polarized,random,True
80,80,166939.6032709448,219,708,TIM_plus_solution,1,11933.292255878448,polarized,random,True
81,81,166962.73124215857,245,760,TIM_plus_solution,1,11933.292255878448,polarized,random,True
82,82,166934.81768195567,209,670,TIM_plus_solution,1,11933.292255878448,polarized,random,True
83,83,166938.40120136595,203,621,TIM_plus_solution,1,11933.292255878448,polarized,random,True
84,84,166947.82330630548,228,722,TIM_plus_solution,1,11933.292255878448,polarized,random,True
85,85,166959.1029486746,235,709,TIM_plus_solution,1,11933.292255878448,polarized,random,True
86,86,166947.80879712667,217,715,TIM_plus_solution,1,11933.292255878448,polarized,random,True
87,87,166939.47254464135,203,646,TIM_plus_solution,1,11933.292255878448,polarized,random,True
88,88,166947.1382755795,217,684,TIM_plus_solution,1,11933.292255878448,polarized,random,True
89,89,166956.86092593262,230,712,TIM_plus_solution,1,11933.292255878448,polarized,random,True
90,90,166946.10390509779,221,732,TIM_plus_solution,1,11933.292255878448,polarized,random,True
91,91,166947.83555348293,230,706,TIM_plus_solution,1,11933.292255878448,polarized,random,True
92,92,166938.8642476051,213,662,TIM_plus_solution,1,11933.292255878448,polarized,random,True
93,93,166956.69171232326,239,677,TIM_plus_solution,1,11933.292255878448,polarized,random,True
94,94,166950.80026418416,215,632,TIM_plus_solution,1,11933.292255878448,polarized,random,True
95,95,166953.1416940725,227,695,TIM_plus_solution,1,11933.292255878448,polarized,random,True
96,96,166955.71138202725,231,714,TIM_plus_solution,1,11933.292255878448,polarized,random,True
97,97,166953.86144805624,231,701,TIM_plus_solution,1,11933.292255878448,polarized,random,True
98,98,166945.95116129518,208,649,TIM_plus_solution,1,11933.292255878448,polarized,random,True
99,99,166943.80573703325,209,692,TIM_plus_solution,1,11933.292255878448,polarized,random,True
100,0,168017.29988868412,562,3258,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
101,1,168046.79594679576,619,3387,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
102,2,168050.3381233906,615,3307,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
103,3,168053.94430435405,621,3455,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
104,4,168050.47349192022,600,3307,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
105,5,168041.54775672764,595,3260,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
106,6,168008.7032784714,531,3095,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
107,7,168081.66506997787,659,3483,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
108,8,168041.90125722822,628,3426,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
109,9,168065.0495155096,648,3511,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
110,10,168046.3918632049,606,3383,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
111,11,168026.05187016487,599,3305,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
112,12,168054.0237593741,643,3432,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
113,13,168066.17534902057,648,3465,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
114,14,168045.68330103843,634,3385,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
115,15,168077.20538882384,685,3585,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
116,16,168064.98046792703,631,3413,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
117,17,168046.32751305925,630,3435,TIM_plus_solution,10,2136.7349886894226,polarized,random,True
