,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167649.43797616073,207,733,TIM_plus_solution,1,8954.680046081543,uniform,random,True
1,1,167647.07867252364,199,627,TIM_plus_solution,1,8954.680046081543,uniform,random,True
2,2,167642.98283752592,194,664,TIM_plus_solution,1,8954.680046081543,uniform,random,True
3,3,167636.82062947235,195,664,TIM_plus_solution,1,8954.680046081543,uniform,random,True
4,4,167648.83592357705,213,788,TIM_plus_solution,1,8954.680046081543,uniform,random,True
5,5,167646.7016150119,206,687,TIM_plus_solution,1,8954.680046081543,uniform,random,True
6,6,167644.10735725344,192,712,TIM_plus_solution,1,8954.680046081543,uniform,random,True
7,7,167640.96704100826,201,646,TIM_plus_solution,1,8954.680046081543,uniform,random,True
8,8,167663.19292796083,232,735,TIM_plus_solution,1,8954.680046081543,uniform,random,True
9,9,167644.66035961566,201,637,TIM_plus_solution,1,8954.680046081543,uniform,random,True
10,10,167657.59825662375,223,695,TIM_plus_solution,1,8954.680046081543,uniform,random,True
11,11,167682.6380541993,260,822,TIM_plus_solution,1,8954.680046081543,uniform,random,True
12,12,167646.07063931983,199,655,TIM_plus_solution,1,8954.680046081543,uniform,random,True
13,13,167644.3078505595,202,665,TIM_plus_solution,1,8954.680046081543,uniform,random,True
14,14,167645.9325053482,200,681,TIM_plus_solution,1,8954.680046081543,uniform,random,True
15,15,167656.82796266954,221,743,TIM_plus_solution,1,8954.680046081543,uniform,random,True
16,16,167656.28314729957,220,653,TIM_plus_solution,1,8954.680046081543,uniform,random,True
17,17,167652.073787834,208,697,TIM_plus_solution,1,8954.680046081543,uniform,random,True
18,18,167653.73553254796,216,726,TIM_plus_solution,1,8954.680046081543,uniform,random,True
19,19,167656.9439096772,208,676,TIM_plus_solution,1,8954.680046081543,uniform,random,True
20,20,167644.75517205973,204,687,TIM_plus_solution,1,8954.680046081543,uniform,random,True
21,21,167645.26210073603,201,690,TIM_plus_solution,1,8954.680046081543,uniform,random,True
22,22,167643.8266122059,199,627,TIM_plus_solution,1,8954.680046081543,uniform,random,True
23,23,167648.42997517352,208,680,TIM_plus_solution,1,8954.680046081543,uniform,random,True
24,24,167648.91666025962,199,648,TIM_plus_solution,1,8954.680046081543,uniform,random,True
25,25,167651.10983655485,209,669,TIM_plus_solution,1,8954.680046081543,uniform,random,True
26,26,167635.2715549928,183,660,TIM_plus_solution,1,8954.680046081543,uniform,random,True
27,27,167658.69828886216,219,726,TIM_plus_solution,1,8954.680046081543,uniform,random,True
28,28,167656.67213171037,222,711,TIM_plus_solution,1,8954.680046081543,uniform,random,True
29,29,167657.5942359013,225,708,TIM_plus_solution,1,8954.680046081543,uniform,random,True
30,30,167652.5599052045,213,672,TIM_plus_solution,1,8954.680046081543,uniform,random,True
31,31,167649.74023964806,205,699,TIM_plus_solution,1,8954.680046081543,uniform,random,True
32,32,167641.6920666112,195,644,TIM_plus_solution,1,8954.680046081543,uniform,random,True
33,33,167646.10884365859,207,693,TIM_plus_solution,1,8954.680046081543,uniform,random,True
34,34,167648.17117864327,209,707,TIM_plus_solution,1,8954.680046081543,uniform,random,True
35,35,167632.40631585076,183,638,TIM_plus_solution,1,8954.680046081543,uniform,random,True
36,36,167652.36206156513,208,648,TIM_plus_solution,1,8954.680046081543,uniform,random,True
37,37,167649.93512796483,209,659,TIM_plus_solution,1,8954.680046081543,uniform,random,True
38,38,167659.27926269808,226,709,TIM_plus_solution,1,8954.680046081543,uniform,random,True
39,39,167666.06473185733,237,815,TIM_plus_solution,1,8954.680046081543,uniform,random,True
40,40,167639.6492827695,189,645,TIM_plus_solution,1,8954.680046081543,uniform,random,True
41,41,167643.1795933506,199,647,TIM_plus_solution,1,8954.680046081543,uniform,random,True
42,42,167645.16024769418,208,663,TIM_plus_solution,1,8954.680046081543,uniform,random,True
43,43,167646.71178793337,206,708,TIM_plus_solution,1,8954.680046081543,uniform,random,True
44,44,167645.69427464233,204,688,TIM_plus_solution,1,8954.680046081543,uniform,random,True
45,45,167634.95401387408,187,651,TIM_plus_solution,1,8954.680046081543,uniform,random,True
46,46,167645.45820990286,201,660,TIM_plus_solution,1,8954.680046081543,uniform,random,True
47,47,167652.9109614499,215,678,TIM_plus_solution,1,8954.680046081543,uniform,random,True
48,48,167639.66592106633,198,632,TIM_plus_solution,1,8954.680046081543,uniform,random,True
49,49,167643.3869359371,196,600,TIM_plus_solution,1,8954.680046081543,uniform,random,True
50,50,167670.21385025006,240,779,TIM_plus_solution,1,8954.680046081543,uniform,random,True
