,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167609.0271083889,234,722,degree_solution,1,0.6856489181518555,polarized,random,False
1,1,167612.25873356906,243,787,degree_solution,1,0.6856489181518555,polarized,random,False
2,2,167608.77655947444,219,659,degree_solution,1,0.6856489181518555,polarized,random,False
3,3,167599.2686351911,219,662,degree_solution,1,0.6856489181518555,polarized,random,False
4,4,167619.95392366152,246,705,degree_solution,1,0.6856489181518555,polarized,random,False
5,5,167614.20147857044,239,698,degree_solution,1,0.6856489181518555,polarized,random,False
6,6,167617.4269462954,247,749,degree_solution,1,0.6856489181518555,polarized,random,False
7,7,167602.5894338746,221,686,degree_solution,1,0.6856489181518555,polarized,random,False
8,8,167610.38166750848,223,681,degree_solution,1,0.6856489181518555,polarized,random,False
9,9,167595.59863155597,213,664,degree_solution,1,0.6856489181518555,polarized,random,False
10,0,168713.63029308527,2809,14900,degree_solution,100,0.6846249103546143,polarized,random,False
11,1,168733.0481880878,2821,14969,degree_solution,100,0.6846249103546143,polarized,random,False
12,2,168766.74337087854,2868,15050,degree_solution,100,0.6846249103546143,polarized,random,False
13,3,168699.44558317462,2703,14654,degree_solution,100,0.6846249103546143,polarized,random,False
14,4,168711.14449396776,2786,14918,degree_solution,100,0.6846249103546143,polarized,random,False
15,5,168729.69453443066,2797,14641,degree_solution,100,0.6846249103546143,polarized,random,False
16,6,168624.9826596333,2664,14358,degree_solution,100,0.6846249103546143,polarized,random,False
17,7,168651.45570622216,2675,14416,degree_solution,100,0.6846249103546143,polarized,random,False
18,8,168684.99989437126,2757,14786,degree_solution,100,0.6846249103546143,polarized,random,False
19,9,168676.40336381106,2703,14430,degree_solution,100,0.6846249103546143,polarized,random,False
20,0,169775.80755112553,4522,22902,degree_solution,200,0.6885299682617188,polarized,random,False
21,1,169725.45728904207,4238,22408,degree_solution,200,0.6885299682617188,polarized,random,False
22,2,169710.45619601055,4378,22549,degree_solution,200,0.6885299682617188,polarized,random,False
23,3,169697.99462817123,4302,22381,degree_solution,200,0.6885299682617188,polarized,random,False
24,4,169590.3921749631,4091,21717,degree_solution,200,0.6885299682617188,polarized,random,False
25,5,169753.85518147476,4408,22354,degree_solution,200,0.6885299682617188,polarized,random,False
26,6,169741.39338943845,4347,22734,degree_solution,200,0.6885299682617188,polarized,random,False
27,7,169718.65039908292,4328,22919,degree_solution,200,0.6885299682617188,polarized,random,False
28,8,169666.76106991764,4293,22671,degree_solution,200,0.6885299682617188,polarized,random,False
29,9,169664.43013197312,4247,22293,degree_solution,200,0.6885299682617188,polarized,random,False
30,0,169861.95764038299,5603,28933,degree_solution,300,0.7734310626983643,polarized,random,False
31,1,169862.00101724986,5583,28697,degree_solution,300,0.7734310626983643,polarized,random,False
32,2,169914.88597613137,5780,29321,degree_solution,300,0.7734310626983643,polarized,random,False
33,3,169703.88590362872,5394,28193,degree_solution,300,0.7734310626983643,polarized,random,False
34,4,169762.648538625,5508,28548,degree_solution,300,0.7734310626983643,polarized,random,False
35,5,169909.23731151727,5673,29045,degree_solution,300,0.7734310626983643,polarized,random,False
36,6,169864.0105931988,5708,29461,degree_solution,300,0.7734310626983643,polarized,random,False
37,7,169916.18947819507,5748,29255,degree_solution,300,0.7734310626983643,polarized,random,False
38,8,169833.4357819918,5571,28893,degree_solution,300,0.7734310626983643,polarized,random,False
39,9,169863.08523209128,5689,29123,degree_solution,300,0.7734310626983643,polarized,random,False
40,0,170743.62832308677,6842,34530,degree_solution,400,0.6964609622955322,polarized,random,False
41,1,170732.27596507812,6847,34794,degree_solution,400,0.6964609622955322,polarized,random,False
42,2,170680.51452762677,6769,34309,degree_solution,400,0.6964609622955322,polarized,random,False
43,3,170694.81864389594,6783,34458,degree_solution,400,0.6964609622955322,polarized,random,False
44,4,170620.0281148165,6633,33945,degree_solution,400,0.6964609622955322,polarized,random,False
45,5,170825.36383610862,6933,35014,degree_solution,400,0.6964609622955322,polarized,random,False
46,6,170727.9558905064,6790,34776,degree_solution,400,0.6964609622955322,polarized,random,False
47,7,170788.8707582636,6969,34904,degree_solution,400,0.6964609622955322,polarized,random,False
48,8,170795.05444637334,6842,34564,degree_solution,400,0.6964609622955322,polarized,random,False
49,9,170695.2688646616,6849,34789,degree_solution,400,0.6964609622955322,polarized,random,False
50,0,171194.7180252133,7637,39194,degree_solution,500,0.6933920383453369,polarized,random,False
51,1,171332.11176511899,7947,39947,degree_solution,500,0.6933920383453369,polarized,random,False
52,2,171306.02402607969,7829,39736,degree_solution,500,0.6933920383453369,polarized,random,False
53,3,171293.65575978922,7859,39843,degree_solution,500,0.6933920383453369,polarized,random,False
54,4,171430.81632753107,7995,39887,degree_solution,500,0.6933920383453369,polarized,random,False
55,5,171244.92322371074,7643,39422,degree_solution,500,0.6933920383453369,polarized,random,False
56,6,171281.02829954444,7804,39417,degree_solution,500,0.6933920383453369,polarized,random,False
57,7,171325.33114825952,7895,39822,degree_solution,500,0.6933920383453369,polarized,random,False
58,8,171474.08691473128,8077,40003,degree_solution,500,0.6933920383453369,polarized,random,False
59,9,171345.93414704656,8045,39845,degree_solution,500,0.6933920383453369,polarized,random,False
60,0,171931.02700256178,8914,43838,degree_solution,600,0.6881170272827148,polarized,random,False
61,1,171912.92363194088,8858,44414,degree_solution,600,0.6881170272827148,polarized,random,False
62,2,171934.05299869512,8961,44089,degree_solution,600,0.6881170272827148,polarized,random,False
63,3,171902.14173024363,8950,44162,degree_solution,600,0.6881170272827148,polarized,random,False
64,4,172005.23787672058,9110,44417,degree_solution,600,0.6881170272827148,polarized,random,False
65,5,171948.45579971702,8949,44347,degree_solution,600,0.6881170272827148,polarized,random,False
66,6,172148.95014961401,9306,45138,degree_solution,600,0.6881170272827148,polarized,random,False
67,7,171947.12527963458,8992,44456,degree_solution,600,0.6881170272827148,polarized,random,False
68,8,171992.61249490292,9032,44365,degree_solution,600,0.6881170272827148,polarized,random,False
69,9,172119.62142362766,9272,44781,degree_solution,600,0.6881170272827148,polarized,random,False
70,0,172606.067756217,9730,48539,degree_solution,700,0.6907389163970947,polarized,random,False
71,1,172631.13977050813,9962,48417,degree_solution,700,0.6907389163970947,polarized,random,False
72,2,172541.10144505682,9757,47971,degree_solution,700,0.6907389163970947,polarized,random,False
73,3,172568.82282810245,9743,48293,degree_solution,700,0.6907389163970947,polarized,random,False
74,4,172458.69728781944,9582,47916,degree_solution,700,0.6907389163970947,polarized,random,False
75,5,172700.3570106696,9999,48471,degree_solution,700,0.6907389163970947,polarized,random,False
76,6,172595.41908099354,9798,48200,degree_solution,700,0.6907389163970947,polarized,random,False
77,7,172533.85299446926,9641,47844,degree_solution,700,0.6907389163970947,polarized,random,False
78,8,172630.6577233685,10004,48674,degree_solution,700,0.6907389163970947,polarized,random,False
79,9,172524.21337958466,9749,48211,degree_solution,700,0.6907389163970947,polarized,random,False
80,0,172540.86423746022,10493,51893,degree_solution,800,0.6942198276519775,polarized,random,False
81,1,172728.79893835163,10755,52155,degree_solution,800,0.6942198276519775,polarized,random,False
82,2,172643.71406765343,10660,52027,degree_solution,800,0.6942198276519775,polarized,random,False
83,3,172697.32723451513,10663,52131,degree_solution,800,0.6942198276519775,polarized,random,False
84,4,172689.2920442271,10711,52419,degree_solution,800,0.6942198276519775,polarized,random,False
85,5,172656.0406817806,10675,52183,degree_solution,800,0.6942198276519775,polarized,random,False
86,6,172697.6252179215,10721,52277,degree_solution,800,0.6942198276519775,polarized,random,False
87,7,172579.67514234327,10546,52150,degree_solution,800,0.6942198276519775,polarized,random,False
88,8,172692.05176768548,10672,52124,degree_solution,800,0.6942198276519775,polarized,random,False
89,9,172606.71413326418,10581,52321,degree_solution,800,0.6942198276519775,polarized,random,False
90,0,173141.32078982107,11596,55620,degree_solution,900,0.7045619487762451,polarized,random,False
91,1,173220.3014412796,11684,55868,degree_solution,900,0.7045619487762451,polarized,random,False
92,2,173230.05716725864,11752,56219,degree_solution,900,0.7045619487762451,polarized,random,False
