,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167577.1490098083,213,699,degree_solution,1,0.7084457874298096,uniform,random,False
1,1,167568.8751674806,199,671,degree_solution,1,0.7084457874298096,uniform,random,False
2,2,167570.91129465037,205,639,degree_solution,1,0.7084457874298096,uniform,random,False
3,3,167568.41396890845,193,650,degree_solution,1,0.7084457874298096,uniform,random,False
4,4,167576.7422520188,200,644,degree_solution,1,0.7084457874298096,uniform,random,False
5,5,167572.8613511698,197,629,degree_solution,1,0.7084457874298096,uniform,random,False
6,6,167584.79205349158,223,765,degree_solution,1,0.7084457874298096,uniform,random,False
7,7,167562.6526953313,184,624,degree_solution,1,0.7084457874298096,uniform,random,False
8,8,167553.77705218203,176,667,degree_solution,1,0.7084457874298096,uniform,random,False
9,9,167565.2953006539,192,615,degree_solution,1,0.7084457874298096,uniform,random,False
10,0,169032.8855698692,2842,15139,degree_solution,100,0.7455251216888428,uniform,random,False
11,1,169021.55904412695,2860,14877,degree_solution,100,0.7455251216888428,uniform,random,False
12,2,169012.2060554577,2845,14964,degree_solution,100,0.7455251216888428,uniform,random,False
13,3,168937.9391844926,2744,14783,degree_solution,100,0.7455251216888428,uniform,random,False
14,4,168952.221732848,2711,14883,degree_solution,100,0.7455251216888428,uniform,random,False
15,5,169058.11900382,2927,15387,degree_solution,100,0.7455251216888428,uniform,random,False
16,6,168989.83405995634,2819,15035,degree_solution,100,0.7455251216888428,uniform,random,False
17,7,168952.09085726374,2708,14829,degree_solution,100,0.7455251216888428,uniform,random,False
18,8,168962.57904675245,2722,14636,degree_solution,100,0.7455251216888428,uniform,random,False
19,9,168997.05353879582,2844,14816,degree_solution,100,0.7455251216888428,uniform,random,False
20,0,169765.30395620302,4500,23064,degree_solution,200,0.6954019069671631,uniform,random,False
21,1,169732.29007175536,4400,22824,degree_solution,200,0.6954019069671631,uniform,random,False
22,2,169698.51104125165,4391,22911,degree_solution,200,0.6954019069671631,uniform,random,False
23,3,169756.96166371804,4457,23024,degree_solution,200,0.6954019069671631,uniform,random,False
24,4,169769.36009165522,4455,22923,degree_solution,200,0.6954019069671631,uniform,random,False
25,5,169730.02121892816,4397,22989,degree_solution,200,0.6954019069671631,uniform,random,False
26,6,169684.9556010385,4390,22594,degree_solution,200,0.6954019069671631,uniform,random,False
27,7,169758.55258784108,4483,22999,degree_solution,200,0.6954019069671631,uniform,random,False
28,8,169765.54792553576,4439,22875,degree_solution,200,0.6954019069671631,uniform,random,False
29,9,169603.30929585648,4119,22081,degree_solution,200,0.6954019069671631,uniform,random,False
30,0,170310.2909755372,5579,29104,degree_solution,300,0.7672629356384277,uniform,random,False
31,1,170220.69175674525,5463,28530,degree_solution,300,0.7672629356384277,uniform,random,False
32,2,170339.37016597937,5623,29296,degree_solution,300,0.7672629356384277,uniform,random,False
33,3,170313.0680218702,5648,29238,degree_solution,300,0.7672629356384277,uniform,random,False
34,4,170264.57453574965,5536,28737,degree_solution,300,0.7672629356384277,uniform,random,False
35,5,170224.35371970938,5509,28779,degree_solution,300,0.7672629356384277,uniform,random,False
36,6,170291.03390748196,5543,29089,degree_solution,300,0.7672629356384277,uniform,random,False
37,7,170234.0389752838,5503,28890,degree_solution,300,0.7672629356384277,uniform,random,False
38,8,170273.38319200522,5529,28770,degree_solution,300,0.7672629356384277,uniform,random,False
39,9,170345.36050118474,5666,29056,degree_solution,300,0.7672629356384277,uniform,random,False
40,0,170765.5202849657,6986,34940,degree_solution,400,0.696159839630127,uniform,random,False
41,1,170569.47872277512,6602,34158,degree_solution,400,0.696159839630127,uniform,random,False
42,2,170742.03589825841,6964,35184,degree_solution,400,0.696159839630127,uniform,random,False
43,3,170717.25393626734,6982,35336,degree_solution,400,0.696159839630127,uniform,random,False
44,4,170709.07984815087,6891,35223,degree_solution,400,0.696159839630127,uniform,random,False
45,5,170710.76904718307,6898,34896,degree_solution,400,0.696159839630127,uniform,random,False
46,6,170643.0298839977,6812,34730,degree_solution,400,0.696159839630127,uniform,random,False
47,7,170709.17668378164,6891,34709,degree_solution,400,0.696159839630127,uniform,random,False
48,8,170643.11470108785,6764,34548,degree_solution,400,0.696159839630127,uniform,random,False
49,9,170535.54145162404,6592,33984,degree_solution,400,0.696159839630127,uniform,random,False
50,0,171295.79171577588,8012,39865,degree_solution,500,0.6994311809539795,uniform,random,False
51,1,171164.82773148862,7733,39700,degree_solution,500,0.6994311809539795,uniform,random,False
52,2,171326.29912615658,8142,40365,degree_solution,500,0.6994311809539795,uniform,random,False
53,3,171252.38766174164,7872,39841,degree_solution,500,0.6994311809539795,uniform,random,False
54,4,171196.14675458916,7844,39757,degree_solution,500,0.6994311809539795,uniform,random,False
55,5,171283.5337338795,8008,39888,degree_solution,500,0.6994311809539795,uniform,random,False
56,6,171058.3424830856,7524,38721,degree_solution,500,0.6994311809539795,uniform,random,False
57,7,171253.9781214188,7909,39818,degree_solution,500,0.6994311809539795,uniform,random,False
58,8,171218.2713210567,7906,40033,degree_solution,500,0.6994311809539795,uniform,random,False
59,9,171215.9188535475,7880,39974,degree_solution,500,0.6994311809539795,uniform,random,False
60,0,171482.68901193407,8659,43889,degree_solution,600,0.7991809844970703,uniform,random,False
61,1,171515.33941232946,8694,43746,degree_solution,600,0.7991809844970703,uniform,random,False
62,2,171663.6560992193,8961,44453,degree_solution,600,0.7991809844970703,uniform,random,False
63,3,171526.0083075971,8704,44139,degree_solution,600,0.7991809844970703,uniform,random,False
64,4,171692.06992035403,8998,44624,degree_solution,600,0.7991809844970703,uniform,random,False
65,5,171578.95403721472,8785,44116,degree_solution,600,0.7991809844970703,uniform,random,False
66,6,171642.63075132103,8949,44619,degree_solution,600,0.7991809844970703,uniform,random,False
67,7,171668.46292245714,8890,44147,degree_solution,600,0.7991809844970703,uniform,random,False
68,8,171616.6130215934,8859,44524,degree_solution,600,0.7991809844970703,uniform,random,False
69,9,171678.9127394592,8940,44553,degree_solution,600,0.7991809844970703,uniform,random,False
70,0,172620.57086474833,9720,48290,degree_solution,700,0.7973320484161377,uniform,random,False
71,1,172639.86502144753,9741,48663,degree_solution,700,0.7973320484161377,uniform,random,False
72,2,172653.00391589402,9733,48380,degree_solution,700,0.7973320484161377,uniform,random,False
73,3,172729.82942686553,9962,48791,degree_solution,700,0.7973320484161377,uniform,random,False
74,4,172640.65540515893,9763,48372,degree_solution,700,0.7973320484161377,uniform,random,False
75,5,172655.30878488318,9724,48260,degree_solution,700,0.7973320484161377,uniform,random,False
76,6,172630.57094251132,9707,48186,degree_solution,700,0.7973320484161377,uniform,random,False
77,7,172629.3469577,9777,48350,degree_solution,700,0.7973320484161377,uniform,random,False
78,8,172687.17511112406,9739,48142,degree_solution,700,0.7973320484161377,uniform,random,False
79,9,172671.00222169075,9784,48270,degree_solution,700,0.7973320484161377,uniform,random,False
80,0,172992.14994655026,10685,52337,degree_solution,800,0.6963708400726318,uniform,random,False
81,1,172917.09249773197,10519,51825,degree_solution,800,0.6963708400726318,uniform,random,False
82,2,172968.8445787616,10704,52530,degree_solution,800,0.6963708400726318,uniform,random,False
83,3,172847.45003068697,10433,52128,degree_solution,800,0.6963708400726318,uniform,random,False
84,4,172822.5395111853,10452,51841,degree_solution,800,0.6963708400726318,uniform,random,False
85,5,172905.12024590332,10619,52392,degree_solution,800,0.6963708400726318,uniform,random,False
