,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167331.37318833874,233,709,degree_solution,1,0.9013817310333252,polarized,random,True
1,1,167306.07892031292,196,629,degree_solution,1,0.9013817310333252,polarized,random,True
2,2,167319.03065361112,226,716,degree_solution,1,0.9013817310333252,polarized,random,True
3,3,167318.4160686169,227,697,degree_solution,1,0.9013817310333252,polarized,random,True
4,4,167315.0939662095,221,657,degree_solution,1,0.9013817310333252,polarized,random,True
5,5,167307.5643167352,206,650,degree_solution,1,0.9013817310333252,polarized,random,True
6,6,167318.839387246,217,684,degree_solution,1,0.9013817310333252,polarized,random,True
7,7,167314.73425499146,215,632,degree_solution,1,0.9013817310333252,polarized,random,True
8,8,167328.12233384702,231,724,degree_solution,1,0.9013817310333252,polarized,random,True
9,9,167321.08481534905,239,708,degree_solution,1,0.9013817310333252,polarized,random,True
10,10,167324.26040908688,228,758,degree_solution,1,0.9013817310333252,polarized,random,True
11,11,167318.1244375013,216,700,degree_solution,1,0.9013817310333252,polarized,random,True
12,12,167308.48672894516,218,621,degree_solution,1,0.9013817310333252,polarized,random,True
13,13,167308.65264316773,208,699,degree_solution,1,0.9013817310333252,polarized,random,True
14,14,167308.7263943969,206,634,degree_solution,1,0.9013817310333252,polarized,random,True
15,15,167315.76928412984,218,686,degree_solution,1,0.9013817310333252,polarized,random,True
16,16,167303.4807887958,206,655,degree_solution,1,0.9013817310333252,polarized,random,True
17,17,167306.6769516335,210,677,degree_solution,1,0.9013817310333252,polarized,random,True
18,18,167317.1247731979,215,643,degree_solution,1,0.9013817310333252,polarized,random,True
19,19,167307.6506149635,203,624,degree_solution,1,0.9013817310333252,polarized,random,True
20,20,167303.89333700895,195,650,degree_solution,1,0.9013817310333252,polarized,random,True
21,21,167310.2690473607,201,622,degree_solution,1,0.9013817310333252,polarized,random,True
22,22,167305.91154495988,206,659,degree_solution,1,0.9013817310333252,polarized,random,True
23,23,167308.63863136419,204,634,degree_solution,1,0.9013817310333252,polarized,random,True
24,24,167304.67933375042,194,618,degree_solution,1,0.9013817310333252,polarized,random,True
25,25,167305.17075282274,209,659,degree_solution,1,0.9013817310333252,polarized,random,True
26,26,167303.14305484857,198,600,degree_solution,1,0.9013817310333252,polarized,random,True
27,27,167308.5191537962,208,641,degree_solution,1,0.9013817310333252,polarized,random,True
28,28,167314.90973968865,217,683,degree_solution,1,0.9013817310333252,polarized,random,True
29,29,167308.46843450857,207,667,degree_solution,1,0.9013817310333252,polarized,random,True
30,30,167317.55332501276,225,701,degree_solution,1,0.9013817310333252,polarized,random,True
31,31,167312.29139711036,212,657,degree_solution,1,0.9013817310333252,polarized,random,True
32,32,167306.37736505753,214,670,degree_solution,1,0.9013817310333252,polarized,random,True
33,33,167299.62315633873,203,638,degree_solution,1,0.9013817310333252,polarized,random,True
34,34,167303.76620851693,197,660,degree_solution,1,0.9013817310333252,polarized,random,True
35,35,167304.81180681402,206,648,degree_solution,1,0.9013817310333252,polarized,random,True
36,36,167307.07434256707,196,632,degree_solution,1,0.9013817310333252,polarized,random,True
37,37,167313.41418061176,215,651,degree_solution,1,0.9013817310333252,polarized,random,True
38,38,167311.81710753744,210,659,degree_solution,1,0.9013817310333252,polarized,random,True
39,39,167309.54879006094,208,641,degree_solution,1,0.9013817310333252,polarized,random,True
40,40,167315.04860336139,218,686,degree_solution,1,0.9013817310333252,polarized,random,True
41,41,167318.62674791753,226,689,degree_solution,1,0.9013817310333252,polarized,random,True
42,42,167304.3584790142,204,660,degree_solution,1,0.9013817310333252,polarized,random,True
43,43,167314.89692827247,214,652,degree_solution,1,0.9013817310333252,polarized,random,True
44,44,167320.6400882758,224,644,degree_solution,1,0.9013817310333252,polarized,random,True
45,45,167313.7206172443,211,663,degree_solution,1,0.9013817310333252,polarized,random,True
46,46,167305.76381758234,203,668,degree_solution,1,0.9013817310333252,polarized,random,True
47,47,167315.27075307115,211,660,degree_solution,1,0.9013817310333252,polarized,random,True
48,48,167313.44770714603,211,665,degree_solution,1,0.9013817310333252,polarized,random,True
49,49,167316.91752502482,211,639,degree_solution,1,0.9013817310333252,polarized,random,True
50,50,167306.45190343674,205,633,degree_solution,1,0.9013817310333252,polarized,random,True
51,51,167308.38912354637,208,673,degree_solution,1,0.9013817310333252,polarized,random,True
52,52,167315.59100732653,216,684,degree_solution,1,0.9013817310333252,polarized,random,True
53,53,167310.4662273102,220,675,degree_solution,1,0.9013817310333252,polarized,random,True
54,54,167317.33491430132,214,645,degree_solution,1,0.9013817310333252,polarized,random,True
55,55,167302.85526219342,195,647,degree_solution,1,0.9013817310333252,polarized,random,True
56,56,167312.59979773295,206,708,degree_solution,1,0.9013817310333252,polarized,random,True
57,57,167318.32609287434,238,710,degree_solution,1,0.9013817310333252,polarized,random,True
58,58,167308.9317410029,212,665,degree_solution,1,0.9013817310333252,polarized,random,True
59,59,167307.0929889962,211,675,degree_solution,1,0.9013817310333252,polarized,random,True
60,60,167314.9776728641,212,644,degree_solution,1,0.9013817310333252,polarized,random,True
61,61,167318.10928854288,221,679,degree_solution,1,0.9013817310333252,polarized,random,True
62,62,167325.5956118187,231,684,degree_solution,1,0.9013817310333252,polarized,random,True
63,63,167323.50193340337,227,713,degree_solution,1,0.9013817310333252,polarized,random,True
64,64,167305.09700216397,212,650,degree_solution,1,0.9013817310333252,polarized,random,True
65,65,167303.21808565067,204,657,degree_solution,1,0.9013817310333252,polarized,random,True
66,66,167316.67094004885,212,733,degree_solution,1,0.9013817310333252,polarized,random,True
67,67,167310.74278288864,209,667,degree_solution,1,0.9013817310333252,polarized,random,True
68,68,167307.9039076875,210,653,degree_solution,1,0.9013817310333252,polarized,random,True
69,69,167293.74310751611,179,603,degree_solution,1,0.9013817310333252,polarized,random,True
70,70,167300.8876808478,196,621,degree_solution,1,0.9013817310333252,polarized,random,True
71,71,167317.29167749104,220,710,degree_solution,1,0.9013817310333252,polarized,random,True
72,72,167313.85055691242,214,692,degree_solution,1,0.9013817310333252,polarized,random,True
73,73,167330.11444335934,240,724,degree_solution,1,0.9013817310333252,polarized,random,True
74,74,167326.12432929742,235,713,degree_solution,1,0.9013817310333252,polarized,random,True
75,75,167307.0456256452,202,632,degree_solution,1,0.9013817310333252,polarized,random,True
76,76,167329.40211636317,242,692,degree_solution,1,0.9013817310333252,polarized,random,True
77,77,167321.17222390976,228,706,degree_solution,1,0.9013817310333252,polarized,random,True
78,78,167305.11286572544,203,646,degree_solution,1,0.9013817310333252,polarized,random,True
79,79,167315.84314120383,229,679,degree_solution,1,0.9013817310333252,polarized,random,True
80,80,167317.64742767758,215,700,degree_solution,1,0.9013817310333252,polarized,random,True
81,81,167315.444759808,216,689,degree_solution,1,0.9013817310333252,polarized,random,True
82,82,167317.70749124628,244,728,degree_solution,1,0.9013817310333252,polarized,random,True
83,83,167301.57107321362,202,661,degree_solution,1,0.9013817310333252,polarized,random,True
84,84,167307.79905386115,201,670,degree_solution,1,0.9013817310333252,polarized,random,True
85,85,167313.6836913014,206,675,degree_solution,1,0.9013817310333252,polarized,random,True
86,86,167323.6066683356,236,699,degree_solution,1,0.9013817310333252,polarized,random,True
87,87,167308.89701982777,208,633,degree_solution,1,0.9013817310333252,polarized,random,True
88,88,167311.2070782307,202,631,degree_solution,1,0.9013817310333252,polarized,random,True
89,89,167307.45314549815,203,681,degree_solution,1,0.9013817310333252,polarized,random,True
90,90,167315.10874994515,218,658,degree_solution,1,0.9013817310333252,polarized,random,True
91,91,167306.89000987078,211,652,degree_solution,1,0.9013817310333252,polarized,random,True
92,92,167315.5489649984,219,639,degree_solution,1,0.9013817310333252,polarized,random,True
93,93,167310.02929759872,204,634,degree_solution,1,0.9013817310333252,polarized,random,True
94,94,167322.25677846943,228,732,degree_solution,1,0.9013817310333252,polarized,random,True
95,95,167307.10292957342,206,652,degree_solution,1,0.9013817310333252,polarized,random,True
96,96,167311.79716930664,211,660,degree_solution,1,0.9013817310333252,polarized,random,True
97,97,167310.65264267288,209,675,degree_solution,1,0.9013817310333252,polarized,random,True
98,98,167326.4945020644,237,700,degree_solution,1,0.9013817310333252,polarized,random,True
99,99,167299.20739491394,196,643,degree_solution,1,0.9013817310333252,polarized,random,True
100,0,167736.69980308154,602,3089,degree_solution,10,0.8859360218048096,polarized,random,True
101,1,167709.95034487784,592,3292,degree_solution,10,0.8859360218048096,polarized,random,True
102,2,167734.90794703632,657,3271,degree_solution,10,0.8859360218048096,polarized,random,True
103,3,167721.2639014165,582,3155,degree_solution,10,0.8859360218048096,polarized,random,True
104,4,167723.87621166598,614,3232,degree_solution,10,0.8859360218048096,polarized,random,True
105,5,167743.5253952438,639,3424,degree_solution,10,0.8859360218048096,polarized,random,True
106,6,167749.2717562587,638,3418,degree_solution,10,0.8859360218048096,polarized,random,True
107,7,167737.12012302157,637,3402,degree_solution,10,0.8859360218048096,polarized,random,True
108,8,167733.05899353547,615,3255,degree_solution,10,0.8859360218048096,polarized,random,True
109,9,167775.73512029962,692,3317,degree_solution,10,0.8859360218048096,polarized,random,True
110,10,167749.1225673679,616,3196,degree_solution,10,0.8859360218048096,polarized,random,True
111,11,167722.63331166425,619,3254,degree_solution,10,0.8859360218048096,polarized,random,True
112,12,167747.34526895892,651,3524,degree_solution,10,0.8859360218048096,polarized,random,True
113,13,167705.7513102821,583,3097,degree_solution,10,0.8859360218048096,polarized,random,True
114,14,167717.23568978952,592,3215,degree_solution,10,0.8859360218048096,polarized,random,True
115,15,167754.95300541478,672,3417,degree_solution,10,0.8859360218048096,polarized,random,True
116,16,167717.67302361998,597,3292,degree_solution,10,0.8859360218048096,polarized,random,True
117,17,167755.23530521113,667,3375,degree_solution,10,0.8859360218048096,polarized,random,True
118,18,167705.7682880125,594,3413,degree_solution,10,0.8859360218048096,polarized,random,True
119,19,167731.87125410323,644,3246,degree_solution,10,0.8859360218048096,polarized,random,True
120,20,167716.41260486675,616,3239,degree_solution,10,0.8859360218048096,polarized,random,True
121,21,167704.50350061106,580,3194,degree_solution,10,0.8859360218048096,polarized,random,True
122,22,167769.35057065406,656,3318,degree_solution,10,0.8859360218048096,polarized,random,True
123,23,167713.207491084,598,3197,degree_solution,10,0.8859360218048096,polarized,random,True
124,24,167685.67439236987,537,3101,degree_solution,10,0.8859360218048096,polarized,random,True
125,25,167739.00542857754,625,3177,degree_solution,10,0.8859360218048096,polarized,random,True
126,26,167731.7605133895,621,3286,degree_solution,10,0.8859360218048096,polarized,random,True
127,27,167735.48424220333,644,3452,degree_solution,10,0.8859360218048096,polarized,random,True
128,28,167733.56461154288,609,3291,degree_solution,10,0.8859360218048096,polarized,random,True
129,29,167702.53169314255,570,3178,degree_solution,10,0.8859360218048096,polarized,random,True
