,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167643.04180914455,199,631,degree_solution,1,0.9062578678131104,uniform,random,True
1,1,167651.6737337302,211,693,degree_solution,1,0.9062578678131104,uniform,random,True
2,2,167654.8683996026,217,680,degree_solution,1,0.9062578678131104,uniform,random,True
3,3,167641.10531807286,192,635,degree_solution,1,0.9062578678131104,uniform,random,True
4,4,167645.8630294423,200,709,degree_solution,1,0.9062578678131104,uniform,random,True
5,5,167647.5925846587,208,665,degree_solution,1,0.9062578678131104,uniform,random,True
6,6,167641.0870035817,196,647,degree_solution,1,0.9062578678131104,uniform,random,True
7,7,167648.04075182843,210,675,degree_solution,1,0.9062578678131104,uniform,random,True
8,8,167640.9568595644,187,640,degree_solution,1,0.9062578678131104,uniform,random,True
9,9,167647.190775508,205,639,degree_solution,1,0.9062578678131104,uniform,random,True
10,10,167641.98306560618,188,629,degree_solution,1,0.9062578678131104,uniform,random,True
11,11,167650.46391751873,207,654,degree_solution,1,0.9062578678131104,uniform,random,True
12,12,167656.0535057106,229,716,degree_solution,1,0.9062578678131104,uniform,random,True
13,13,167642.89593326018,190,620,degree_solution,1,0.9062578678131104,uniform,random,True
14,14,167654.5100669765,215,659,degree_solution,1,0.9062578678131104,uniform,random,True
15,15,167658.7783230421,236,782,degree_solution,1,0.9062578678131104,uniform,random,True
16,16,167652.56380694234,208,687,degree_solution,1,0.9062578678131104,uniform,random,True
17,17,167632.82893434796,184,629,degree_solution,1,0.9062578678131104,uniform,random,True
18,18,167634.6450410113,184,626,degree_solution,1,0.9062578678131104,uniform,random,True
19,19,167660.15041727474,225,730,degree_solution,1,0.9062578678131104,uniform,random,True
20,20,167640.35648451326,195,635,degree_solution,1,0.9062578678131104,uniform,random,True
21,21,167645.678517261,200,665,degree_solution,1,0.9062578678131104,uniform,random,True
22,22,167646.10125876885,205,646,degree_solution,1,0.9062578678131104,uniform,random,True
23,23,167650.859701651,217,715,degree_solution,1,0.9062578678131104,uniform,random,True
24,24,167638.95703458993,196,632,degree_solution,1,0.9062578678131104,uniform,random,True
25,25,167647.4859042202,197,624,degree_solution,1,0.9062578678131104,uniform,random,True
26,26,167656.60286034417,219,689,degree_solution,1,0.9062578678131104,uniform,random,True
27,27,167650.14305800674,199,696,degree_solution,1,0.9062578678131104,uniform,random,True
28,28,167643.7049331774,209,652,degree_solution,1,0.9062578678131104,uniform,random,True
29,29,167634.37312556105,182,643,degree_solution,1,0.9062578678131104,uniform,random,True
30,30,167647.02772720522,199,649,degree_solution,1,0.9062578678131104,uniform,random,True
31,31,167647.32580911057,199,652,degree_solution,1,0.9062578678131104,uniform,random,True
32,32,167649.9964934334,210,668,degree_solution,1,0.9062578678131104,uniform,random,True
33,33,167657.11562480195,227,707,degree_solution,1,0.9062578678131104,uniform,random,True
34,34,167643.412839295,204,668,degree_solution,1,0.9062578678131104,uniform,random,True
35,35,167643.73756482633,193,690,degree_solution,1,0.9062578678131104,uniform,random,True
36,36,167640.94888121003,191,656,degree_solution,1,0.9062578678131104,uniform,random,True
37,37,167632.97915428548,181,634,degree_solution,1,0.9062578678131104,uniform,random,True
38,38,167646.31644757238,203,670,degree_solution,1,0.9062578678131104,uniform,random,True
39,39,167642.21940627045,196,694,degree_solution,1,0.9062578678131104,uniform,random,True
40,40,167633.50647608697,190,665,degree_solution,1,0.9062578678131104,uniform,random,True
41,41,167646.08041857855,199,678,degree_solution,1,0.9062578678131104,uniform,random,True
42,42,167646.3952064456,205,660,degree_solution,1,0.9062578678131104,uniform,random,True
43,43,167643.11836684577,193,657,degree_solution,1,0.9062578678131104,uniform,random,True
44,44,167640.76196305937,185,621,degree_solution,1,0.9062578678131104,uniform,random,True
45,45,167640.41263661982,186,629,degree_solution,1,0.9062578678131104,uniform,random,True
46,46,167634.91912479055,186,647,degree_solution,1,0.9062578678131104,uniform,random,True
47,47,167653.27816816582,215,724,degree_solution,1,0.9062578678131104,uniform,random,True
48,48,167647.79290960592,210,712,degree_solution,1,0.9062578678131104,uniform,random,True
49,49,167637.97852591026,189,675,degree_solution,1,0.9062578678131104,uniform,random,True
50,50,167635.9495236099,182,636,degree_solution,1,0.9062578678131104,uniform,random,True
51,51,167644.8753138358,209,683,degree_solution,1,0.9062578678131104,uniform,random,True
52,52,167661.60604467706,228,743,degree_solution,1,0.9062578678131104,uniform,random,True
53,53,167643.64018738273,194,654,degree_solution,1,0.9062578678131104,uniform,random,True
54,54,167649.15288447856,213,684,degree_solution,1,0.9062578678131104,uniform,random,True
55,55,167659.1764918312,221,752,degree_solution,1,0.9062578678131104,uniform,random,True
56,56,167643.02788927272,198,628,degree_solution,1,0.9062578678131104,uniform,random,True
57,57,167649.83139702157,209,655,degree_solution,1,0.9062578678131104,uniform,random,True
58,58,167644.05035110208,202,679,degree_solution,1,0.9062578678131104,uniform,random,True
59,59,167654.91347780355,206,697,degree_solution,1,0.9062578678131104,uniform,random,True
60,60,167634.43010319563,185,630,degree_solution,1,0.9062578678131104,uniform,random,True
61,61,167650.81274518635,206,648,degree_solution,1,0.9062578678131104,uniform,random,True
62,62,167640.5540656194,198,676,degree_solution,1,0.9062578678131104,uniform,random,True
63,63,167639.52411366324,205,669,degree_solution,1,0.9062578678131104,uniform,random,True
64,64,167642.54187838727,202,676,degree_solution,1,0.9062578678131104,uniform,random,True
65,65,167640.45322166715,200,647,degree_solution,1,0.9062578678131104,uniform,random,True
66,66,167645.13667915858,192,604,degree_solution,1,0.9062578678131104,uniform,random,True
67,67,167646.77729147367,198,644,degree_solution,1,0.9062578678131104,uniform,random,True
68,68,167668.2465811282,241,750,degree_solution,1,0.9062578678131104,uniform,random,True
69,69,167648.07816199097,212,719,degree_solution,1,0.9062578678131104,uniform,random,True
70,70,167648.23714115942,204,625,degree_solution,1,0.9062578678131104,uniform,random,True
71,71,167643.16615617758,193,663,degree_solution,1,0.9062578678131104,uniform,random,True
72,72,167643.61216676625,189,620,degree_solution,1,0.9062578678131104,uniform,random,True
73,73,167667.50644522288,233,693,degree_solution,1,0.9062578678131104,uniform,random,True
74,74,167647.6863542233,208,665,degree_solution,1,0.9062578678131104,uniform,random,True
75,75,167642.43965915512,192,654,degree_solution,1,0.9062578678131104,uniform,random,True
76,76,167642.11020437008,201,666,degree_solution,1,0.9062578678131104,uniform,random,True
77,77,167646.02054117474,206,634,degree_solution,1,0.9062578678131104,uniform,random,True
78,78,167632.86568174625,185,641,degree_solution,1,0.9062578678131104,uniform,random,True
79,79,167635.39382500842,187,662,degree_solution,1,0.9062578678131104,uniform,random,True
80,80,167641.82309566732,198,631,degree_solution,1,0.9062578678131104,uniform,random,True
81,81,167650.38980985022,213,724,degree_solution,1,0.9062578678131104,uniform,random,True
82,82,167662.2949905055,229,722,degree_solution,1,0.9062578678131104,uniform,random,True
83,83,167641.58841122696,192,628,degree_solution,1,0.9062578678131104,uniform,random,True
84,84,167647.93576074182,201,691,degree_solution,1,0.9062578678131104,uniform,random,True
85,85,167648.59654572522,196,686,degree_solution,1,0.9062578678131104,uniform,random,True
86,86,167639.6336303543,199,668,degree_solution,1,0.9062578678131104,uniform,random,True
87,87,167643.06937062924,189,624,degree_solution,1,0.9062578678131104,uniform,random,True
88,88,167637.2119634534,191,629,degree_solution,1,0.9062578678131104,uniform,random,True
89,89,167657.14286604075,221,656,degree_solution,1,0.9062578678131104,uniform,random,True
90,90,167643.66929483332,193,669,degree_solution,1,0.9062578678131104,uniform,random,True
91,91,167645.90953752992,197,657,degree_solution,1,0.9062578678131104,uniform,random,True
92,92,167636.18970057054,183,657,degree_solution,1,0.9062578678131104,uniform,random,True
93,93,167651.3004896306,205,656,degree_solution,1,0.9062578678131104,uniform,random,True
94,94,167636.0172259959,179,624,degree_solution,1,0.9062578678131104,uniform,random,True
95,95,167643.6259853718,199,672,degree_solution,1,0.9062578678131104,uniform,random,True
96,96,167646.04897716382,209,666,degree_solution,1,0.9062578678131104,uniform,random,True
97,97,167643.33934166134,201,641,degree_solution,1,0.9062578678131104,uniform,random,True
98,98,167650.9172991866,209,657,degree_solution,1,0.9062578678131104,uniform,random,True
99,99,167662.10411958172,234,754,degree_solution,1,0.9062578678131104,uniform,random,True
100,0,167880.28771012524,660,3388,degree_solution,10,0.992128849029541,uniform,random,True
101,1,167846.59795753416,594,3179,degree_solution,10,0.992128849029541,uniform,random,True
102,2,167853.84038516544,575,3161,degree_solution,10,0.992128849029541,uniform,random,True
103,3,167856.26226935963,599,3322,degree_solution,10,0.992128849029541,uniform,random,True
104,4,167830.4743553231,547,3093,degree_solution,10,0.992128849029541,uniform,random,True
105,5,167861.76307854624,623,3358,degree_solution,10,0.992128849029541,uniform,random,True
106,6,167833.19406466678,566,3114,degree_solution,10,0.992128849029541,uniform,random,True
107,7,167872.61955605238,645,3445,degree_solution,10,0.992128849029541,uniform,random,True
