,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167585.5661546579,215,685,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
1,1,167563.55403513828,184,641,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
2,2,167590.55679562868,231,680,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
3,3,167573.74820893825,199,641,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
4,4,167580.54606965036,227,843,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
5,5,167572.92113176294,200,638,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
6,6,167582.59367911916,214,655,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
7,7,167570.02976928256,201,663,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
8,8,167571.51562428646,189,655,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
9,9,167577.48176031053,208,642,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
10,10,167574.0465353107,201,648,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
11,11,167565.64512701222,186,625,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
12,12,167566.1162459928,189,644,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
13,13,167572.43682909242,196,641,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
14,14,167582.98484713683,223,691,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
15,15,167578.1113383031,208,678,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
16,16,167573.575365915,195,666,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
17,17,167565.39194077038,188,672,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
18,18,167573.62719402288,196,671,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
19,19,167576.63277002686,207,645,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
20,20,167565.66877979174,191,632,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
21,21,167595.39960791144,242,740,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
22,22,167575.6563879353,198,647,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
23,23,167576.5654968357,199,666,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
24,24,167581.72963075803,209,656,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
25,25,167570.8587802395,203,634,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
26,26,167576.04321819553,206,694,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
27,27,167577.9969188637,213,638,fast_LAIM_solution,1,31.866331100463867,uniform,random,False
