,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167155.28900377706,229,670,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
1,1,167153.52483055092,211,661,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
2,2,167151.59409569844,218,650,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
3,3,167143.8421114345,212,671,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
4,4,167134.89159317012,198,661,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
5,5,167154.6039684061,232,693,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
6,6,167145.33954666933,223,713,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
7,7,167142.1881439088,212,635,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
8,8,167152.12325421322,212,685,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
9,9,167154.11071101073,224,695,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
10,10,167146.94605678224,206,636,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
11,11,167150.47130696967,222,699,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
12,12,167148.1239882405,210,662,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
13,13,167164.925534693,234,713,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
14,14,167143.43777988118,213,667,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
15,15,167163.2202995153,231,700,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
16,16,167156.54945654835,231,762,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
17,17,167158.74526900228,224,693,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
18,18,167161.7955037657,235,744,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
19,19,167145.56942630513,222,666,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
20,20,167148.98228199896,210,643,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
21,21,167164.753646405,235,733,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
22,22,167149.4158777987,217,669,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
23,23,167161.15234529143,240,733,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
24,24,167147.93555032642,215,706,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
25,25,167143.58720841174,213,658,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
26,26,167149.65203124366,218,737,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
27,27,167181.625974605,262,779,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
28,28,167149.1132659454,219,657,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
29,29,167146.16186164625,218,686,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
30,30,167152.8191847044,228,704,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
31,31,167154.8614403131,218,699,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
32,32,167147.46120176092,207,691,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
33,33,167150.86967372472,216,692,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
34,34,167158.64349730147,228,709,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
35,35,167152.2281027597,231,740,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
36,36,167156.47596079585,230,723,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
37,37,167158.3840539387,224,683,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
38,38,167150.01780810335,227,671,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
39,39,167143.19754769816,204,648,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
40,40,167145.02063946973,217,702,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
41,41,167156.72594378892,222,686,fast_LAIM_solution,1,54.71510720252991,polarized,random,True
