,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167643.70913615657,200,631,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
1,1,167660.16337643503,228,827,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
2,2,167650.87307898895,204,655,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
3,3,167635.38506709607,182,650,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
4,4,167632.5474248543,186,638,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
5,5,167650.6069070071,208,736,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
6,6,167648.64015596642,210,653,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
7,7,167650.713620793,209,635,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
8,8,167636.6470363686,190,611,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
9,9,167645.4942308979,200,617,fast_LAIM_solution,1,33.20911407470703,uniform,random,True
10,0,167598.2781731442,674,3153,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
11,1,167595.08479898633,674,3019,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
12,2,167594.26158218776,673,2988,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
13,3,167609.79184703785,695,3014,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
14,4,167615.3204413025,723,3103,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
15,5,167586.36959918393,651,2939,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
16,6,167591.5753805253,692,3078,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
17,7,167616.58681742783,714,3081,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
18,8,167614.15877554484,728,3109,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
19,9,167599.8789444116,693,3066,fast_LAIM_solution,10,35.06919598579407,uniform,random,True
20,0,167772.98238536526,1076,4799,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
21,1,167693.50754168504,939,4472,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
22,2,167742.43540890733,1042,4897,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
23,3,167742.6812036307,1038,4815,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
24,4,167777.24370703858,1079,4832,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
25,5,167706.25298343302,985,4595,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
26,6,167730.62563442357,1012,4755,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
27,7,167787.79583550952,1133,5040,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
28,8,167789.9009526097,1125,4967,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
29,9,167735.76478155077,999,4647,fast_LAIM_solution,20,36.44156885147095,uniform,random,True
30,0,168678.5914437607,1363,6566,fast_LAIM_solution,30,42.758141040802,uniform,random,True
31,1,168694.28950276144,1372,6588,fast_LAIM_solution,30,42.758141040802,uniform,random,True
32,2,168702.73612235129,1367,6680,fast_LAIM_solution,30,42.758141040802,uniform,random,True
33,3,168676.51419064877,1337,6528,fast_LAIM_solution,30,42.758141040802,uniform,random,True
34,4,168707.57935378593,1383,6753,fast_LAIM_solution,30,42.758141040802,uniform,random,True
35,5,168697.28016748815,1363,6585,fast_LAIM_solution,30,42.758141040802,uniform,random,True
36,6,168639.50999248787,1266,6295,fast_LAIM_solution,30,42.758141040802,uniform,random,True
37,7,168693.53808669368,1370,6547,fast_LAIM_solution,30,42.758141040802,uniform,random,True
38,8,168679.7081887178,1364,6654,fast_LAIM_solution,30,42.758141040802,uniform,random,True
39,9,168671.74350480287,1334,6484,fast_LAIM_solution,30,42.758141040802,uniform,random,True
40,0,168178.25070633073,1719,8224,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
41,1,168132.6116723315,1623,7997,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
42,2,168149.53605817934,1693,8116,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
43,3,168129.81989361494,1626,7833,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
44,4,168140.80867254722,1664,8115,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
45,5,168150.7754245852,1670,8110,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
46,6,168159.79465847777,1699,8177,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
47,7,168096.02918743063,1580,7805,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
48,8,168121.2039683265,1632,8197,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
49,9,168113.59876636718,1641,7882,fast_LAIM_solution,40,36.396957874298096,uniform,random,True
50,0,168265.4207888822,1915,9502,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
51,1,168266.81677083657,1856,9309,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
52,2,168264.55793683033,1854,9394,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
53,3,168323.99665718575,1969,9545,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
54,4,168275.30709949537,1916,9641,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
55,5,168310.5285418898,1968,9616,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
56,6,168316.75288790572,1949,9702,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
57,7,168257.82551874075,1881,9259,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
58,8,168309.90616146708,1975,9726,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
59,9,168289.99898520965,1948,9727,fast_LAIM_solution,50,35.39193892478943,uniform,random,True
