,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
1,1,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
2,2,167463.46000583956,3,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
3,3,167464.64328480675,5,19,min_opinion_solution,1,0.19319605827331543,uniform,random,False
4,4,167462.97851268563,5,21,min_opinion_solution,1,0.19319605827331543,uniform,random,False
5,5,167462.974975472,4,25,min_opinion_solution,1,0.19319605827331543,uniform,random,False
6,6,167466.78827659434,13,52,min_opinion_solution,1,0.19319605827331543,uniform,random,False
7,7,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
8,8,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
9,9,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
10,10,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
11,11,167462.58940574346,2,13,min_opinion_solution,1,0.19319605827331543,uniform,random,False
12,12,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
13,13,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
14,14,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
15,15,167465.89911971943,6,53,min_opinion_solution,1,0.19319605827331543,uniform,random,False
16,16,167463.40460160334,3,16,min_opinion_solution,1,0.19319605827331543,uniform,random,False
17,17,167462.64480997965,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
18,18,167467.25730252836,11,77,min_opinion_solution,1,0.19319605827331543,uniform,random,False
19,19,167462.4418874974,2,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
20,20,167463.38138826477,5,24,min_opinion_solution,1,0.19319605827331543,uniform,random,False
21,21,167465.27704807904,5,55,min_opinion_solution,1,0.19319605827331543,uniform,random,False
22,22,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
23,23,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
24,24,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
25,25,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
26,26,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
27,27,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
28,28,167462.4418874974,2,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
29,29,167464.0134060473,5,18,min_opinion_solution,1,0.19319605827331543,uniform,random,False
30,30,167462.90493325738,3,15,min_opinion_solution,1,0.19319605827331543,uniform,random,False
31,31,167462.4418874974,2,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
32,32,167462.58404611383,2,13,min_opinion_solution,1,0.19319605827331543,uniform,random,False
33,33,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
34,34,167466.03299844734,9,50,min_opinion_solution,1,0.19319605827331543,uniform,random,False
35,35,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
36,36,167463.69787853336,4,16,min_opinion_solution,1,0.19319605827331543,uniform,random,False
37,37,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
38,38,167462.58940574346,2,13,min_opinion_solution,1,0.19319605827331543,uniform,random,False
39,39,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
40,40,167462.58940574346,2,13,min_opinion_solution,1,0.19319605827331543,uniform,random,False
41,41,167462.0897373975,2,12,min_opinion_solution,1,0.19319605827331543,uniform,random,False
42,42,167462.64480997965,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
43,43,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
44,44,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
45,45,167462.572395078,3,16,min_opinion_solution,1,0.19319605827331543,uniform,random,False
46,46,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
47,47,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
48,48,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
49,49,167465.1622846176,5,30,min_opinion_solution,1,0.19319605827331543,uniform,random,False
50,50,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
51,51,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
52,52,167463.09047553354,3,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
53,53,167465.693559212,8,29,min_opinion_solution,1,0.19319605827331543,uniform,random,False
54,54,167463.12101781502,3,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
55,55,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
56,56,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
57,57,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
58,58,167466.27485119752,9,62,min_opinion_solution,1,0.19319605827331543,uniform,random,False
59,59,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
60,60,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
61,61,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
62,62,167464.49157176336,5,20,min_opinion_solution,1,0.19319605827331543,uniform,random,False
63,63,167463.2875327316,5,18,min_opinion_solution,1,0.19319605827331543,uniform,random,False
64,64,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
65,65,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
66,66,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
67,67,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
68,68,167463.0943628632,3,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
69,69,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
70,70,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
71,71,167463.40460160334,3,16,min_opinion_solution,1,0.19319605827331543,uniform,random,False
72,72,167464.33000521568,6,26,min_opinion_solution,1,0.19319605827331543,uniform,random,False
73,73,167463.3992419737,3,16,min_opinion_solution,1,0.19319605827331543,uniform,random,False
74,74,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
75,75,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
76,76,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
77,77,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
78,78,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
79,79,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
80,80,167467.01893077488,8,53,min_opinion_solution,1,0.19319605827331543,uniform,random,False
81,81,167462.7525446335,3,15,min_opinion_solution,1,0.19319605827331543,uniform,random,False
82,82,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
83,83,167464.8655956083,5,18,min_opinion_solution,1,0.19319605827331543,uniform,random,False
84,84,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
85,85,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
86,86,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
87,87,167462.0897373975,2,12,min_opinion_solution,1,0.19319605827331543,uniform,random,False
88,88,167462.64480997965,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
89,89,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
90,90,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
91,91,167463.12101781502,3,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
92,92,167463.93621367496,4,17,min_opinion_solution,1,0.19319605827331543,uniform,random,False
93,93,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
94,94,167462.79719860354,2,14,min_opinion_solution,1,0.19319605827331543,uniform,random,False
95,95,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
96,96,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
97,97,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
98,98,167463.25708335728,3,20,min_opinion_solution,1,0.19319605827331543,uniform,random,False
99,99,167461.98200274367,1,11,min_opinion_solution,1,0.19319605827331543,uniform,random,False
100,0,167483.5436878366,32,146,min_opinion_solution,10,0.20305800437927246,uniform,random,False
101,1,167477.30387179338,21,96,min_opinion_solution,10,0.20305800437927246,uniform,random,False
102,2,167480.2998796711,25,129,min_opinion_solution,10,0.20305800437927246,uniform,random,False
103,3,167483.6240206209,33,139,min_opinion_solution,10,0.20305800437927246,uniform,random,False
104,4,167479.10267764577,24,104,min_opinion_solution,10,0.20305800437927246,uniform,random,False
105,5,167475.63943226953,20,94,min_opinion_solution,10,0.20305800437927246,uniform,random,False
106,6,167476.1834900342,19,90,min_opinion_solution,10,0.20305800437927246,uniform,random,False
107,7,167472.95289709582,13,76,min_opinion_solution,10,0.20305800437927246,uniform,random,False
108,8,167473.2179002757,13,82,min_opinion_solution,10,0.20305800437927246,uniform,random,False
109,9,167480.1107680629,26,111,min_opinion_solution,10,0.20305800437927246,uniform,random,False
110,10,167481.011724226,29,110,min_opinion_solution,10,0.20305800437927246,uniform,random,False
111,11,167472.94439879557,15,83,min_opinion_solution,10,0.20305800437927246,uniform,random,False
112,12,167481.8804435544,28,105,min_opinion_solution,10,0.20305800437927246,uniform,random,False
113,13,167476.25824242568,19,85,min_opinion_solution,10,0.20305800437927246,uniform,random,False
114,14,167484.1911604169,32,134,min_opinion_solution,10,0.20305800437927246,uniform,random,False
115,15,167479.42898652214,25,105,min_opinion_solution,10,0.20305800437927246,uniform,random,False
116,16,167482.40756830722,26,97,min_opinion_solution,10,0.20305800437927246,uniform,random,False
117,17,167485.80766198726,32,134,min_opinion_solution,10,0.20305800437927246,uniform,random,False
118,18,167478.22246891275,21,99,min_opinion_solution,10,0.20305800437927246,uniform,random,False
119,19,167476.48182484752,20,92,min_opinion_solution,10,0.20305800437927246,uniform,random,False
120,20,167479.78748445035,25,118,min_opinion_solution,10,0.20305800437927246,uniform,random,False
121,21,167481.7584814463,33,146,min_opinion_solution,10,0.20305800437927246,uniform,random,False
122,22,167474.57587999414,16,81,min_opinion_solution,10,0.20305800437927246,uniform,random,False
123,23,167480.34415065596,26,111,min_opinion_solution,10,0.20305800437927246,uniform,random,False
124,24,167479.078143452,26,161,min_opinion_solution,10,0.20305800437927246,uniform,random,False
125,25,167478.66808122848,23,105,min_opinion_solution,10,0.20305800437927246,uniform,random,False
126,26,167476.3508352808,21,87,min_opinion_solution,10,0.20305800437927246,uniform,random,False
127,27,167474.0656096388,15,86,min_opinion_solution,10,0.20305800437927246,uniform,random,False
128,28,167476.3899416772,19,87,min_opinion_solution,10,0.20305800437927246,uniform,random,False
129,29,167479.08299035302,24,145,min_opinion_solution,10,0.20305800437927246,uniform,random,False
130,30,167481.9807357458,29,114,min_opinion_solution,10,0.20305800437927246,uniform,random,False
131,31,167477.82274842975,23,106,min_opinion_solution,10,0.20305800437927246,uniform,random,False
132,32,167478.67475372268,21,110,min_opinion_solution,10,0.20305800437927246,uniform,random,False
133,33,167474.421602306,16,88,min_opinion_solution,10,0.20305800437927246,uniform,random,False
134,34,167477.63724452473,26,127,min_opinion_solution,10,0.20305800437927246,uniform,random,False
135,35,167480.6771722475,26,127,min_opinion_solution,10,0.20305800437927246,uniform,random,False
136,36,167475.2004649651,18,85,min_opinion_solution,10,0.20305800437927246,uniform,random,False
137,37,167475.9760917063,19,92,min_opinion_solution,10,0.20305800437927246,uniform,random,False
138,38,167475.8105963781,18,76,min_opinion_solution,10,0.20305800437927246,uniform,random,False
139,39,167472.331343861,12,75,min_opinion_solution,10,0.20305800437927246,uniform,random,False
140,40,167472.6229465415,13,74,min_opinion_solution,10,0.20305800437927246,uniform,random,False
141,41,167473.73329925357,15,90,min_opinion_solution,10,0.20305800437927246,uniform,random,False
