,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
1,1,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
2,2,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
3,3,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
4,4,167003.6922033607,3,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
5,5,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
6,6,167005.33832540564,5,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
7,7,167003.47127128343,2,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
8,8,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
9,9,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
10,10,167003.76853030236,3,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
11,11,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
12,12,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
13,13,167003.39494434177,2,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
14,14,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
15,15,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
16,16,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
17,17,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
18,18,167005.7787500671,6,19,min_opinion_solution,1,0.4048900604248047,polarized,random,True
19,19,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
20,20,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
21,21,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
22,22,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
23,23,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
24,24,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
25,25,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
26,26,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
27,27,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
28,28,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
29,29,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
30,30,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
31,31,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
32,32,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
33,33,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
34,34,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
35,35,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
36,36,167003.39494434177,2,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
37,37,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
38,38,167005.68738764257,5,18,min_opinion_solution,1,0.4048900604248047,polarized,random,True
39,39,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
40,40,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
41,41,167003.39494434177,2,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
42,42,167003.71487331693,3,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
43,43,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
44,44,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
45,45,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
46,46,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
47,47,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
48,48,167006.3152930419,5,18,min_opinion_solution,1,0.4048900604248047,polarized,random,True
49,49,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
50,50,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
51,51,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
52,52,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
53,53,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
54,54,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
55,55,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
56,56,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
57,57,167003.41761429803,2,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
58,58,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
59,59,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
60,60,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
61,61,167004.39463919765,3,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
62,62,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
63,63,167007.54333927965,9,19,min_opinion_solution,1,0.4048900604248047,polarized,random,True
64,64,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
65,65,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
66,66,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
67,67,167004.39965320888,4,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
68,68,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
69,69,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
70,70,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
71,71,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
72,72,167004.6838547689,4,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
73,73,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
74,74,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
75,75,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
76,76,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
77,77,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
78,78,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
79,79,167004.75826263076,4,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
80,80,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
81,81,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
82,82,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
83,83,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
84,84,167007.92754545927,12,32,min_opinion_solution,1,0.4048900604248047,polarized,random,True
85,85,167004.40926570623,3,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
86,86,167004.76137837302,5,19,min_opinion_solution,1,0.4048900604248047,polarized,random,True
87,87,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
88,88,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
89,89,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
90,90,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
91,91,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
92,92,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
93,93,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
94,94,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
95,95,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
96,96,167005.03206765387,4,16,min_opinion_solution,1,0.4048900604248047,polarized,random,True
97,97,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
98,98,167004.91823672518,4,14,min_opinion_solution,1,0.4048900604248047,polarized,random,True
99,99,167002.5380634175,1,5,min_opinion_solution,1,0.4048900604248047,polarized,random,True
100,0,167899.12587078483,12,71,min_opinion_solution,10,0.43068695068359375,polarized,random,True
101,1,167904.8465133235,20,84,min_opinion_solution,10,0.43068695068359375,polarized,random,True
102,2,167902.43056526908,15,82,min_opinion_solution,10,0.43068695068359375,polarized,random,True
103,3,167901.66027292595,15,76,min_opinion_solution,10,0.43068695068359375,polarized,random,True
104,4,167905.24673756966,22,108,min_opinion_solution,10,0.43068695068359375,polarized,random,True
105,5,167910.73367227174,33,144,min_opinion_solution,10,0.43068695068359375,polarized,random,True
106,6,167902.45310332117,17,90,min_opinion_solution,10,0.43068695068359375,polarized,random,True
107,7,167899.81232357482,13,73,min_opinion_solution,10,0.43068695068359375,polarized,random,True
108,8,167907.03088944833,24,112,min_opinion_solution,10,0.43068695068359375,polarized,random,True
109,9,167903.2724724879,19,92,min_opinion_solution,10,0.43068695068359375,polarized,random,True
110,10,167908.68769543295,28,116,min_opinion_solution,10,0.43068695068359375,polarized,random,True
111,11,167904.6435510467,20,89,min_opinion_solution,10,0.43068695068359375,polarized,random,True
112,12,167900.83340950523,14,72,min_opinion_solution,10,0.43068695068359375,polarized,random,True
113,13,167903.68658444434,21,93,min_opinion_solution,10,0.43068695068359375,polarized,random,True
114,14,167903.59797900656,17,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
115,15,167902.3127484046,19,85,min_opinion_solution,10,0.43068695068359375,polarized,random,True
116,16,167900.172294786,15,75,min_opinion_solution,10,0.43068695068359375,polarized,random,True
117,17,167902.88403947538,16,82,min_opinion_solution,10,0.43068695068359375,polarized,random,True
118,18,167900.85674932253,14,74,min_opinion_solution,10,0.43068695068359375,polarized,random,True
119,19,167901.89254102172,15,76,min_opinion_solution,10,0.43068695068359375,polarized,random,True
120,20,167902.00309940745,15,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
121,21,167903.64189992138,19,94,min_opinion_solution,10,0.43068695068359375,polarized,random,True
122,22,167903.46948218564,18,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
123,23,167902.7285440675,16,87,min_opinion_solution,10,0.43068695068359375,polarized,random,True
124,24,167900.9417487528,14,75,min_opinion_solution,10,0.43068695068359375,polarized,random,True
125,25,167907.8575311381,26,100,min_opinion_solution,10,0.43068695068359375,polarized,random,True
126,26,167909.0338544099,38,158,min_opinion_solution,10,0.43068695068359375,polarized,random,True
127,27,167899.0528161877,12,72,min_opinion_solution,10,0.43068695068359375,polarized,random,True
128,28,167899.04947402698,12,79,min_opinion_solution,10,0.43068695068359375,polarized,random,True
129,29,167905.7251680718,19,93,min_opinion_solution,10,0.43068695068359375,polarized,random,True
130,30,167902.39225693673,17,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
131,31,167903.05875796176,18,96,min_opinion_solution,10,0.43068695068359375,polarized,random,True
132,32,167900.27698900158,15,73,min_opinion_solution,10,0.43068695068359375,polarized,random,True
133,33,167900.90105625175,14,73,min_opinion_solution,10,0.43068695068359375,polarized,random,True
134,34,167899.90407086493,13,72,min_opinion_solution,10,0.43068695068359375,polarized,random,True
135,35,167907.61911678177,28,91,min_opinion_solution,10,0.43068695068359375,polarized,random,True
136,36,167903.5383360013,17,79,min_opinion_solution,10,0.43068695068359375,polarized,random,True
137,37,167901.7130915411,16,75,min_opinion_solution,10,0.43068695068359375,polarized,random,True
138,38,167904.4133655747,22,93,min_opinion_solution,10,0.43068695068359375,polarized,random,True
139,39,167907.44938320867,31,136,min_opinion_solution,10,0.43068695068359375,polarized,random,True
140,40,167900.23902144976,13,75,min_opinion_solution,10,0.43068695068359375,polarized,random,True
141,41,167902.73057376663,15,84,min_opinion_solution,10,0.43068695068359375,polarized,random,True
142,42,167900.85067074586,14,73,min_opinion_solution,10,0.43068695068359375,polarized,random,True
143,43,167906.68281480504,22,101,min_opinion_solution,10,0.43068695068359375,polarized,random,True
144,44,167901.4037082104,14,84,min_opinion_solution,10,0.43068695068359375,polarized,random,True
145,45,167902.0973822296,17,74,min_opinion_solution,10,0.43068695068359375,polarized,random,True
146,46,167905.58066168232,23,104,min_opinion_solution,10,0.43068695068359375,polarized,random,True
147,47,167900.03671093695,13,72,min_opinion_solution,10,0.43068695068359375,polarized,random,True
148,48,167907.48935850555,26,115,min_opinion_solution,10,0.43068695068359375,polarized,random,True
149,49,167909.84999216752,28,131,min_opinion_solution,10,0.43068695068359375,polarized,random,True
150,50,167904.28071627367,18,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
151,51,167905.58193300085,21,92,min_opinion_solution,10,0.43068695068359375,polarized,random,True
152,52,167900.2197227525,13,76,min_opinion_solution,10,0.43068695068359375,polarized,random,True
153,53,167901.72381254536,14,75,min_opinion_solution,10,0.43068695068359375,polarized,random,True
154,54,167902.4548323447,18,90,min_opinion_solution,10,0.43068695068359375,polarized,random,True
155,55,167902.6534244548,20,99,min_opinion_solution,10,0.43068695068359375,polarized,random,True
156,56,167901.08625256256,14,80,min_opinion_solution,10,0.43068695068359375,polarized,random,True
157,57,167915.10144542044,32,132,min_opinion_solution,10,0.43068695068359375,polarized,random,True
158,58,167907.8291824851,24,115,min_opinion_solution,10,0.43068695068359375,polarized,random,True
159,59,167903.2857726554,20,101,min_opinion_solution,10,0.43068695068359375,polarized,random,True
160,60,167908.68963168573,24,98,min_opinion_solution,10,0.43068695068359375,polarized,random,True
161,61,167904.93267203428,19,97,min_opinion_solution,10,0.43068695068359375,polarized,random,True
162,62,167901.4390804991,14,79,min_opinion_solution,10,0.43068695068359375,polarized,random,True
163,63,167903.74659060992,19,85,min_opinion_solution,10,0.43068695068359375,polarized,random,True
164,64,167904.78348843454,19,95,min_opinion_solution,10,0.43068695068359375,polarized,random,True
165,65,167904.57449284886,20,94,min_opinion_solution,10,0.43068695068359375,polarized,random,True
166,66,167907.61171470003,25,126,min_opinion_solution,10,0.43068695068359375,polarized,random,True
167,67,167903.3075642745,17,97,min_opinion_solution,10,0.43068695068359375,polarized,random,True
168,68,167905.7834426785,20,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
169,69,167901.56537124512,15,77,min_opinion_solution,10,0.43068695068359375,polarized,random,True
170,70,167904.18252177408,18,89,min_opinion_solution,10,0.43068695068359375,polarized,random,True
171,71,167905.8615406192,22,124,min_opinion_solution,10,0.43068695068359375,polarized,random,True
172,72,167901.93448732755,16,84,min_opinion_solution,10,0.43068695068359375,polarized,random,True
173,73,167904.89011786535,19,97,min_opinion_solution,10,0.43068695068359375,polarized,random,True
174,74,167900.82906117648,14,81,min_opinion_solution,10,0.43068695068359375,polarized,random,True
175,75,167903.7496930959,17,78,min_opinion_solution,10,0.43068695068359375,polarized,random,True
176,76,167901.58626489865,14,73,min_opinion_solution,10,0.43068695068359375,polarized,random,True
177,77,167903.51096199205,17,88,min_opinion_solution,10,0.43068695068359375,polarized,random,True
178,78,167909.07693597602,29,123,min_opinion_solution,10,0.43068695068359375,polarized,random,True
179,79,167908.75665637982,24,109,min_opinion_solution,10,0.43068695068359375,polarized,random,True
180,80,167906.93708770003,26,107,min_opinion_solution,10,0.43068695068359375,polarized,random,True
181,81,167903.76447041734,19,95,min_opinion_solution,10,0.43068695068359375,polarized,random,True
182,82,167907.8117036202,23,111,min_opinion_solution,10,0.43068695068359375,polarized,random,True
183,83,167900.85062928233,17,78,min_opinion_solution,10,0.43068695068359375,polarized,random,True
184,84,167901.85713478053,16,86,min_opinion_solution,10,0.43068695068359375,polarized,random,True
185,85,167903.375347489,17,79,min_opinion_solution,10,0.43068695068359375,polarized,random,True
186,86,167905.39376299267,25,106,min_opinion_solution,10,0.43068695068359375,polarized,random,True
187,87,167905.16036097452,20,92,min_opinion_solution,10,0.43068695068359375,polarized,random,True
188,88,167901.0906184462,18,76,min_opinion_solution,10,0.43068695068359375,polarized,random,True
189,89,167907.0997674195,23,105,min_opinion_solution,10,0.43068695068359375,polarized,random,True
190,90,167901.803831225,16,76,min_opinion_solution,10,0.43068695068359375,polarized,random,True
191,91,167904.50752305627,23,105,min_opinion_solution,10,0.43068695068359375,polarized,random,True
192,92,167907.80248830057,26,91,min_opinion_solution,10,0.43068695068359375,polarized,random,True
193,93,167902.77301106814,16,88,min_opinion_solution,10,0.43068695068359375,polarized,random,True
194,94,167902.55367676044,16,84,min_opinion_solution,10,0.43068695068359375,polarized,random,True
