,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167534.54441596076,2,13,min_opinion_solution,1,0.37566614151000977,uniform,random,True
1,1,167533.94237259057,1,11,min_opinion_solution,1,0.37566614151000977,uniform,random,True
2,2,167535.0508453805,3,14,min_opinion_solution,1,0.37566614151000977,uniform,random,True
3,3,167533.94237259057,1,11,min_opinion_solution,1,0.37566614151000977,uniform,random,True
4,4,167533.94237259057,1,11,min_opinion_solution,1,0.37566614151000977,uniform,random,True
5,5,167536.82590278992,6,35,min_opinion_solution,1,0.37566614151000977,uniform,random,True
6,6,167533.94237259057,1,11,min_opinion_solution,1,0.37566614151000977,uniform,random,True
7,7,167533.94237259057,1,11,min_opinion_solution,1,0.37566614151000977,uniform,random,True
8,8,167534.7575684505,2,14,min_opinion_solution,1,0.37566614151000977,uniform,random,True
9,9,167534.7575684505,2,14,min_opinion_solution,1,0.37566614151000977,uniform,random,True
10,0,167269.6188924358,11,51,min_opinion_solution,10,0.37979984283447266,uniform,random,True
11,1,167272.0173013424,15,53,min_opinion_solution,10,0.37979984283447266,uniform,random,True
12,2,167274.38494388445,19,79,min_opinion_solution,10,0.37979984283447266,uniform,random,True
13,3,167275.39405637325,21,63,min_opinion_solution,10,0.37979984283447266,uniform,random,True
14,4,167269.49570284266,11,63,min_opinion_solution,10,0.37979984283447266,uniform,random,True
15,5,167275.5548220867,20,65,min_opinion_solution,10,0.37979984283447266,uniform,random,True
16,6,167273.72533295662,17,59,min_opinion_solution,10,0.37979984283447266,uniform,random,True
17,7,167274.44434817386,19,65,min_opinion_solution,10,0.37979984283447266,uniform,random,True
18,8,167272.8829062297,16,65,min_opinion_solution,10,0.37979984283447266,uniform,random,True
19,9,167273.2859305571,16,64,min_opinion_solution,10,0.37979984283447266,uniform,random,True
20,0,167264.80256467318,25,120,min_opinion_solution,20,0.3382241725921631,uniform,random,True
21,1,167273.62441204276,42,202,min_opinion_solution,20,0.3382241725921631,uniform,random,True
22,2,167268.5963110967,33,136,min_opinion_solution,20,0.3382241725921631,uniform,random,True
23,3,167271.28849958425,38,143,min_opinion_solution,20,0.3382241725921631,uniform,random,True
24,4,167266.05337446675,27,126,min_opinion_solution,20,0.3382241725921631,uniform,random,True
25,5,167264.14364914314,24,118,min_opinion_solution,20,0.3382241725921631,uniform,random,True
26,6,167269.64019839442,33,155,min_opinion_solution,20,0.3382241725921631,uniform,random,True
27,7,167269.3836709633,33,148,min_opinion_solution,20,0.3382241725921631,uniform,random,True
28,8,167272.80398591587,38,149,min_opinion_solution,20,0.3382241725921631,uniform,random,True
29,9,167268.61310502508,32,136,min_opinion_solution,20,0.3382241725921631,uniform,random,True
30,0,168061.81123412764,57,259,min_opinion_solution,30,0.37030720710754395,uniform,random,True
31,1,168055.8129666552,51,234,min_opinion_solution,30,0.37030720710754395,uniform,random,True
32,2,168070.48731963604,74,343,min_opinion_solution,30,0.37030720710754395,uniform,random,True
33,3,168061.02336055273,53,280,min_opinion_solution,30,0.37030720710754395,uniform,random,True
34,4,168052.44400559837,40,212,min_opinion_solution,30,0.37030720710754395,uniform,random,True
35,5,168056.04091702466,44,233,min_opinion_solution,30,0.37030720710754395,uniform,random,True
36,6,168057.85797551155,51,248,min_opinion_solution,30,0.37030720710754395,uniform,random,True
37,7,168059.34150771349,59,295,min_opinion_solution,30,0.37030720710754395,uniform,random,True
38,8,168060.44294975683,55,244,min_opinion_solution,30,0.37030720710754395,uniform,random,True
39,9,168059.75228393395,54,235,min_opinion_solution,30,0.37030720710754395,uniform,random,True
40,0,167374.82355775143,79,305,min_opinion_solution,40,0.37433600425720215,uniform,random,True
41,1,167370.41075863692,66,269,min_opinion_solution,40,0.37433600425720215,uniform,random,True
42,2,167370.6602963876,67,269,min_opinion_solution,40,0.37433600425720215,uniform,random,True
43,3,167371.1716343287,70,296,min_opinion_solution,40,0.37433600425720215,uniform,random,True
44,4,167380.33952721182,85,332,min_opinion_solution,40,0.37433600425720215,uniform,random,True
45,5,167360.98176597262,54,239,min_opinion_solution,40,0.37433600425720215,uniform,random,True
46,6,167364.02874564266,59,243,min_opinion_solution,40,0.37433600425720215,uniform,random,True
47,7,167369.48311954312,67,273,min_opinion_solution,40,0.37433600425720215,uniform,random,True
48,8,167374.04180793298,72,290,min_opinion_solution,40,0.37433600425720215,uniform,random,True
49,9,167363.68761194948,56,257,min_opinion_solution,40,0.37433600425720215,uniform,random,True
50,0,167387.66229936926,94,411,min_opinion_solution,50,0.37139296531677246,uniform,random,True
51,1,167375.9529199691,74,344,min_opinion_solution,50,0.37139296531677246,uniform,random,True
52,2,167382.03659455688,81,355,min_opinion_solution,50,0.37139296531677246,uniform,random,True
53,3,167378.96739694217,83,386,min_opinion_solution,50,0.37139296531677246,uniform,random,True
54,4,167373.07479833008,69,337,min_opinion_solution,50,0.37139296531677246,uniform,random,True
55,5,167376.1730411927,73,345,min_opinion_solution,50,0.37139296531677246,uniform,random,True
56,6,167371.52981963876,67,331,min_opinion_solution,50,0.37139296531677246,uniform,random,True
57,7,167383.50621207504,82,375,min_opinion_solution,50,0.37139296531677246,uniform,random,True
58,8,167379.45851175467,86,376,min_opinion_solution,50,0.37139296531677246,uniform,random,True
59,9,167386.4653896292,96,465,min_opinion_solution,50,0.37139296531677246,uniform,random,True
