,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167382.78600861525,40,255,opinion_degree_solution,1,18.689898014068604,polarized,random,False
1,1,167372.88568877324,29,234,opinion_degree_solution,1,18.689898014068604,polarized,random,False
2,2,167384.44703352998,53,263,opinion_degree_solution,1,18.689898014068604,polarized,random,False
3,3,167376.3304191428,31,248,opinion_degree_solution,1,18.689898014068604,polarized,random,False
4,4,167409.3966922306,91,417,opinion_degree_solution,1,18.689898014068604,polarized,random,False
5,5,167388.2901617392,54,318,opinion_degree_solution,1,18.689898014068604,polarized,random,False
6,6,167374.23368243864,34,235,opinion_degree_solution,1,18.689898014068604,polarized,random,False
7,7,167376.16325336046,32,253,opinion_degree_solution,1,18.689898014068604,polarized,random,False
8,8,167375.2131991484,32,243,opinion_degree_solution,1,18.689898014068604,polarized,random,False
9,9,167402.85917374582,77,395,opinion_degree_solution,1,18.689898014068604,polarized,random,False
10,10,167372.78834787456,30,238,opinion_degree_solution,1,18.689898014068604,polarized,random,False
11,11,167377.92335647575,36,251,opinion_degree_solution,1,18.689898014068604,polarized,random,False
12,12,167370.33428000708,31,231,opinion_degree_solution,1,18.689898014068604,polarized,random,False
13,13,167381.83820216366,40,269,opinion_degree_solution,1,18.689898014068604,polarized,random,False
14,14,167377.40236689575,36,244,opinion_degree_solution,1,18.689898014068604,polarized,random,False
15,15,167377.02403085344,33,239,opinion_degree_solution,1,18.689898014068604,polarized,random,False
16,16,167376.50501133598,36,225,opinion_degree_solution,1,18.689898014068604,polarized,random,False
17,17,167374.36195833245,36,229,opinion_degree_solution,1,18.689898014068604,polarized,random,False
18,18,167387.83924885228,46,267,opinion_degree_solution,1,18.689898014068604,polarized,random,False
19,19,167385.39750389964,43,292,opinion_degree_solution,1,18.689898014068604,polarized,random,False
20,20,167376.8835743318,38,237,opinion_degree_solution,1,18.689898014068604,polarized,random,False
21,21,167392.45156923778,62,350,opinion_degree_solution,1,18.689898014068604,polarized,random,False
22,22,167375.281994534,28,232,opinion_degree_solution,1,18.689898014068604,polarized,random,False
23,23,167375.2683888677,37,246,opinion_degree_solution,1,18.689898014068604,polarized,random,False
24,24,167377.30990856566,32,258,opinion_degree_solution,1,18.689898014068604,polarized,random,False
25,25,167381.24275982165,40,243,opinion_degree_solution,1,18.689898014068604,polarized,random,False
26,26,167390.08944997628,51,314,opinion_degree_solution,1,18.689898014068604,polarized,random,False
27,27,167382.74254669997,45,268,opinion_degree_solution,1,18.689898014068604,polarized,random,False
28,28,167377.76622096763,34,230,opinion_degree_solution,1,18.689898014068604,polarized,random,False
29,29,167379.70229898722,42,306,opinion_degree_solution,1,18.689898014068604,polarized,random,False
30,30,167382.7785232918,42,262,opinion_degree_solution,1,18.689898014068604,polarized,random,False
31,31,167385.9044665128,60,310,opinion_degree_solution,1,18.689898014068604,polarized,random,False
32,32,167380.83248194866,40,260,opinion_degree_solution,1,18.689898014068604,polarized,random,False
