,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167579.04221103847,212,658,opinion_degree_solution,1,16.027510166168213,uniform,random,False
1,1,167574.70629806188,206,686,opinion_degree_solution,1,16.027510166168213,uniform,random,False
2,2,167568.9758990023,197,630,opinion_degree_solution,1,16.027510166168213,uniform,random,False
3,3,167567.22879717287,186,628,opinion_degree_solution,1,16.027510166168213,uniform,random,False
4,4,167574.40171823034,199,649,opinion_degree_solution,1,16.027510166168213,uniform,random,False
5,5,167579.27807710582,213,662,opinion_degree_solution,1,16.027510166168213,uniform,random,False
6,6,167571.16720808833,193,620,opinion_degree_solution,1,16.027510166168213,uniform,random,False
7,7,167578.88937224896,217,699,opinion_degree_solution,1,16.027510166168213,uniform,random,False
8,8,167570.02181461666,203,766,opinion_degree_solution,1,16.027510166168213,uniform,random,False
9,9,167580.2703423394,213,730,opinion_degree_solution,1,16.027510166168213,uniform,random,False
10,0,167502.38603896505,355,2575,opinion_degree_solution,10,16.03967785835266,uniform,random,False
11,1,167493.51807037115,315,2310,opinion_degree_solution,10,16.03967785835266,uniform,random,False
12,2,167512.47895439537,381,2622,opinion_degree_solution,10,16.03967785835266,uniform,random,False
13,3,167510.8132335106,343,2446,opinion_degree_solution,10,16.03967785835266,uniform,random,False
14,4,167528.11404664294,394,2525,opinion_degree_solution,10,16.03967785835266,uniform,random,False
15,5,167523.32923365317,372,2519,opinion_degree_solution,10,16.03967785835266,uniform,random,False
16,6,167516.38636313463,369,2399,opinion_degree_solution,10,16.03967785835266,uniform,random,False
17,7,167520.60688321057,375,2447,opinion_degree_solution,10,16.03967785835266,uniform,random,False
18,8,167514.05179105804,354,2495,opinion_degree_solution,10,16.03967785835266,uniform,random,False
19,9,167511.3171719463,376,2522,opinion_degree_solution,10,16.03967785835266,uniform,random,False
20,0,167713.97557328513,560,3918,opinion_degree_solution,20,16.34390902519226,uniform,random,False
21,1,167699.13316100737,522,3715,opinion_degree_solution,20,16.34390902519226,uniform,random,False
22,2,167713.9873016752,559,3913,opinion_degree_solution,20,16.34390902519226,uniform,random,False
23,3,167705.71636528376,541,3847,opinion_degree_solution,20,16.34390902519226,uniform,random,False
24,4,167713.73961140565,580,3937,opinion_degree_solution,20,16.34390902519226,uniform,random,False
25,5,167689.2775861481,517,3749,opinion_degree_solution,20,16.34390902519226,uniform,random,False
26,6,167724.70929420425,588,4117,opinion_degree_solution,20,16.34390902519226,uniform,random,False
27,7,167740.11682098423,608,4126,opinion_degree_solution,20,16.34390902519226,uniform,random,False
28,8,167699.8163177958,540,3689,opinion_degree_solution,20,16.34390902519226,uniform,random,False
29,9,167714.10298316058,552,3803,opinion_degree_solution,20,16.34390902519226,uniform,random,False
30,0,168131.99764469868,736,4832,opinion_degree_solution,30,16.82758927345276,uniform,random,False
31,1,168174.89337023575,802,4970,opinion_degree_solution,30,16.82758927345276,uniform,random,False
32,2,168181.05429991786,813,5107,opinion_degree_solution,30,16.82758927345276,uniform,random,False
33,3,168133.73579211842,709,4585,opinion_degree_solution,30,16.82758927345276,uniform,random,False
34,4,168158.37106245733,770,4814,opinion_degree_solution,30,16.82758927345276,uniform,random,False
35,5,168134.72199364583,734,4782,opinion_degree_solution,30,16.82758927345276,uniform,random,False
36,6,168140.8686958275,746,4763,opinion_degree_solution,30,16.82758927345276,uniform,random,False
37,7,168139.9870600376,726,4845,opinion_degree_solution,30,16.82758927345276,uniform,random,False
38,8,168185.02334683298,818,4963,opinion_degree_solution,30,16.82758927345276,uniform,random,False
39,9,168117.4742898341,716,4644,opinion_degree_solution,30,16.82758927345276,uniform,random,False
40,0,167838.277948046,1102,6417,opinion_degree_solution,40,16.66837501525879,uniform,random,False
41,1,167817.92162864376,1082,6417,opinion_degree_solution,40,16.66837501525879,uniform,random,False
42,2,167879.39677242958,1196,6847,opinion_degree_solution,40,16.66837501525879,uniform,random,False
43,3,167835.04334739732,1124,6592,opinion_degree_solution,40,16.66837501525879,uniform,random,False
44,4,167839.37442425612,1115,6528,opinion_degree_solution,40,16.66837501525879,uniform,random,False
45,5,167868.27873582882,1162,6585,opinion_degree_solution,40,16.66837501525879,uniform,random,False
46,6,167819.79349160093,1086,6556,opinion_degree_solution,40,16.66837501525879,uniform,random,False
47,7,167841.74528975395,1139,6630,opinion_degree_solution,40,16.66837501525879,uniform,random,False
48,8,167842.45567951672,1158,6757,opinion_degree_solution,40,16.66837501525879,uniform,random,False
49,9,167785.71462763782,1048,6247,opinion_degree_solution,40,16.66837501525879,uniform,random,False
50,0,168082.9377422013,1302,8135,opinion_degree_solution,50,17.182991981506348,uniform,random,False
51,1,168137.19568622464,1397,8311,opinion_degree_solution,50,17.182991981506348,uniform,random,False
52,2,168103.70708357557,1339,8255,opinion_degree_solution,50,17.182991981506348,uniform,random,False
53,3,168144.52157611618,1432,8379,opinion_degree_solution,50,17.182991981506348,uniform,random,False
54,4,168109.60937287784,1334,8066,opinion_degree_solution,50,17.182991981506348,uniform,random,False
55,5,168115.4429214917,1349,8126,opinion_degree_solution,50,17.182991981506348,uniform,random,False
56,6,168167.57532493747,1460,8715,opinion_degree_solution,50,17.182991981506348,uniform,random,False
57,7,168080.39911446415,1328,8239,opinion_degree_solution,50,17.182991981506348,uniform,random,False
58,8,168116.12581616757,1340,8099,opinion_degree_solution,50,17.182991981506348,uniform,random,False
59,9,168168.2496998011,1435,8237,opinion_degree_solution,50,17.182991981506348,uniform,random,False
