,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167641.57540312852,195,638,opinion_degree_solution,1,16.471954107284546,uniform,random,True
1,1,167654.45608653285,216,766,opinion_degree_solution,1,16.471954107284546,uniform,random,True
2,2,167638.908029459,195,641,opinion_degree_solution,1,16.471954107284546,uniform,random,True
3,3,167634.86276586875,195,640,opinion_degree_solution,1,16.471954107284546,uniform,random,True
4,4,167648.41140403767,212,678,opinion_degree_solution,1,16.471954107284546,uniform,random,True
5,5,167642.5295376358,191,622,opinion_degree_solution,1,16.471954107284546,uniform,random,True
6,6,167656.06613107657,223,724,opinion_degree_solution,1,16.471954107284546,uniform,random,True
7,7,167641.71454444432,194,656,opinion_degree_solution,1,16.471954107284546,uniform,random,True
8,8,167661.43398308178,221,655,opinion_degree_solution,1,16.471954107284546,uniform,random,True
9,9,167649.7914730733,203,653,opinion_degree_solution,1,16.471954107284546,uniform,random,True
10,0,167445.8133260593,321,2263,opinion_degree_solution,10,16.231117010116577,uniform,random,True
11,1,167452.88157728742,335,2317,opinion_degree_solution,10,16.231117010116577,uniform,random,True
12,2,167463.37089944995,348,2376,opinion_degree_solution,10,16.231117010116577,uniform,random,True
13,3,167461.96096699915,349,2565,opinion_degree_solution,10,16.231117010116577,uniform,random,True
14,4,167458.52624321202,354,2373,opinion_degree_solution,10,16.231117010116577,uniform,random,True
15,5,167473.15800164378,364,2355,opinion_degree_solution,10,16.231117010116577,uniform,random,True
16,6,167463.8810600459,370,2390,opinion_degree_solution,10,16.231117010116577,uniform,random,True
17,7,167446.3957307279,327,2370,opinion_degree_solution,10,16.231117010116577,uniform,random,True
18,8,167487.71528356307,392,2655,opinion_degree_solution,10,16.231117010116577,uniform,random,True
19,9,167468.31803016693,361,2409,opinion_degree_solution,10,16.231117010116577,uniform,random,True
20,0,167577.42333341006,574,3862,opinion_degree_solution,20,17.08046293258667,uniform,random,True
21,1,167595.60097031837,605,4187,opinion_degree_solution,20,17.08046293258667,uniform,random,True
22,2,167584.99054106878,599,4145,opinion_degree_solution,20,17.08046293258667,uniform,random,True
23,3,167555.23442593502,553,3822,opinion_degree_solution,20,17.08046293258667,uniform,random,True
24,4,167565.52322424325,562,3898,opinion_degree_solution,20,17.08046293258667,uniform,random,True
25,5,167561.01041850407,547,3829,opinion_degree_solution,20,17.08046293258667,uniform,random,True
26,6,167542.48212674956,515,3749,opinion_degree_solution,20,17.08046293258667,uniform,random,True
27,7,167569.98015976037,566,3935,opinion_degree_solution,20,17.08046293258667,uniform,random,True
28,8,167567.02094484566,562,3791,opinion_degree_solution,20,17.08046293258667,uniform,random,True
29,9,167578.92401027752,569,3847,opinion_degree_solution,20,17.08046293258667,uniform,random,True
30,0,168451.43103599513,770,4989,opinion_degree_solution,30,17.02405881881714,uniform,random,True
31,1,168447.56465162427,758,4880,opinion_degree_solution,30,17.02405881881714,uniform,random,True
32,2,168488.40047913152,800,4850,opinion_degree_solution,30,17.02405881881714,uniform,random,True
33,3,168469.87815087382,772,4784,opinion_degree_solution,30,17.02405881881714,uniform,random,True
34,4,168439.4216893949,711,4633,opinion_degree_solution,30,17.02405881881714,uniform,random,True
35,5,168512.2988236584,846,5012,opinion_degree_solution,30,17.02405881881714,uniform,random,True
36,6,168436.14402284767,727,4777,opinion_degree_solution,30,17.02405881881714,uniform,random,True
37,7,168443.63926934253,738,4835,opinion_degree_solution,30,17.02405881881714,uniform,random,True
38,8,168515.6582370229,865,5025,opinion_degree_solution,30,17.02405881881714,uniform,random,True
39,9,168478.63321768746,797,5090,opinion_degree_solution,30,17.02405881881714,uniform,random,True
40,0,167954.019784632,1131,6679,opinion_degree_solution,40,17.59480094909668,uniform,random,True
41,1,167966.62677969382,1159,6678,opinion_degree_solution,40,17.59480094909668,uniform,random,True
42,2,168005.5636937521,1213,6901,opinion_degree_solution,40,17.59480094909668,uniform,random,True
43,3,167944.73055416314,1103,6387,opinion_degree_solution,40,17.59480094909668,uniform,random,True
44,4,167957.5439305409,1124,6697,opinion_degree_solution,40,17.59480094909668,uniform,random,True
45,5,167961.61131679753,1142,6404,opinion_degree_solution,40,17.59480094909668,uniform,random,True
46,6,167962.95455029313,1180,6824,opinion_degree_solution,40,17.59480094909668,uniform,random,True
47,7,167998.36768795273,1229,6875,opinion_degree_solution,40,17.59480094909668,uniform,random,True
48,8,167929.1800392567,1091,6610,opinion_degree_solution,40,17.59480094909668,uniform,random,True
49,9,167928.4338585387,1070,6297,opinion_degree_solution,40,17.59480094909668,uniform,random,True
50,0,168097.87018251573,1389,8158,opinion_degree_solution,50,17.941895008087158,uniform,random,True
51,1,168064.08316949473,1306,8284,opinion_degree_solution,50,17.941895008087158,uniform,random,True
52,2,168120.06527069898,1371,8366,opinion_degree_solution,50,17.941895008087158,uniform,random,True
53,3,168064.01883809562,1307,8138,opinion_degree_solution,50,17.941895008087158,uniform,random,True
54,4,168083.5385356825,1329,8273,opinion_degree_solution,50,17.941895008087158,uniform,random,True
55,5,168113.82057091087,1395,8296,opinion_degree_solution,50,17.941895008087158,uniform,random,True
56,6,168107.14846779223,1373,8282,opinion_degree_solution,50,17.941895008087158,uniform,random,True
57,7,168119.24368402935,1427,8492,opinion_degree_solution,50,17.941895008087158,uniform,random,True
58,8,168102.76061306812,1355,8134,opinion_degree_solution,50,17.941895008087158,uniform,random,True
59,9,168076.48538697846,1287,8002,opinion_degree_solution,50,17.941895008087158,uniform,random,True
