,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158551.34421305347,40,380,LAIM_solution,1,140.2831211090088,uniform,random,False
1,1,158545.92981030678,35,324,LAIM_solution,1,140.2831211090088,uniform,random,False
2,2,158544.37742552118,30,336,LAIM_solution,1,140.2831211090088,uniform,random,False
3,3,158553.8265298941,39,394,LAIM_solution,1,140.2831211090088,uniform,random,False
4,4,158546.80850638804,29,351,LAIM_solution,1,140.2831211090088,uniform,random,False
5,5,158554.2718810771,53,476,LAIM_solution,1,140.2831211090088,uniform,random,False
6,6,158549.99428322012,39,363,LAIM_solution,1,140.2831211090088,uniform,random,False
7,7,158555.6892560156,53,406,LAIM_solution,1,140.2831211090088,uniform,random,False
8,8,158557.25557053045,54,532,LAIM_solution,1,140.2831211090088,uniform,random,False
9,9,158554.421097526,51,403,LAIM_solution,1,140.2831211090088,uniform,random,False
10,0,158522.84444072624,324,2593,LAIM_solution,10,1448.0078892707825,uniform,random,False
11,1,158545.27902383808,367,2860,LAIM_solution,10,1448.0078892707825,uniform,random,False
12,2,158511.16433030477,316,2664,LAIM_solution,10,1448.0078892707825,uniform,random,False
13,3,158535.32932138917,346,2879,LAIM_solution,10,1448.0078892707825,uniform,random,False
14,4,158579.31074557753,441,3378,LAIM_solution,10,1448.0078892707825,uniform,random,False
15,5,158529.86589615248,343,2781,LAIM_solution,10,1448.0078892707825,uniform,random,False
16,6,158525.77678208455,331,2870,LAIM_solution,10,1448.0078892707825,uniform,random,False
17,7,158531.371659891,349,2789,LAIM_solution,10,1448.0078892707825,uniform,random,False
18,8,158523.326763742,345,2691,LAIM_solution,10,1448.0078892707825,uniform,random,False
19,9,158514.3236675782,306,2544,LAIM_solution,10,1448.0078892707825,uniform,random,False
20,0,158647.11623556356,569,4742,LAIM_solution,20,2940.8994920253754,uniform,random,False
21,1,158681.58056613657,643,4846,LAIM_solution,20,2940.8994920253754,uniform,random,False
22,2,158705.6207833527,702,5378,LAIM_solution,20,2940.8994920253754,uniform,random,False
23,3,158687.43222552535,676,5107,LAIM_solution,20,2940.8994920253754,uniform,random,False
24,4,158670.52809679543,610,4768,LAIM_solution,20,2940.8994920253754,uniform,random,False
25,5,158654.10489209893,601,4694,LAIM_solution,20,2940.8994920253754,uniform,random,False
26,6,158679.95116830367,637,5142,LAIM_solution,20,2940.8994920253754,uniform,random,False
27,7,158647.8212590709,578,4634,LAIM_solution,20,2940.8994920253754,uniform,random,False
28,8,158649.00161205407,590,4805,LAIM_solution,20,2940.8994920253754,uniform,random,False
29,9,158612.29337094075,517,4263,LAIM_solution,20,2940.8994920253754,uniform,random,False
30,0,159288.59039705986,880,6883,LAIM_solution,30,4375.451135873795,uniform,random,False
31,1,159304.76453920628,899,6753,LAIM_solution,30,4375.451135873795,uniform,random,False
32,2,159311.72265123844,876,6945,LAIM_solution,30,4375.451135873795,uniform,random,False
33,3,159332.42249763187,964,7359,LAIM_solution,30,4375.451135873795,uniform,random,False
34,4,159313.22184281333,930,6816,LAIM_solution,30,4375.451135873795,uniform,random,False
35,5,159316.77824696037,941,7087,LAIM_solution,30,4375.451135873795,uniform,random,False
36,6,159319.6357375546,912,7190,LAIM_solution,30,4375.451135873795,uniform,random,False
37,7,159311.12800238116,907,6442,LAIM_solution,30,4375.451135873795,uniform,random,False
38,8,159348.7668948541,980,7401,LAIM_solution,30,4375.451135873795,uniform,random,False
39,9,159293.63165256128,891,6664,LAIM_solution,30,4375.451135873795,uniform,random,False
40,0,158758.50170281724,1168,8813,LAIM_solution,40,5578.400522947311,uniform,random,False
41,1,158758.3359376637,1203,8868,LAIM_solution,40,5578.400522947311,uniform,random,False
42,2,158706.33810973025,1065,8520,LAIM_solution,40,5578.400522947311,uniform,random,False
43,3,158813.35956048936,1264,9424,LAIM_solution,40,5578.400522947311,uniform,random,False
44,4,158782.2947148172,1225,9210,LAIM_solution,40,5578.400522947311,uniform,random,False
45,5,158773.32478741198,1216,9427,LAIM_solution,40,5578.400522947311,uniform,random,False
46,6,158763.84709592548,1181,9487,LAIM_solution,40,5578.400522947311,uniform,random,False
47,7,158741.41405595656,1163,8845,LAIM_solution,40,5578.400522947311,uniform,random,False
48,8,158711.8633931637,1068,8512,LAIM_solution,40,5578.400522947311,uniform,random,False
49,9,158796.9319063776,1242,9200,LAIM_solution,40,5578.400522947311,uniform,random,False
50,0,159250.7698047127,1341,9983,LAIM_solution,50,6961.372815132141,uniform,random,False
51,1,159262.3004484312,1329,10268,LAIM_solution,50,6961.372815132141,uniform,random,False
52,2,159228.2135758332,1290,9726,LAIM_solution,50,6961.372815132141,uniform,random,False
53,3,159261.43187296847,1337,10147,LAIM_solution,50,6961.372815132141,uniform,random,False
54,4,159287.3495284299,1366,10445,LAIM_solution,50,6961.372815132141,uniform,random,False
55,5,159339.99590698112,1474,10829,LAIM_solution,50,6961.372815132141,uniform,random,False
56,6,159333.89265761635,1463,11548,LAIM_solution,50,6961.372815132141,uniform,random,False
57,7,159294.11490154924,1403,10675,LAIM_solution,50,6961.372815132141,uniform,random,False
58,8,159263.38938287733,1330,10132,LAIM_solution,50,6961.372815132141,uniform,random,False
59,9,159228.820476688,1267,9970,LAIM_solution,50,6961.372815132141,uniform,random,False
