,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159759.59931723008,38,393,LAIM_solution,1,227.7580599784851,uniform,random,True
1,1,159771.42858875994,64,551,LAIM_solution,1,227.7580599784851,uniform,random,True
2,2,159767.3967604888,56,434,LAIM_solution,1,227.7580599784851,uniform,random,True
3,3,159762.7028008173,42,364,LAIM_solution,1,227.7580599784851,uniform,random,True
4,4,159757.67225119655,34,369,LAIM_solution,1,227.7580599784851,uniform,random,True
5,5,159779.1913386165,73,561,LAIM_solution,1,227.7580599784851,uniform,random,True
6,6,159763.1967224058,49,401,LAIM_solution,1,227.7580599784851,uniform,random,True
7,7,159771.32083342457,59,610,LAIM_solution,1,227.7580599784851,uniform,random,True
8,8,159754.21125114177,25,304,LAIM_solution,1,227.7580599784851,uniform,random,True
9,9,159765.90098169463,55,491,LAIM_solution,1,227.7580599784851,uniform,random,True
10,0,158260.32466591557,337,2645,LAIM_solution,10,2270.2397680282593,uniform,random,True
11,1,158334.83114775195,472,3381,LAIM_solution,10,2270.2397680282593,uniform,random,True
12,2,158232.10901645894,289,2591,LAIM_solution,10,2270.2397680282593,uniform,random,True
13,3,158288.39339343575,382,3003,LAIM_solution,10,2270.2397680282593,uniform,random,True
14,4,158267.39927423274,356,2904,LAIM_solution,10,2270.2397680282593,uniform,random,True
15,5,158264.92697447087,350,2698,LAIM_solution,10,2270.2397680282593,uniform,random,True
16,6,158289.56186920602,380,3110,LAIM_solution,10,2270.2397680282593,uniform,random,True
17,7,158258.78332209226,336,2835,LAIM_solution,10,2270.2397680282593,uniform,random,True
18,8,158273.83728054378,365,2849,LAIM_solution,10,2270.2397680282593,uniform,random,True
19,9,158300.5549605747,406,3133,LAIM_solution,10,2270.2397680282593,uniform,random,True
20,0,157864.3833617707,676,4957,LAIM_solution,20,4542.00351023674,uniform,random,True
21,1,157851.34895649055,665,4737,LAIM_solution,20,4542.00351023674,uniform,random,True
22,2,157815.86660317535,591,4249,LAIM_solution,20,4542.00351023674,uniform,random,True
23,3,157850.8513020411,667,4674,LAIM_solution,20,4542.00351023674,uniform,random,True
24,4,157856.70795536143,666,4902,LAIM_solution,20,4542.00351023674,uniform,random,True
25,5,157867.1210524746,681,5158,LAIM_solution,20,4542.00351023674,uniform,random,True
26,6,157889.04207356126,718,5001,LAIM_solution,20,4542.00351023674,uniform,random,True
27,7,157854.29042232418,674,5352,LAIM_solution,20,4542.00351023674,uniform,random,True
28,8,157845.1155709818,634,4712,LAIM_solution,20,4542.00351023674,uniform,random,True
29,9,157810.97004252352,586,4821,LAIM_solution,20,4542.00351023674,uniform,random,True
30,0,152577.50727118674,862,6773,LAIM_solution,30,6808.870714187622,uniform,random,True
31,1,152610.8359248998,897,6742,LAIM_solution,30,6808.870714187622,uniform,random,True
32,2,152623.79638183617,943,6981,LAIM_solution,30,6808.870714187622,uniform,random,True
33,3,152554.48962713726,789,6317,LAIM_solution,30,6808.870714187622,uniform,random,True
34,4,152645.72858367887,1013,7644,LAIM_solution,30,6808.870714187622,uniform,random,True
35,5,152593.3254668841,901,7557,LAIM_solution,30,6808.870714187622,uniform,random,True
36,6,152601.4775046509,917,6941,LAIM_solution,30,6808.870714187622,uniform,random,True
37,7,152591.00328298975,878,6882,LAIM_solution,30,6808.870714187622,uniform,random,True
38,8,152581.24476434922,873,6907,LAIM_solution,30,6808.870714187622,uniform,random,True
39,9,152580.42646092083,875,7007,LAIM_solution,30,6808.870714187622,uniform,random,True
40,0,159333.37179097123,1182,9483,LAIM_solution,40,9224.807037115097,uniform,random,True
41,1,159254.3476570093,1028,8398,LAIM_solution,40,9224.807037115097,uniform,random,True
42,2,159369.2658320665,1216,9413,LAIM_solution,40,9224.807037115097,uniform,random,True
43,3,159276.7789172719,1094,9082,LAIM_solution,40,9224.807037115097,uniform,random,True
44,4,159303.8682641459,1156,8894,LAIM_solution,40,9224.807037115097,uniform,random,True
45,5,159261.4790253126,1050,8652,LAIM_solution,40,9224.807037115097,uniform,random,True
46,6,159313.59924758284,1112,8714,LAIM_solution,40,9224.807037115097,uniform,random,True
47,7,159315.84769016135,1167,9249,LAIM_solution,40,9224.807037115097,uniform,random,True
48,8,159273.1553910692,1073,8642,LAIM_solution,40,9224.807037115097,uniform,random,True
49,9,159277.38664422967,1081,8410,LAIM_solution,40,9224.807037115097,uniform,random,True
50,0,159727.64226354827,1372,10539,LAIM_solution,50,12173.193091154099,uniform,random,True
51,1,159768.1127918335,1395,10847,LAIM_solution,50,12173.193091154099,uniform,random,True
52,2,159768.2521512131,1410,10968,LAIM_solution,50,12173.193091154099,uniform,random,True
53,3,159735.15518045067,1360,10292,LAIM_solution,50,12173.193091154099,uniform,random,True
54,4,159697.5703675798,1305,10275,LAIM_solution,50,12173.193091154099,uniform,random,True
55,5,159726.68793376567,1347,10705,LAIM_solution,50,12173.193091154099,uniform,random,True
56,6,159789.14711054464,1442,10712,LAIM_solution,50,12173.193091154099,uniform,random,True
57,7,159814.8180977745,1459,11108,LAIM_solution,50,12173.193091154099,uniform,random,True
58,8,159833.80274130468,1564,11682,LAIM_solution,50,12173.193091154099,uniform,random,True
59,9,159768.6403985833,1415,10646,LAIM_solution,50,12173.193091154099,uniform,random,True
