,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158549.50014850317,38,359,TIM_plus_solution,1,4760.594414949417,uniform,random,False
1,1,158551.87707063003,43,416,TIM_plus_solution,1,4760.594414949417,uniform,random,False
2,2,158550.09193448987,34,332,TIM_plus_solution,1,4760.594414949417,uniform,random,False
3,3,158546.69144433553,35,320,TIM_plus_solution,1,4760.594414949417,uniform,random,False
4,4,158546.5877493474,32,334,TIM_plus_solution,1,4760.594414949417,uniform,random,False
5,5,158555.05887398953,46,431,TIM_plus_solution,1,4760.594414949417,uniform,random,False
6,6,158552.09473624468,45,539,TIM_plus_solution,1,4760.594414949417,uniform,random,False
7,7,158566.51527749677,69,662,TIM_plus_solution,1,4760.594414949417,uniform,random,False
8,8,158551.25459354144,39,411,TIM_plus_solution,1,4760.594414949417,uniform,random,False
9,9,158550.32044018467,32,356,TIM_plus_solution,1,4760.594414949417,uniform,random,False
10,10,158554.74922132218,44,407,TIM_plus_solution,1,4760.594414949417,uniform,random,False
11,11,158559.92230704444,49,450,TIM_plus_solution,1,4760.594414949417,uniform,random,False
12,12,158549.3317464606,41,439,TIM_plus_solution,1,4760.594414949417,uniform,random,False
13,13,158565.9785686933,68,513,TIM_plus_solution,1,4760.594414949417,uniform,random,False
14,14,158553.2824395007,42,467,TIM_plus_solution,1,4760.594414949417,uniform,random,False
15,15,158553.76267327566,45,442,TIM_plus_solution,1,4760.594414949417,uniform,random,False
16,16,158566.91796052037,77,647,TIM_plus_solution,1,4760.594414949417,uniform,random,False
17,17,158549.5257655687,36,348,TIM_plus_solution,1,4760.594414949417,uniform,random,False
18,18,158550.63587616963,40,448,TIM_plus_solution,1,4760.594414949417,uniform,random,False
19,19,158559.07768862936,61,463,TIM_plus_solution,1,4760.594414949417,uniform,random,False
20,20,158550.73110808866,38,335,TIM_plus_solution,1,4760.594414949417,uniform,random,False
21,21,158546.96438827843,32,372,TIM_plus_solution,1,4760.594414949417,uniform,random,False
22,22,158557.4592338859,57,440,TIM_plus_solution,1,4760.594414949417,uniform,random,False
23,23,158562.1513916995,60,467,TIM_plus_solution,1,4760.594414949417,uniform,random,False
24,24,158560.90359020897,63,574,TIM_plus_solution,1,4760.594414949417,uniform,random,False
25,25,158539.27194458316,19,295,TIM_plus_solution,1,4760.594414949417,uniform,random,False
26,26,158555.3577121838,51,380,TIM_plus_solution,1,4760.594414949417,uniform,random,False
27,27,158566.9314088037,66,530,TIM_plus_solution,1,4760.594414949417,uniform,random,False
28,28,158547.90994061425,32,350,TIM_plus_solution,1,4760.594414949417,uniform,random,False
29,29,158555.4248923975,53,431,TIM_plus_solution,1,4760.594414949417,uniform,random,False
30,30,158557.93545223752,46,478,TIM_plus_solution,1,4760.594414949417,uniform,random,False
31,31,158577.52998851205,86,601,TIM_plus_solution,1,4760.594414949417,uniform,random,False
32,32,158552.8884802346,40,371,TIM_plus_solution,1,4760.594414949417,uniform,random,False
33,33,158551.30013138955,39,411,TIM_plus_solution,1,4760.594414949417,uniform,random,False
34,34,158553.4914446891,49,404,TIM_plus_solution,1,4760.594414949417,uniform,random,False
35,35,158554.13268045266,38,352,TIM_plus_solution,1,4760.594414949417,uniform,random,False
36,36,158560.8641402949,50,408,TIM_plus_solution,1,4760.594414949417,uniform,random,False
37,37,158549.82683888436,34,353,TIM_plus_solution,1,4760.594414949417,uniform,random,False
38,38,158541.13462982365,22,295,TIM_plus_solution,1,4760.594414949417,uniform,random,False
39,39,158562.33981961076,69,569,TIM_plus_solution,1,4760.594414949417,uniform,random,False
40,40,158555.23780553907,47,453,TIM_plus_solution,1,4760.594414949417,uniform,random,False
41,41,158564.66295732057,65,556,TIM_plus_solution,1,4760.594414949417,uniform,random,False
42,42,158545.96594112273,31,316,TIM_plus_solution,1,4760.594414949417,uniform,random,False
43,43,158544.04939861313,27,336,TIM_plus_solution,1,4760.594414949417,uniform,random,False
44,44,158544.10716708892,27,343,TIM_plus_solution,1,4760.594414949417,uniform,random,False
45,45,158559.03934573877,60,631,TIM_plus_solution,1,4760.594414949417,uniform,random,False
46,46,158552.9349005907,42,397,TIM_plus_solution,1,4760.594414949417,uniform,random,False
47,47,158552.3308400473,37,356,TIM_plus_solution,1,4760.594414949417,uniform,random,False
48,48,158542.37498520492,25,391,TIM_plus_solution,1,4760.594414949417,uniform,random,False
49,49,158562.5419346704,57,479,TIM_plus_solution,1,4760.594414949417,uniform,random,False
50,50,158549.89287869085,38,366,TIM_plus_solution,1,4760.594414949417,uniform,random,False
51,51,158560.0206754506,54,496,TIM_plus_solution,1,4760.594414949417,uniform,random,False
52,52,158551.4491013938,40,409,TIM_plus_solution,1,4760.594414949417,uniform,random,False
53,53,158549.31074995757,33,362,TIM_plus_solution,1,4760.594414949417,uniform,random,False
54,54,158546.93446670205,36,337,TIM_plus_solution,1,4760.594414949417,uniform,random,False
55,55,158545.31012080202,29,362,TIM_plus_solution,1,4760.594414949417,uniform,random,False
56,56,158566.29878780438,59,492,TIM_plus_solution,1,4760.594414949417,uniform,random,False
57,57,158557.09278337331,48,435,TIM_plus_solution,1,4760.594414949417,uniform,random,False
58,58,158545.7413287415,30,319,TIM_plus_solution,1,4760.594414949417,uniform,random,False
59,59,158551.24709679704,39,378,TIM_plus_solution,1,4760.594414949417,uniform,random,False
60,60,158549.34069007233,33,315,TIM_plus_solution,1,4760.594414949417,uniform,random,False
61,61,158547.15427528293,32,354,TIM_plus_solution,1,4760.594414949417,uniform,random,False
62,62,158551.5940041983,47,495,TIM_plus_solution,1,4760.594414949417,uniform,random,False
63,63,158552.39640206748,37,341,TIM_plus_solution,1,4760.594414949417,uniform,random,False
64,64,158550.71469360366,38,345,TIM_plus_solution,1,4760.594414949417,uniform,random,False
65,65,158548.42884537214,32,361,TIM_plus_solution,1,4760.594414949417,uniform,random,False
66,66,158556.09592750215,50,394,TIM_plus_solution,1,4760.594414949417,uniform,random,False
67,67,158565.4039881782,61,460,TIM_plus_solution,1,4760.594414949417,uniform,random,False
68,68,158549.43857289964,35,466,TIM_plus_solution,1,4760.594414949417,uniform,random,False
69,69,158548.31879296098,33,354,TIM_plus_solution,1,4760.594414949417,uniform,random,False
70,70,158552.56170615516,38,387,TIM_plus_solution,1,4760.594414949417,uniform,random,False
71,71,158543.00861826408,26,319,TIM_plus_solution,1,4760.594414949417,uniform,random,False
72,72,158544.63411829068,26,336,TIM_plus_solution,1,4760.594414949417,uniform,random,False
73,73,158547.31521816849,32,374,TIM_plus_solution,1,4760.594414949417,uniform,random,False
74,74,158555.9172546074,55,477,TIM_plus_solution,1,4760.594414949417,uniform,random,False
75,75,158553.13438717806,48,434,TIM_plus_solution,1,4760.594414949417,uniform,random,False
76,76,158543.87396104436,24,296,TIM_plus_solution,1,4760.594414949417,uniform,random,False
77,77,158545.72398028313,30,324,TIM_plus_solution,1,4760.594414949417,uniform,random,False
78,78,158556.18862623005,48,422,TIM_plus_solution,1,4760.594414949417,uniform,random,False
79,79,158560.60428288748,58,522,TIM_plus_solution,1,4760.594414949417,uniform,random,False
80,80,158554.39256493852,44,774,TIM_plus_solution,1,4760.594414949417,uniform,random,False
81,81,158549.76069837005,37,344,TIM_plus_solution,1,4760.594414949417,uniform,random,False
82,82,158553.77141889388,47,527,TIM_plus_solution,1,4760.594414949417,uniform,random,False
83,83,158555.04952483732,43,390,TIM_plus_solution,1,4760.594414949417,uniform,random,False
84,84,158552.85980221222,41,505,TIM_plus_solution,1,4760.594414949417,uniform,random,False
85,85,158549.20087960173,35,373,TIM_plus_solution,1,4760.594414949417,uniform,random,False
86,86,158549.81806015363,35,346,TIM_plus_solution,1,4760.594414949417,uniform,random,False
87,87,158557.32375152165,42,367,TIM_plus_solution,1,4760.594414949417,uniform,random,False
88,88,158550.0416535344,38,340,TIM_plus_solution,1,4760.594414949417,uniform,random,False
89,89,158560.0329090819,60,490,TIM_plus_solution,1,4760.594414949417,uniform,random,False
90,90,158558.4489011425,53,477,TIM_plus_solution,1,4760.594414949417,uniform,random,False
91,91,158552.73686405778,45,405,TIM_plus_solution,1,4760.594414949417,uniform,random,False
92,92,158547.8177253407,30,316,TIM_plus_solution,1,4760.594414949417,uniform,random,False
93,93,158554.1351962736,48,476,TIM_plus_solution,1,4760.594414949417,uniform,random,False
94,94,158551.98146763715,43,358,TIM_plus_solution,1,4760.594414949417,uniform,random,False
95,95,158565.91112613413,70,636,TIM_plus_solution,1,4760.594414949417,uniform,random,False
96,96,158560.83387349988,59,511,TIM_plus_solution,1,4760.594414949417,uniform,random,False
