,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158456.34732476692,44,550,degree_solution,1,0.6508309841156006,polarized,random,False
1,1,158442.5740111179,17,434,degree_solution,1,0.6508309841156006,polarized,random,False
2,2,158447.497230837,27,411,degree_solution,1,0.6508309841156006,polarized,random,False
3,3,158439.86115417635,12,351,degree_solution,1,0.6508309841156006,polarized,random,False
4,4,158441.11638768757,14,400,degree_solution,1,0.6508309841156006,polarized,random,False
5,5,158444.58247095696,26,452,degree_solution,1,0.6508309841156006,polarized,random,False
6,6,158438.9695284096,16,404,degree_solution,1,0.6508309841156006,polarized,random,False
7,7,158440.2671371054,19,557,degree_solution,1,0.6508309841156006,polarized,random,False
8,8,158438.8869610024,14,380,degree_solution,1,0.6508309841156006,polarized,random,False
9,9,158441.69127529734,24,532,degree_solution,1,0.6508309841156006,polarized,random,False
10,0,159322.08785097083,1606,15129,degree_solution,100,0.6577939987182617,polarized,random,False
11,1,159366.89428271347,1721,15162,degree_solution,100,0.6577939987182617,polarized,random,False
12,2,159333.258288877,1663,15657,degree_solution,100,0.6577939987182617,polarized,random,False
13,3,159300.2481745253,1537,14305,degree_solution,100,0.6577939987182617,polarized,random,False
14,4,159309.7203131891,1614,14648,degree_solution,100,0.6577939987182617,polarized,random,False
15,5,159304.5168940152,1580,14663,degree_solution,100,0.6577939987182617,polarized,random,False
16,6,159321.22831750067,1648,15280,degree_solution,100,0.6577939987182617,polarized,random,False
17,7,159335.42061734071,1663,14854,degree_solution,100,0.6577939987182617,polarized,random,False
18,8,159311.83356132658,1589,14940,degree_solution,100,0.6577939987182617,polarized,random,False
19,9,159251.8673021082,1530,14867,degree_solution,100,0.6577939987182617,polarized,random,False
20,0,159960.12488139313,2915,23796,degree_solution,200,0.6777968406677246,polarized,random,False
21,1,160110.34337226074,3203,24790,degree_solution,200,0.6777968406677246,polarized,random,False
22,2,159833.60780392782,2699,22656,degree_solution,200,0.6777968406677246,polarized,random,False
23,3,159953.75214610333,2913,23358,degree_solution,200,0.6777968406677246,polarized,random,False
24,4,160084.40332460683,3049,23737,degree_solution,200,0.6777968406677246,polarized,random,False
25,5,159931.4210062014,2905,23577,degree_solution,200,0.6777968406677246,polarized,random,False
26,6,159885.93225201726,2765,22910,degree_solution,200,0.6777968406677246,polarized,random,False
27,7,160035.05095950683,3045,23825,degree_solution,200,0.6777968406677246,polarized,random,False
28,8,160013.06746848093,3009,24694,degree_solution,200,0.6777968406677246,polarized,random,False
29,9,159989.62989687303,2959,23920,degree_solution,200,0.6777968406677246,polarized,random,False
30,0,160554.02630164623,3542,27844,degree_solution,300,0.6573829650878906,polarized,random,False
31,1,160712.0218102359,3866,28807,degree_solution,300,0.6573829650878906,polarized,random,False
32,2,160644.32242510113,3837,28421,degree_solution,300,0.6573829650878906,polarized,random,False
33,3,160507.02556968955,3489,27367,degree_solution,300,0.6573829650878906,polarized,random,False
34,4,160641.95145812398,3704,27922,degree_solution,300,0.6573829650878906,polarized,random,False
35,5,160593.01390789973,3621,27607,degree_solution,300,0.6573829650878906,polarized,random,False
36,6,160679.3667623379,3825,28464,degree_solution,300,0.6573829650878906,polarized,random,False
37,7,160638.46988481606,3738,28184,degree_solution,300,0.6573829650878906,polarized,random,False
38,8,160498.75851080328,3456,27088,degree_solution,300,0.6573829650878906,polarized,random,False
39,9,160708.48478270066,3926,29322,degree_solution,300,0.6573829650878906,polarized,random,False
40,0,160601.45784393777,4488,31860,degree_solution,400,0.6661090850830078,polarized,random,False
41,1,160604.9086051743,4490,32181,degree_solution,400,0.6661090850830078,polarized,random,False
42,2,160487.24278485868,4370,31666,degree_solution,400,0.6661090850830078,polarized,random,False
43,3,160582.23791838496,4445,32332,degree_solution,400,0.6661090850830078,polarized,random,False
44,4,160563.73821275157,4559,32837,degree_solution,400,0.6661090850830078,polarized,random,False
45,5,160651.16706526498,4602,32809,degree_solution,400,0.6661090850830078,polarized,random,False
46,6,160602.1908494672,4491,31707,degree_solution,400,0.6661090850830078,polarized,random,False
47,7,160566.86348917783,4393,32116,degree_solution,400,0.6661090850830078,polarized,random,False
48,8,160532.51783114005,4429,32245,degree_solution,400,0.6661090850830078,polarized,random,False
49,9,160476.1439097292,4323,31860,degree_solution,400,0.6661090850830078,polarized,random,False
50,0,161112.14144418106,5429,37515,degree_solution,500,0.6596860885620117,polarized,random,False
51,1,161071.31668832863,5458,37455,degree_solution,500,0.6596860885620117,polarized,random,False
52,2,161182.65752064457,5690,38318,degree_solution,500,0.6596860885620117,polarized,random,False
53,3,161146.2929434653,5581,38348,degree_solution,500,0.6596860885620117,polarized,random,False
54,4,161020.86155002826,5366,38075,degree_solution,500,0.6596860885620117,polarized,random,False
55,5,161018.41840301396,5407,37355,degree_solution,500,0.6596860885620117,polarized,random,False
56,6,161162.61816544953,5674,38895,degree_solution,500,0.6596860885620117,polarized,random,False
57,7,161070.8193607486,5472,37740,degree_solution,500,0.6596860885620117,polarized,random,False
58,8,161103.63482336735,5551,38368,degree_solution,500,0.6596860885620117,polarized,random,False
59,9,161030.71032766486,5383,37174,degree_solution,500,0.6596860885620117,polarized,random,False
60,0,161756.70066457515,6622,43105,degree_solution,600,0.6601369380950928,polarized,random,False
61,1,161613.33094140416,6356,41952,degree_solution,600,0.6601369380950928,polarized,random,False
62,2,161660.2875658079,6532,42216,degree_solution,600,0.6601369380950928,polarized,random,False
63,3,161670.0065945399,6422,41834,degree_solution,600,0.6601369380950928,polarized,random,False
64,4,161684.47340586435,6512,42185,degree_solution,600,0.6601369380950928,polarized,random,False
65,5,161436.744799109,6003,40280,degree_solution,600,0.6601369380950928,polarized,random,False
66,6,161443.01621815586,5981,40562,degree_solution,600,0.6601369380950928,polarized,random,False
67,7,161623.074332794,6329,42349,degree_solution,600,0.6601369380950928,polarized,random,False
68,8,161627.93514937628,6261,41806,degree_solution,600,0.6601369380950928,polarized,random,False
69,9,161327.1364929087,5786,39943,degree_solution,600,0.6601369380950928,polarized,random,False
70,0,161977.50905481004,7220,47241,degree_solution,700,0.7450737953186035,polarized,random,False
71,1,161913.20396782813,7139,46964,degree_solution,700,0.7450737953186035,polarized,random,False
72,2,162189.4575400941,7620,47961,degree_solution,700,0.7450737953186035,polarized,random,False
73,3,162019.06420629658,7305,47492,degree_solution,700,0.7450737953186035,polarized,random,False
74,4,162073.43243355586,7413,47404,degree_solution,700,0.7450737953186035,polarized,random,False
75,5,162058.7739607306,7403,47813,degree_solution,700,0.7450737953186035,polarized,random,False
76,6,162214.93911493535,7664,48356,degree_solution,700,0.7450737953186035,polarized,random,False
77,7,161962.3804195905,7183,47140,degree_solution,700,0.7450737953186035,polarized,random,False
78,8,161995.03350734344,7241,46921,degree_solution,700,0.7450737953186035,polarized,random,False
79,9,162111.86308934249,7433,47593,degree_solution,700,0.7450737953186035,polarized,random,False
